"N_PORTION","GEO","UNIT","TIME","QUANTILE","SEX","AGE","Value","Flag and Footnotes"
"0 portions","European Union - 28 countries","Percentage","2014","Fifth quintile","Total","Total","29.8",""
"From 1 to 4 portions","European Union - 28 countries","Percentage","2014","Fifth quintile","Total","Total","52.9",""
"5 portions or more","European Union - 28 countries","Percentage","2014","Fifth quintile","Total","Total","17.3",""
"0 portions","Belgium","Percentage","2014","Fifth quintile","Total","Total","17.2",""
"From 1 to 4 portions","Belgium","Percentage","2014","Fifth quintile","Total","Total","69.5",""
"5 portions or more","Belgium","Percentage","2014","Fifth quintile","Total","Total","13.3",""
"0 portions","Bulgaria","Percentage","2014","Fifth quintile","Total","Total","50.6",""
"From 1 to 4 portions","Bulgaria","Percentage","2014","Fifth quintile","Total","Total","45.2",""
"5 portions or more","Bulgaria","Percentage","2014","Fifth quintile","Total","Total","4.2",""
"0 portions","Czechia","Percentage","2014","Fifth quintile","Total","Total","41.4",""
"From 1 to 4 portions","Czechia","Percentage","2014","Fifth quintile","Total","Total","47.9",""
"5 portions or more","Czechia","Percentage","2014","Fifth quintile","Total","Total","10.7",""
"0 portions","Denmark","Percentage","2014","Fifth quintile","Total","Total","30.3",""
"From 1 to 4 portions","Denmark","Percentage","2014","Fifth quintile","Total","Total","37.2",""
"5 portions or more","Denmark","Percentage","2014","Fifth quintile","Total","Total","32.6",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","Fifth quintile","Total","Total","43.0",""
"From 1 to 4 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","Fifth quintile","Total","Total","46.8",""
"5 portions or more","Germany (until 1990 former territory of the FRG)","Percentage","2014","Fifth quintile","Total","Total","10.2",""
"0 portions","Estonia","Percentage","2014","Fifth quintile","Total","Total","30.7",""
"From 1 to 4 portions","Estonia","Percentage","2014","Fifth quintile","Total","Total","49.5",""
"5 portions or more","Estonia","Percentage","2014","Fifth quintile","Total","Total","19.8",""
"0 portions","Ireland","Percentage","2014","Fifth quintile","Total","Total","33.7",""
