,Objektart,MietpreisproMonat,MietpreisproMonat(exkl.NK),Nebenkosten,Wohnfläche,Zimmer,Geschoss,Verfügbarab,Balkon(e),Lift,AltesGebäude,ÖV-Haltestelle,Einkaufsmöglichkeit,rating,adress,publication_date,city,DateofScrapping,Nutzfläche,Baujahr,Aussenparkplatz,Haustiereerlaubt,Kabel-TV,Kinderfreundlich,Kindergarten,Primarschule,Sekundarschule,Autobahn,Einstellplatz,Rollstuhlgängig,Minergie-zertifiziert,Cheminée,Kubatur,Hochparterre,Neubau,Wohnungen,Wasseranschluss,Toiletten,Mittelhaus,Möbliert,JährlicherMietpreisprom²,JährlicherMietpreisprom²(exkl.NK)
23016581,Wohnung,1480,1240,240,68,3,2.Stock,01.05.2020,1,1,1,40m,50m,NaN,"Konsumstrasse 8, 3007 Bern",25.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23016600,Wohnung,3500,3200,300,140,5,2.Stock,01.05.2020,1,1,,,,NaN,"Monbijoustrasse 24, 3011 Bern",25.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23014342,Wohnung,1710,1470,240,73,3.5,,01.03.2020,1,1,,200m,200m,4,"Fischerweg, 3012 Bern",24.02.2020,bern,26.02.2020,73,1965,1,1,1,1,700m,700m,700m,,,,,,,,,,,,,,,
23017350,Wohnung,1180,1030,150,,2,1.Stock,01.05.2020,1,,,240m,500m,NaN,"Biderstrasse 23, 3006 Bern",25.02.2020,bern,26.02.2020,,,,,,,350m,,,1000m,,,,,,,,,,,,,,
23016559,Wohnung,1360,1230,130,44,2.5,3.Stock,01.06.2020,,,,,,NaN,"Rathausgasse 46, 3011 Bern",25.02.2020,bern,26.02.2020,,1600,,,1,,,,,,,,,,,,,,,,,,,
23014346,Wohnung,2090,1780,310,93,3.5,,01.04.2020,1,1,,100m,100m,4,"""OpenCourts - OC"" Le Corbusier-Platz 5, 3027 Bern",24.02.2020,bern,26.02.2020,93,2014,,,1,1,500m,1000m,1000m,,1,,,,,,,,,,,,,
23016606,Wohnung,950,750,200,,1.5,1.Stock,01.05.2020,1,,,,,NaN,"Bümplizstrasse 42, 3027 Bern",25.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23014344,Wohnung,1750,1460,290,75,3,,16.05.2020,,,,1000m,10m,NaN,"Scheibenstrasse, 3014 Bern",24.02.2020,bern,26.02.2020,75,,,,,,100m,100m,1000m,,,,,,,,,,,,,,,
23014339,Wohnung,1575,1325,250,70,3,,01.05.2020,1,,,1300m,500m,4,"Freiburgstrasse, 3008 Bern",24.02.2020,bern,26.02.2020,70,1923,,,1,,300m,300m,1700m,,,,,,,,,,,,,,,
23018295,Wohnung,1185,925,260,55,3,6.Stock,16.05.2020,,1,,,,NaN,"Wangenstrasse 44, 3018 Bern",24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23023602,Wohnung,2470,2200,270,115,3.5,3.Stock,01.04.2020,1,1,,,,4,"Winterholzstrasse 55, 3018 Bern",26.02.2020,bern,26.02.2020,,2018,1,,1,,,,,,,1,,,,,,,,,,,,
23023377,Wohnung,2200,1900,300,106,3.5,EG,,1,,,,,NaN,"Murtenstrasse 143 H, 3008 Bern",25.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23023371,Wohnung,2785,2400,385,104,4.5,1.Stock,01.07.2020,,1,,,,2,"Laubeggstrasse 33, 3006 Bern",25.02.2020,bern,26.02.2020,,1988,,,,,,,,,,,,,,,,,,,,,,
23020985,Wohnung,1899,,,78,3.5,,sofort,,,,,,NaN,"Sandrainstrasse 68, 3007, 3007 Bern",26.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23020983,Wohnung,1120,905,215,45,2,3.Stock,01.05.2020,1,1,,,,5,"Morillonstrasse 40, 3007 Bern",26.02.2020,bern,26.02.2020,,1934,,,1,,,,,,,,,,,,,,,,,,,
23023376,Wohnung,1480,1240,240,68,3,2.Stock,,,1,,300m,200m,4,"Konsumstrasse 6, 8, 3007 Bern",25.02.2020,bern,26.02.2020,,1953,,1,1,,400m,400m,400m,,1,,,,,,,,,,,,,
23023374,Wohnung,1515,1275,240,66,3.5,EG,01.05.2020,1,1,1,100m,100m,4,"Winkelriedstr. 13, 3014 Bern",25.02.2020,bern,26.02.2020,,1960,1,1,1,1,200m,200m,500m,,1,,,,,,,,,,,,,
23022989,Wohnung,2070,1820,250,87,3.5,1.Stock,01.07.2020,1,1,,,,4,"Riedbachstrasse 80, 3027 Bern",26.02.2020,bern,26.02.2020,,2013,,1,1,,,,,,1,,1,,,,,,,,,,,
23018279,Wohnung,1800,1550,250,74,2.5,2.Stock,,1,,1,100m,500m,NaN,"Wernerstrasse 26, 3006 Bern",25.02.2020,bern,26.02.2020,,,,,,1,500m,500m,500m,300m,,,,,,,,,,,,,,
23018904,Wohnung,850,,,,1,,nachVereinbarung,,,,,,NaN,3011 Bern BE,25.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23016581,Wohnung,1480,1240,240,68,3,2.Stock,01.05.2020,1,1,1,40m,50m,NaN,"Konsumstrasse 8, 3007 Bern",25.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23016600,Wohnung,3500,3200,300,140,5,2.Stock,01.05.2020,1,1,,,,NaN,"Monbijoustrasse 24, 3011 Bern",25.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23014342,Wohnung,1710,1470,240,73,3.5,,01.03.2020,1,1,,200m,200m,4,"Fischerweg, 3012 Bern",24.02.2020,bern,26.02.2020,73,1965,1,1,1,1,700m,700m,700m,,,,,,,,,,,,,,,
23017350,Wohnung,1180,1030,150,,2,1.Stock,01.05.2020,1,,,240m,500m,NaN,"Biderstrasse 23, 3006 Bern",25.02.2020,bern,26.02.2020,,,,,,,350m,,,1000m,,,,,,,,,,,,,,
23016559,Wohnung,1360,1230,130,44,2.5,3.Stock,01.06.2020,,,,,,NaN,"Rathausgasse 46, 3011 Bern",25.02.2020,bern,26.02.2020,,1600,,,1,,,,,,,,,,,,,,,,,,,
23014346,Wohnung,2090,1780,310,93,3.5,,01.04.2020,1,1,,100m,100m,4,"""OpenCourts - OC"" Le Corbusier-Platz 5, 3027 Bern",24.02.2020,bern,26.02.2020,93,2014,,,1,1,500m,1000m,1000m,,1,,,,,,,,,,,,,
23016606,Wohnung,950,750,200,,1.5,1.Stock,01.05.2020,1,,,,,NaN,"Bümplizstrasse 42, 3027 Bern",25.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23014344,Wohnung,1750,1460,290,75,3,,16.05.2020,,,,1000m,10m,NaN,"Scheibenstrasse, 3014 Bern",24.02.2020,bern,26.02.2020,75,,,,,,100m,100m,1000m,,,,,,,,,,,,,,,
23014339,Wohnung,1575,1325,250,70,3,,01.05.2020,1,,,1300m,500m,4,"Freiburgstrasse, 3008 Bern",24.02.2020,bern,26.02.2020,70,1923,,,1,,300m,300m,1700m,,,,,,,,,,,,,,,
23018295,Wohnung,1185,925,260,55,3,6.Stock,16.05.2020,,1,,,,NaN,"Wangenstrasse 44, 3018 Bern",24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23014336,Wohnung,1795,1585,210,90,4,,sofort,1,1,,500m,600m,5,"Kasthoferstrasse, 3006 Bern",24.02.2020,bern,26.02.2020,90,1967,,,1,,200m,500m,500m,,,,,,,,,,,,,,,
23012211,Wohnung,1525,,,,3,,01.05.2020,,,,,,NaN,"Sulgenauweg 38, 3007 Bern",24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23014335,Wohnung,1730,1490,240,84,3,,sofort,1,1,,1500m,800m,4,"Bolligenstrasse, 3006 Bern",24.02.2020,bern,26.02.2020,84,1980,,1,1,1,100m,400m,800m,,1,,,,,,,,,,,,,
23012690,Wohnung,1730,,,,2.5,,nachVereinbarung,,,,,,NaN,3011 Bern BE,24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23012299,Einzelzimmer,600,,,16,1,,sofort,,,,,,NaN,3018 Bern,24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23012149,Wohnung,1677,,,,2.5,,nachVereinbarung,,,,,,NaN,3008 Bern BE,24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23012863,Wohnung,1650,,,,3.5,,nachVereinbarung,,,,,,NaN,3012 Bern BE,24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23012147,Wohnung,150,,,,,,nachVereinbarung,,,,,,NaN,3013 Bern BE,24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23012689,Wohnung,1500,,,,2.5,,nachVereinbarung,,,,,,NaN,3014 Bern BE,24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23024824,Wohnung,1990,,,,2.5,,nachVereinbarung,,,,,,NaN,3013 Bern BE,24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23010526,Wohnung,1185,925,260,55,3,6.Stock,,,,,,,NaN,3018 Bern,24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23011226,Wohnung,950,,,25,1.5,,sofort,,,,,,NaN,"Militärstrasse 41, 3014 Bern",24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23011219,Wohnung,1515,,,,3.5,,sofort,,,,,,NaN,"Egelgasse, 3006 Bern",24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23011217,Wohnung,1290,,,,3,,sofort,,,,,,NaN,"Schosshaldenstrasse, 3006 Bern",24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
