,Objektart,MietpreisproMonat,MietpreisproMonat(exkl.NK),Nebenkosten,Wohnfläche,Zimmer,Geschoss,Baujahr,Verfügbarab,Balkon(e),Einstellplatz,Lift,Haustiereerlaubt,Kabel-TV,Kinderfreundlich,ÖV-Haltestelle,Autobahn,Kindergarten,Primarschule,Sekundarschule,Einkaufsmöglichkeit,rating,adress,publication_date,city,DateofScrapping,Aussenparkplatz,AltesGebäude,Nutzfläche,Hochparterre,Rollstuhlgängig,Neubau,Geschirrspülmaschine,Estrich,Cheminée,Toiletten,Minergie-zertifiziert,Kubatur,Raumhöhe,Mittelhaus,Wohnungen,Wasseranschluss,Swimmingpool,Möbliert,Grundstückfläche
23028097,Wohnung,2724,2534,190,122,4.5,1.Stock,2005,15.06.2020,1,1,1,1,1,1,200m,1000m,250m,450m,450m,400m,5,"Rösslimatte 52, 6005 Luzern",,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23029830,Wohnung,1670,1440,230,60,3.5,3.Stock,,01.07.2020,1,,,,1,,250m,,490m,390m,,290m,NaN,"Hünenbergstrasse 12, 6006 Luzern",,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
23028205,Wohnung,1200,1060,140,,2,1.Stock,1953,01.06.2020,1,,,1,1,,460m,,630m,600m,550m,220m,NaN,"Tribschenstrasse 100, 6005 Luzern",26.02.2020,luzern,26.02.2020,,1,,,,,,,,,,,,,,,,,
23027234,Wohnung,1720,1490,230,86,4,3.Stock,,01.03.2020,1,1,1,,,1,,,,,,,NaN,"Thorenbergstrasse 15, 6014 Luzern",26.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
14070830,Wohnung,1510,1300,210,75,4,3.Stock,,16.07.2020,1,,,,1,,,,,,,,NaN,"Weinberglistrasse 83, 6005 Luzern",26.02.2020,luzern,26.02.2020,,1,,,,,,,,,,,,,,,,,
23026894,Wohnung,1636,1436,200,56,2.5,2.Stock,1995,01.05.2020,1,,1,,,,200m,4000m,,,,250m,4,"Kreuzbuchstrasse 35a, 6006 Luzern",,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23028203,Wohnung,1600,1370,230,,3,2.Stock,,01.06.2020,,,,1,,,310m,,400m,380m,770m,150m,NaN,"Kleinmattstrasse 14, 6003 Luzern",,luzern,26.02.2020,,1,,,,,,,,,,,,,,,,,
23027235,Wohnung,1470,1270,200,72,3,1.Stock,,sofort,1,1,1,,,1,,,,,,,NaN,"Thorenbergstrasse 15, 6014 Luzern",26.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
23028371,Einzelzimmer,550,,,15,1,1.Stock,1980,01.03.2020,1,1,1,,,,580m,,750m,750m,,1300m,NaN,"Schädrütihalde 9, 6006 Luzern",,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23025655,Wohnung,1372,1200,172,62,3,,,01.05.2020,1,,1,,,,300m,750m,400m,400m,600m,750m,NaN,"Eschenstrasse 20, 6005 Luzern",26.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23027130,Wohnung,2050,1800,250,77,2.5,EG,1951,01.04.2020,,,,1,1,,300m,,1300m,1700m,1700m,900m,3,"Hünenbergstrasse 50, 6006 Luzern",26.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
23023554,Wohnung,1980,1830,150,75,3.5,3.Stock,,01.04.2020,1,,1,,1,,,,,,,,NaN,"Voltastrasse, 6005 Luzern",26.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
23021475,Wohnung,2650,2450,200,110,5.5,2.Stock,1903,01.04.2020,1,,,,,1,400m,500m,200m,200m,,70m,4,6003 Luzern,26.02.2020,luzern,26.02.2020,,,110,,,,,,,,,,,,,,,,
23024384,Wohnung,1350,,,70,3,,,01.06.2020,,,,,,,,,,,,,NaN,"Fluhmühle, 6015 Luzern",26.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23023643,Dachwohnung,1400,1200,200,60,2.5,5.Stock,1904,01.05.2020,,,,1,1,,2m,500m,100m,100m,500m,300m,5,"Bruchmattstrasse 26, 6003 Luzern",26.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23023578,Wohnung,1360,1170,190,76,3.5,1.Stock,,01.05.2020,1,1,,,,,,,,,,,NaN,"Mattweg 15, 6014 Luzern",26.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
23023679,Wohnung,2990,2600,390,130,5.5,EG,1972,01.05.2020,1,1,1,,1,,250m,1000m,300m,300m,1500m,500m,4,6005 Luzern,26.02.2020,luzern,26.02.2020,,,,1,,,,,,,,,,,,,,,
23030079,Wohnung,990,870,120,30,1,1.Stock,,sofort,,,,,,,,,,,,,NaN,"Birkenstrasse 5, 6003 Luzern",26.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23023781,Wohnung,2050,1800,250,77,2.5,,,,,,,,,,,,,,,,NaN,6006 Luzern,26.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23021474,Wohnung,1560,1400,160,62,3,1.Stock,1900,sofort,1,,1,,1,,200m,700m,,,,400m,5,"Zähringerstrasse 3, 6003 Luzern",26.02.2020,luzern,26.02.2020,1,,62,,,,,,,,,,,,,,,,
23018772,Wohnung,1670,1520,150,72,3.5,6.Stock,,,,,,,,,,,,,,,NaN,6006 Luzern,25.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23025741,Wohnung,1590,,,70,3.5,2.Stock,,01.03.2020,1,,1,1,1,,,,,,,,NaN,"Spannortstrasse 11 11, 6003 Luzern",25.02.2020,luzern,26.02.2020,1,,,,1,,,,,,,,,,,,,,
23020748,Wohnung,890,,,,2.5,,,nachVereinbarung,,,,,,,,,,,,,NaN,6003 Luzern LU,26.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23018634,Wohnung,1290,1230,60,50,2.5,1.Stock,2018,01.04.2020,1,1,1,1,1,,,,,,,,6,6005 Luzern,25.02.2020,luzern,26.02.2020,1,,,,1,,,,,,,,,,,,,,
23016539,Wohnung,1750,1540,210,82,4,3.Stock,,sofort,1,1,,,1,,,,,,,,NaN,"Zumbachweg 14, 6005 Luzern",25.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
23020749,Wohnung,630,,,,2.5,,,nachVereinbarung,,,,,,,,,,,,,NaN,6004 Luzern LU,26.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23017686,Wohnung,720,650,70,17,1,3.Stock,,15.03.2020,1,,,1,,,,,,,,,NaN,"Wesemlinstrasse 1, 6006 Luzern LU",25.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23029805,Wohnung,1670,1520,150,72,3.5,6.Stock,1960,nachVereinbarung,1,,1,,,,200m,4000m,1000m,600m,600m,350m,5,"Seefeldstrasse 9, 6006 Luzern",26.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23028305,Wohnung,2230,1930,300,92,3.5,7.Stock,2012,nachVereinbarung,,1,1,1,1,1,25m,,1000m,1000m,1000m,25m,4,"Zihlmattweg 42, 6005 Luzern",25.02.2020,luzern,26.02.2020,,,,,,1,,,,,,,,,,,,,
23020747,Wohnung,1530,1400,130,63,3.5,4.Stock,,01.05.2020,1,,,,,,100m,5000m,,1000m,,100m,NaN,"Lädelistrasse 30, 6003 Luzern LU",26.02.2020,luzern,26.02.2020,,,,,,,1,,,,,,,,,,,,
23021473,Wohnung,528,,,,1,EG,,sofort,,,1,,1,,,,,,,,NaN,"Zähringerstrasse 1, 6003 Luzern",25.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23013139,Wohnung,1280,,,,3,3.Stock,,01.04.2020,1,,,1,1,,600m,1000m,500m,500m,500m,800m,NaN,"Heiterweid 26, 6015 Luzern",24.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
23012000,Wohnung,1490,1360,130,42,1.5,6.Stock,,,1,,1,,1,,50m,,,,,100m,NaN,"Waldstätterstrasse 12, 6003 Luzern",24.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23012008,Wohnung,2200,1900,300,100,3.5,EG,,,1,1,,1,,,,,,,,,NaN,"Tribschenstrasse 46, 6005 Luzern",24.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
23011999,Wohnung,620,430,190,45,2,Untergeschoss,1956,sofort,1,,,1,1,,100m,1000m,200m,200m,500m,100m,NaN,"Bernerweg 11, 6003 Luzern",24.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
