,Objektart,MietpreisproMonat,Zimmer,Verfügbarab,rating,adress,publication_date,city,DateofScrapping,Wohnfläche,Geschoss,Kabel-TV,Rollstuhlgängig,Baujahr,Balkon(e),Einstellplatz,Aussenparkplatz,Cheminée,MietpreisproMonat(exkl.NK),Nebenkosten,Lift,ÖV-Haltestelle,Einkaufsmöglichkeit,Haustiereerlaubt,Autobahn,Kindergarten,Primarschule,Sekundarschule,Raumhöhe,Wohnungen,Bäder,Neubau,Still,Sonnig,Nutzfläche,Toiletten,Kinderfreundlich,Erstbezug,Minergie-zertifiziert,AltesGebäude,Geschirrspülmaschine,Wasseranschluss,Kubatur,Eckhaus,Veranda,Hochparterre,Hebebühne,Anfahrrampe,Holzofen,Grundstückfläche
23026064,Wohnung,3530,4.5,nachVereinbarung,NaN,8047 Zürich ZH,26.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23025958,Wohnung,1125,1,nachVereinbarung,NaN,8052 Zürich ZH,26.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23025554,Wohnung,1200,1,01.05.2020,NaN,"Limmattalstrasse 71, 8049 Zürich ZH",26.02.2020,zuerich,26.02.2020,25,EG,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23025557,Wohnung,3000,3.5,nachVereinbarung,NaN,8057 Zürich ZH,26.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23025556,Wohnung,1650,2,nachVereinbarung,NaN,8004 Zürich ZH,26.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23025959,Wohnung,950,1,sofort,6,8050 Zürich ZH,26.02.2020,zuerich,26.02.2020,30,1.Stock,,,2005,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23026014,Wohnung,3360,3,nachVereinbarung,NaN,8003 Zürich ZH,26.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23025969,Wohnung,1950,3.5,nachVereinbarung,NaN,8055 Zürich ZH,26.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23025678,Wohnung,3360,3,01.04.2020,NaN,"Zentralstrasse 125, 8003 Zürich",26.02.2020,zuerich,26.02.2020,76,4.Stock,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23025970,Wohnung,2580,3.5,nachVereinbarung,NaN,8037 Zürich ZH,26.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
