,object_type,price,price_wo_extras,extras,size,rooms,floor,moovIn,balcony,lift,public_transport,shopping,rating,adress,publication_date,city,DateofScrapping,age,parking_out,pets_allowed,tv,kids_ok,KG,PS,SS,highway,parking_in
23016581,Wohnung,1480.0,1240.0,240.0,68.0,3.0,2.0,01.05.2020,1.0,1.0,40.0,50.0,,"Konsumstrasse 8, 3007 Bern",2020-02-25,bern,2020-02-26,,,,,,,,,,
23016600,Wohnung,3500.0,3200.0,300.0,140.0,5.0,2.0,01.05.2020,1.0,1.0,,,,"Monbijoustrasse 24, 3011 Bern",2020-02-25,bern,2020-02-26,,,,,,,,,,
23014342,Wohnung,1710.0,1470.0,240.0,73.0,3.5,,01.03.2020,1.0,1.0,200.0,200.0,4.0,"Fischerweg, 3012 Bern",2020-02-24,bern,2020-02-26,1965,1.0,1.0,1.0,1.0,700.0,700.0,700.0,,
23017350,Wohnung,1180.0,1030.0,150.0,,2.0,1.0,01.05.2020,1.0,,240.0,500.0,,"Biderstrasse 23, 3006 Bern",2020-02-25,bern,2020-02-26,,,,,,350.0,,,1000.0,
23016559,Wohnung,1360.0,1230.0,130.0,44.0,2.5,3.0,01.06.2020,,,,,,"Rathausgasse 46, 3011 Bern",2020-02-25,bern,2020-02-26,1600,,,1.0,,,,,,
23014346,Wohnung,2090.0,1780.0,310.0,93.0,3.5,,01.04.2020,1.0,1.0,100.0,100.0,4.0,"""OpenCourts - OC"" Le Corbusier-Platz 5, 3027 Bern",2020-02-24,bern,2020-02-26,2014,,,1.0,1.0,500.0,1000.0,1000.0,,1.0
23016606,Wohnung,950.0,750.0,200.0,,1.5,1.0,01.05.2020,1.0,,,,,"Bümplizstrasse 42, 3027 Bern",2020-02-25,bern,2020-02-26,,,,,,,,,,
23014344,Wohnung,1750.0,1460.0,290.0,75.0,3.0,,16.05.2020,,,1000.0,10.0,,"Scheibenstrasse, 3014 Bern",2020-02-24,bern,2020-02-26,,,,,,100.0,100.0,1000.0,,
23014339,Wohnung,1575.0,1325.0,250.0,70.0,3.0,,01.05.2020,1.0,,1300.0,500.0,4.0,"Freiburgstrasse, 3008 Bern",2020-02-24,bern,2020-02-26,1923,,,1.0,,300.0,300.0,1700.0,,
23018295,Wohnung,1185.0,925.0,260.0,55.0,3.0,6.0,16.05.2020,,1.0,,,,"Wangenstrasse 44, 3018 Bern",2020-02-24,bern,2020-02-26,,,,,,,,,,
23023602,Wohnung,2470.0,2200.0,270.0,115.0,3.5,3.0,01.04.2020,1.0,1.0,,,4.0,"Winterholzstrasse 55, 3018 Bern",2020-02-26,bern,2020-02-26,2018,1.0,,1.0,,,,,,
23023377,Wohnung,2200.0,1900.0,300.0,106.0,3.5,0.0,,1.0,,,,,"Murtenstrasse 143 H, 3008 Bern",2020-02-25,bern,2020-02-26,,,,,,,,,,
23023371,Wohnung,2785.0,2400.0,385.0,104.0,4.5,1.0,01.07.2020,,1.0,,,2.0,"Laubeggstrasse 33, 3006 Bern",2020-02-25,bern,2020-02-26,1988,,,,,,,,,
23020985,Wohnung,1899.0,,,78.0,3.5,,sofort,,,,,,"Sandrainstrasse 68, 3007, 3007 Bern",2020-02-26,bern,2020-02-26,,,,,,,,,,
23020983,Wohnung,1120.0,905.0,215.0,45.0,2.0,3.0,01.05.2020,1.0,1.0,,,5.0,"Morillonstrasse 40, 3007 Bern",2020-02-26,bern,2020-02-26,1934,,,1.0,,,,,,
23023376,Wohnung,1480.0,1240.0,240.0,68.0,3.0,2.0,,,1.0,300.0,200.0,4.0,"Konsumstrasse 6, 8, 3007 Bern",2020-02-25,bern,2020-02-26,1953,,1.0,1.0,,400.0,400.0,400.0,,1.0
23023374,Wohnung,1515.0,1275.0,240.0,66.0,3.5,0.0,01.05.2020,1.0,1.0,100.0,100.0,4.0,"Winkelriedstr. 13, 3014 Bern",2020-02-25,bern,2020-02-26,1960,1.0,1.0,1.0,1.0,200.0,200.0,500.0,,1.0
23022989,Wohnung,2070.0,1820.0,250.0,87.0,3.5,1.0,01.07.2020,1.0,1.0,,,4.0,"Riedbachstrasse 80, 3027 Bern",2020-02-26,bern,2020-02-26,2013,,1.0,1.0,,,,,,1.0
23018279,Wohnung,1800.0,1550.0,250.0,74.0,2.5,2.0,,1.0,,100.0,500.0,,"Wernerstrasse 26, 3006 Bern",2020-02-25,bern,2020-02-26,,,,,1.0,500.0,500.0,500.0,300.0,
23018904,Wohnung,850.0,,,,1.0,,nachVereinbarung,,,,,,3011 Bern BE,2020-02-25,bern,2020-02-26,,,,,,,,,,
23014336,Wohnung,1795.0,1585.0,210.0,90.0,4.0,,sofort,1.0,1.0,500.0,600.0,5.0,"Kasthoferstrasse, 3006 Bern",2020-02-24,bern,2020-02-26,1967,,,1.0,,200.0,500.0,500.0,,
23012211,Wohnung,1525.0,,,,3.0,,01.05.2020,,,,,,"Sulgenauweg 38, 3007 Bern",2020-02-24,bern,2020-02-26,,,,,,,,,,
23014335,Wohnung,1730.0,1490.0,240.0,84.0,3.0,,sofort,1.0,1.0,1500.0,800.0,4.0,"Bolligenstrasse, 3006 Bern",2020-02-24,bern,2020-02-26,1980,,1.0,1.0,1.0,100.0,400.0,800.0,,1.0
23012690,Wohnung,1730.0,,,,2.5,,nachVereinbarung,,,,,,3011 Bern BE,2020-02-24,bern,2020-02-26,,,,,,,,,,
23012149,Wohnung,1677.0,,,,2.5,,nachVereinbarung,,,,,,3008 Bern BE,2020-02-24,bern,2020-02-26,,,,,,,,,,
23012863,Wohnung,1650.0,,,,3.5,,nachVereinbarung,,,,,,3012 Bern BE,2020-02-24,bern,2020-02-26,,,,,,,,,,
23012147,Wohnung,150.0,,,,,,nachVereinbarung,,,,,,3013 Bern BE,2020-02-24,bern,2020-02-26,,,,,,,,,,
23012689,Wohnung,1500.0,,,,2.5,,nachVereinbarung,,,,,,3014 Bern BE,2020-02-24,bern,2020-02-26,,,,,,,,,,
23024824,Wohnung,1990.0,,,,2.5,,nachVereinbarung,,,,,,3013 Bern BE,2020-02-24,bern,2020-02-26,,,,,,,,,,
23010526,Wohnung,1185.0,925.0,260.0,55.0,3.0,6.0,,,,,,,3018 Bern,2020-02-24,bern,2020-02-26,,,,,,,,,,
23011226,Wohnung,950.0,,,25.0,1.5,,sofort,,,,,,"Militärstrasse 41, 3014 Bern",2020-02-24,bern,2020-02-26,,,,,,,,,,
23011219,Wohnung,1515.0,,,,3.5,,sofort,,,,,,"Egelgasse, 3006 Bern",2020-02-24,bern,2020-02-26,,,,,,,,,,
23011217,Wohnung,1290.0,,,,3.0,,sofort,,,,,,"Schosshaldenstrasse, 3006 Bern",2020-02-24,bern,2020-02-26,,,,,,,,,,
23011230,Wohnung,970.0,,,,2.5,,sofort,,,,,,"bern west, 3027 Bern",2020-02-24,bern,2020-02-26,,,,,,,,,,
23011216,Wohnung,1063.0,,,,2.0,,sofort,,,,,,"Asterweg 21, 3004 Bern",2020-02-24,bern,2020-02-26,,,,,,,,,,
23011229,Wohnung,1890.0,1790.0,100.0,120.0,4.5,0.0,16.05.2020,1.0,,800.0,800.0,,"Thüringstrasse 24, 3018 Bern",2020-02-24,bern,2020-02-26,,1.0,,1.0,1.0,,,,1500.0,1.0
23018298,Wohnung,1665.0,1480.0,185.0,58.0,1.0,3.0,15.03.2020,,,,,,"Junkerngasse 35, 3011 Bern",2020-02-24,bern,2020-02-26,1555,,,,,,,,,
23009321,Wohnung,1290.0,,,,3.0,,nachVereinbarung,,,,,,3006 Bern BE,2020-02-24,bern,2020-02-26,,,,,,,,,,
23011795,Studio,1090.0,,,,1.5,,nachVereinbarung,,,,,,3013 Bern BE,2020-02-24,bern,2020-02-26,,,,,,,,,,
23008236,Wohnung,730.0,,,110.0,1.0,9.0,01.04.2020,1.0,1.0,,,,"Jupiterstraße 57, 3015 Bern BE",2020-02-24,bern,2020-02-26,,,,1.0,,,,,,
23010040,Dachwohnung,1290.0,,,65.0,2.5,4.0,01.06.2020,1.0,,,,,"Werkgasse 47, 3018 Bern",2020-02-24,bern,2020-02-26,,,1.0,,,,,,,
23009241,Wohnung,140.0,,,,1.5,,nachVereinbarung,,,,,,3011 Bern BE,2020-02-24,bern,2020-02-26,,,,,,,,,,
23009096,Wohnung,1500.0,,,,2.0,,nachVereinbarung,,,,,,3013 Bern BE,2020-02-24,bern,2020-02-26,,,,,,,,,,
23008832,Wohnung,790.0,,,73.0,1.0,1.0,nachVereinbarung,1.0,,,,,"Werkgasse 55, 3018 Bern BE",2020-02-24,bern,2020-02-26,,,,1.0,,,,,,
23009245,Wohnung,1590.0,,,,2.5,,nachVereinbarung,,,,,,3007 Bern BE,2020-02-24,bern,2020-02-26,,,,,,,,,,
23009092,Wohnung,513.0,,,,1.0,3.0,01.04.2020,1.0,,,,,3012 Bern BE,2020-02-24,bern,2020-02-26,,,,,,,,,,
23012360,Dachwohnung,1390.0,,,70.0,1.5,,01.04.2020,,,,,,"Papiermühlestrasse 10, 3013 Bern",2020-02-24,bern,2020-02-26,,,,,,,,,,
23001635,Dachwohnung,780.0,,,40.0,1.5,4.0,01.03.2020,,,180.0,170.0,,"Neufeldstrasse 141, 3012 Bern",,bern,2020-02-26,,,,,,370.0,580.0,,,
