,Year,BMI
0,1975,24.4
1,1976,24.4
2,1977,24.5
3,1978,24.5
4,1979,24.6
5,1980,24.6
6,1981,24.7
7,1982,24.7
8,1983,24.8
9,1984,24.8
10,1985,24.9
11,1986,24.9
12,1987,25.0
13,1988,25.0
14,1989,25.0
15,1990,25.1
16,1991,25.1
17,1992,25.2
18,1993,25.2
19,1994,25.3
20,1995,25.3
21,1996,25.4
22,1997,25.5
23,1998,25.5
24,1999,25.6
25,2000,25.6
26,2001,25.7
27,2002,25.8
28,2003,25.8
29,2004,25.9
30,2005,25.9
31,2006,26.0
32,2007,26.0
33,2008,26.1
34,2009,26.1
35,2010,26.2
36,2011,26.2
37,2012,26.3
38,2013,26.3
39,2014,26.3
40,2015,26.4
41,2016,26.4
