,Year,Diabetes,Malnutrition,Cancer stomach,Cancer oral,Cancer oesophagus,Cancer colon,Population,Diabetes %,Malnutrition %,Cancer stomach %,Cancer oral %,Cancer oesophagus %,Cancer colon %
0,1990,97593.0,2583.0,110879.0,28546.0,27621.0,141882.0,476014973,0.020502086181226068,0.0005426299899184054,0.023293174855657326,0.0059968701866863336,0.005802548568151868,0.029806205276656287
1,1991,99426.0,2630.0,110065.0,29734.0,28144.0,144479.0,477383683,0.02082727238919894,0.0005509195420070526,0.023055878095439637,0.006228532951345135,0.005895467524808551,0.03026475456640189
2,1992,97965.0,2896.0,108402.0,30653.0,28439.0,148522.0,478743459,0.02046294276367335,0.0006049168809635893,0.022643024768720654,0.006402802884038987,0.005940342257501214,0.031023295923506288
3,1993,98573.0,2866.0,104977.0,30906.0,29002.0,149575.0,480227396,0.02052631749480615,0.0005968006040205171,0.021859852410419333,0.006435701140215665,0.0060392223020945685,0.031146702842417592
4,1994,96827.0,2820.0,103738.0,31294.0,29533.0,152901.0,481398505,0.020113689385055318,0.0005857932608245221,0.02154929833028875,0.006500643370298792,0.006134834174443479,0.031761835238769597
5,1995,100705.0,3273.0,101328.0,31726.0,29933.0,155802.0,482320196,0.020879283271812238,0.0006785948478093586,0.021008450577093395,0.006577788005377241,0.00620604325679118,0.032302607539991965
6,1996,101733.0,3230.0,99188.0,31882.0,30143.0,156511.0,483124594,0.021057301007532645,0.0006685645980589429,0.02053052178088868,0.006599125856134742,0.006239177300090006,0.03239557702997004
7,1997,94975.0,3322.0,89527.0,30163.0,28442.0,148510.0,484695181,0.01959478941054295,0.0006853792094953797,0.018470784012189302,0.006223086422639717,0.005868017903813243,0.030639875497338605
8,1998,98700.0,3062.0,88981.0,31157.0,28878.0,151965.0,486227756,0.020299129118412567,0.0006297460320220798,0.01830027161180819,0.006407902390500307,0.0059391920028522595,0.031253871899489014
9,1999,107776.0,3248.0,92826.0,32736.0,30555.0,161359.0,486918517,0.022134298909811227,0.0006670520603758431,0.01906396999890641,0.006723096135610714,0.006275177249009817,0.033138809547470956
10,2000,106450.0,3512.0,91419.0,32388.0,30299.0,160711.0,487749804,0.021824714049500673,0.0007200412939581622,0.018743011119692832,0.006640289700659726,0.006211996345569008,0.03294947505504277
11,2001,108605.0,3484.0,89116.0,32725.0,30519.0,161801.0,488601617,0.022227720134622476,0.000713055356098013,0.018238989986805548,0.00669768557069675,0.00624619300021678,0.033115117586686164
12,2002,111983.0,3628.0,87439.0,32842.0,30996.0,163267.0,489827142,0.022861738437515985,0.0007406694502853824,0.017850991197217076,0.006704814246491878,0.0063279466044778715,0.033331554338407815
13,2003,117673.0,3961.0,85086.0,32643.0,30890.0,164435.0,491623688,0.02393558383622882,0.0008056975480807183,0.0173071400090876,0.006639834653370079,0.00628326111088447,0.03344733055255059
14,2004,110108.0,3495.0,79515.0,31221.0,29992.0,159768.0,493577060,0.022308168049787403,0.0007080961177571745,0.01610994643875872,0.0063254560493552926,0.006076457443139679,0.03236941360281209
15,2005,114368.0,3867.0,76686.0,31342.0,30391.0,160598.0,495517460,0.023080518696556123,0.0007803963153992596,0.015475943067677172,0.006325105072987741,0.006133184489604059,0.03241015967429281
16,2006,111008.0,3741.0,75317.0,31502.0,30165.0,160904.0,497368686,0.0223190568937426,0.0007521583294851819,0.015143092462399213,0.006333732075766427,0.00606491740414876,0.032351051549714974
17,2007,117341.0,3998.0,78867.0,33130.0,31615.0,166970.0,499298904,0.02350115312890813,0.0008007227670581868,0.0157955483915903,0.006635303970144505,0.00633187850939084,0.03344089054920097
18,2008,117374.0,4119.0,77966.0,33208.0,31533.0,169751.0,501193634,0.023418892826559727,0.0008218380523165224,0.015556063507382858,0.006625782481506938,0.006291580311652563,0.03386934479698519
19,2009,117772.0,4256.0,76831.0,33375.0,31825.0,169328.0,502630427,0.023431132234260858,0.0008467453960959669,0.015285783723554802,0.00664006757394335,0.006331689903842611,0.033688370401818116
20,2010,116456.0,4373.0,75260.0,34184.0,32340.0,171527.0,503067728,0.02314916929038231,0.0008692666527000912,0.01496021227583098,0.006795108908278051,0.006428557866069278,0.034096204239123844
21,2011,118777.0,4404.0,74291.0,34624.0,32238.0,172410.0,503506293,0.023589973283610975,0.00087466632715949,0.014754731178702468,0.006876577409530013,0.006402700512027165,0.034241875900446785
22,2012,120266.0,4969.0,72175.0,34789.0,32754.0,173903.0,504605401,0.023833672759281464,0.0009847298483434187,0.014303255545217598,0.0068942979863190175,0.0064910125684524735,0.03446316659618949
23,2013,117751.0,5028.0,63694.0,32196.0,31393.0,161977.0,506199072,0.023261796892428913,0.000993285108195536,0.012582796674901845,0.006360343544841583,0.006201710302621811,0.03199867580950445
24,2014,117956.0,5055.0,71186.0,36349.0,33387.0,173408.0,507877648,0.02322527885692658,0.0009953184630011518,0.01401636797372898,0.007157038736227273,0.00657382740340642,0.034143656583996776
