,Year,All Sugar forms,Fruits & Veggies,"Sweetners, Honey, Dates",Population,All Sugar forms pp,Fruits & Veggies pp,"Sweetners, Honey, Dates pp"
0,1990,274136,169329,3394,476014973,575.8978510115058,355.72200372781134,7.130027819524072
1,1991,237782,163328,2954,477383683,498.09410850768444,342.1315093419312,6.18789477980545
2,1992,231257,162671,3225,478743459,483.04994178520985,339.78741002495866,6.7363844651504685
3,1993,235362,153891,3323,480227396,490.1053166904289,320.45443738074454,6.919638545569358
4,1994,207899,146089,3674,481398505,431.86465649701177,303.4679137609702,7.631930639252817
5,1995,219008,147418,4074,482320196,454.07180088307973,305.6434319412161,8.446670974565619
6,1996,220787,155368,4131,483124594,456.9980554539933,321.5899209635352,8.550589333069638
7,1997,215434,153602,4380,484695181,444.47316260815063,316.9043267215813,9.036607277512834
8,1998,203177,150949,4371,486227756,417.8638456830506,310.44916325179923,8.989614323868421
9,1999,209664,157960,4642,486918517,430.59360587019944,324.40746138229116,9.533422611652291
10,2000,197566,161786,4931,487749804,405.05603155506344,331.69874938586344,10.10969140235677
11,2001,188523,157216,5568,488601617,385.84194861557324,321.76725276781065,11.395787091715663
12,2002,207529,159024,5701,489827142,423.6780329335037,324.6533039200184,11.638799713552826
13,2003,187643,165761,6187,491623688,381.68014393968747,337.1704904504113,12.584828906779611
14,2004,208360,173698,6153,493577060,422.14279569638023,351.91667943400773,12.466138519484677
15,2005,213403,170595,6388,495517460,430.6669637836778,344.27646606034835,12.891573992165684
16,2006,202384,173997,7770,497368686,406.9094128696313,349.8350517386613,15.622213900293675
17,2007,198241,167839,8381,499298904,397.0387245232167,336.14934592365944,16.785536545059188
18,2008,180898,171158,7828,501193634,360.93435296905625,341.50074619662865,15.618713944000332
19,2009,190284,171577,8048,502630427,378.5763650158012,341.3581645346751,16.01176444497261
20,2010,177427,164858,8231,503067728,352.69008549878595,327.7053780718766,16.361614036987085
21,2011,224497,171685,8393,503506293,445.86731709428705,340.9788564449978,16.669106457424157
22,2012,215820,165326,8381,504605401,427.70053505630233,327.6342260157457,16.609017627221153
23,2013,200604,173941,8173,506199072,396.2946814726677,343.621728330628,16.14582177661519
24,2014,231641,158517,17524,507877648,456.0960713908008,312.11651196746504,34.50437338403993
