,Year,Diabetes %,Malnutrition %,Cancer stomach %,Cancer oral %,Cancer oesophagus %,Cancer colon %,All Sugar forms pp,Fruits & Veggiess pp,"Sweetners, Honey, Dates pp",BMI
0,1990,0.020502086181226068,0.0005426299899184054,0.02329317485565733,0.005996870186686334,0.005802548568151868,0.029806205276656287,575.8978510115057,355.7220037278113,7.130027819524073,25.1
1,1991,0.02082727238919894,0.0005509195420070526,0.02305587809543964,0.006228532951345135,0.0058954675248085505,0.03026475456640189,498.0941085076845,342.1315093419312,6.18789477980545,25.1
2,1992,0.02046294276367335,0.0006049168809635892,0.022643024768720654,0.006402802884038987,0.005940342257501214,0.031023295923506288,483.0499417852098,339.7874100249586,6.7363844651504685,25.2
3,1993,0.02052631749480615,0.0005968006040205171,0.02185985241041933,0.006435701140215665,0.0060392223020945685,0.031146702842417592,490.1053166904288,320.45443738074454,6.919638545569358,25.2
4,1994,0.020113689385055318,0.0005857932608245222,0.02154929833028875,0.006500643370298792,0.006134834174443479,0.0317618352387696,431.8646564970117,303.4679137609702,7.6319306392528174,25.3
5,1995,0.02087928327181224,0.0006785948478093586,0.021008450577093395,0.0065777880053772405,0.00620604325679118,0.032302607539991965,454.0718008830797,305.64343194121614,8.446670974565619,25.3
6,1996,0.021057301007532645,0.0006685645980589428,0.02053052178088868,0.006599125856134742,0.006239177300090006,0.032395577029970035,456.9980554539933,321.5899209635352,8.550589333069638,25.4
7,1997,0.01959478941054295,0.0006853792094953798,0.018470784012189302,0.0062230864226397176,0.005868017903813243,0.030639875497338605,444.4731626081506,316.9043267215813,9.036607277512834,25.5
8,1998,0.020299129118412567,0.0006297460320220798,0.01830027161180819,0.006407902390500307,0.00593919200285226,0.031253871899489014,417.8638456830506,310.44916325179923,8.989614323868421,25.5
9,1999,0.022134298909811227,0.0006670520603758431,0.01906396999890641,0.006723096135610714,0.006275177249009817,0.03313880954747096,430.5936058701994,324.40746138229116,9.533422611652293,25.6
10,2000,0.021824714049500676,0.0007200412939581622,0.018743011119692832,0.006640289700659726,0.0062119963455690074,0.03294947505504277,405.0560315550634,331.69874938586344,10.10969140235677,25.6
11,2001,0.022227720134622483,0.000713055356098013,0.018238989986805548,0.00669768557069675,0.006246193000216779,0.033115117586686164,385.84194861557324,321.76725276781065,11.395787091715665,25.7
12,2002,0.022861738437515985,0.0007406694502853824,0.017850991197217076,0.006704814246491878,0.0063279466044778715,0.033331554338407815,423.67803293350374,324.6533039200184,11.638799713552823,25.8
13,2003,0.02393558383622882,0.0008056975480807183,0.0173071400090876,0.006639834653370079,0.00628326111088447,0.033447330552550586,381.6801439396874,337.1704904504113,12.584828906779613,25.8
14,2004,0.022308168049787403,0.0007080961177571745,0.01610994643875872,0.0063254560493552926,0.006076457443139679,0.032369413602812085,422.1427956963802,351.91667943400773,12.466138519484675,25.9
15,2005,0.023080518696556127,0.0007803963153992597,0.015475943067677172,0.006325105072987741,0.006133184489604059,0.03241015967429281,430.66696378367783,344.27646606034835,12.891573992165684,25.9
16,2006,0.0223190568937426,0.0007521583294851818,0.015143092462399213,0.006333732075766428,0.00606491740414876,0.032351051549714974,406.90941286963135,349.8350517386613,15.622213900293676,26.0
17,2007,0.02350115312890813,0.0008007227670581867,0.0157955483915903,0.006635303970144505,0.00633187850939084,0.03344089054920097,397.03872452321673,336.14934592365944,16.785536545059188,26.0
18,2008,0.023418892826559727,0.0008218380523165224,0.01555606350738286,0.006625782481506939,0.006291580311652563,0.03386934479698519,360.93435296905625,341.5007461966286,15.618713944000332,26.1
19,2009,0.023431132234260858,0.0008467453960959669,0.015285783723554804,0.00664006757394335,0.006331689903842611,0.033688370401818116,378.5763650158012,341.35816453467515,16.01176444497261,26.1
20,2010,0.02314916929038231,0.0008692666527000912,0.014960212275830982,0.006795108908278051,0.0064285578660692785,0.034096204239123844,352.69008549878595,327.7053780718766,16.361614036987085,26.2
21,2011,0.02358997328361097,0.00087466632715949,0.01475473117870247,0.006876577409530013,0.0064027005120271645,0.034241875900446785,445.8673170942871,340.9788564449978,16.669106457424153,26.2
22,2012,0.02383367275928146,0.0009847298483434187,0.014303255545217598,0.006894297986319018,0.006491012568452474,0.03446316659618949,427.70053505630233,327.6342260157457,16.609017627221153,26.3
23,2013,0.023261796892428917,0.0009932851081955359,0.012582796674901843,0.0063603435448415825,0.006201710302621811,0.03199867580950445,396.2946814726677,343.621728330628,16.14582177661519,26.3
24,2014,0.02322527885692658,0.0009953184630011518,0.01401636797372898,0.007157038736227274,0.00657382740340642,0.034143656583996776,456.0960713908008,312.11651196746504,34.50437338403993,26.3
