No. of deaths - Malignant neoplasm of liver and intrahepatic bile ducts, both sexes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Years;Albania;Austria;Belarus;Belgium;Bosnia and Herzegovina;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Georgia;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Monaco;Montenegro;Netherlands;Norway;Poland;Portugal;Republic of Moldova;Romania;San Marino;Serbia;Slovakia;Slovenia;Spain;Sweden;Switzerland;TFYR Macedonia;Ukraine;United Kingdom
2016;;807;;;;;535;50;829;;;;;;;;850;20;;;;226;;;;;1096;;;;481;3121;;;;;;732;;;; 
2015;;917;;936;;;494;51;818;440;102;509;;339;7842;1558;862;19;;9702;134;210;43;24;;;949;262;2031;;466;3059;;744;;249;5044;689;755;;1580;5179 
2014;;899;327;889;393;679;491;49;826;462;83;489;8224;325;7686;1451;904;24;326;9915;150;192;44;26;;;890;204;1924;1090;467;2961;;734;427;230;5055;698;712;;1698;5111 
2013;;897;331;895;;661;537;57;830;410;95;453;8120;274;7467;261;832;21;306;9761;145;156;58;21;;;759;232;1980;1037;507;2815;;765;412;251;5082;686;715;178;;4845 
2012;;896;;845;;678;515;46;779;398;94;484;8036;271;7670;277;821;16;236;10116;115;190;45;22;;;839;228;2027;969;423;2760;;722;359;214;5016;660;685;198;2134;4537 
2011;;793;368;855;435;722;502;41;766;371;85;423;7955;261;7562;251;796;14;261;10054;142;196;37;23;;;754;210;1941;979;387;2689;;756;;196;4916;569;632;209;1683;4121 
2010;;839;372;826;;724;482;37;855;379;103;429;8026;163;7390;298;747;18;244;9419;136;189;48;23;;;722;203;2015;895;424;2738;;681;354;191;4767;640;604;205;1601;3806 
2009;;820;390;779;;800;476;36;732;293;97;464;7705;271;7231;209;776;10;246;9739;137;167;54;19;;33;693;186;1996;861;424;2627;;815;334;182;4610;634;622;213;1621;3642 
2008;;784;369;775;;808;450;34;793;297;88;401;7567;;7062;191;765;14;189;9473;121;153;45;24;;37;625;163;2006;804;419;2651;;747;373;190;4528;592;638;177;1633;3409 
2007;;774;328;725;;902;400;37;822;262;75;395;7374;179;6827;193;654;10;204;9725;140;166;32;15;;35;647;144;1949;779;385;2323;;780;346;182;4544;588;648;207;1651;3220 
2006;;822;;695;;946;417;39;881;310;79;421;7454;139;6680;180;724;11;66;9680;140;153;31;16;;50;552;148;1990;;387;2503;;804;368;159;4440;634;585;183;1732;3083 
2005;;789;;683;;872;380;40;870;321;86;386;7339;186;6142;227;842;11;48;9507;139;172;38;9;;56;586;171;1838;;344;2376;;732;354;133;4346;610;528;;1755;2862 
2004;;762;;670;;;448;28;959;234;83;378;7111;304;6125;211;970;8;36;9726;139;150;30;15;;33;566;135;1997;;350;2315;;756;349;140;4435;644;550;;;2718 
