No. of deaths - Malignant neoplasm of pancreas, both sexes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Years;Albania;Austria;Belarus;Belgium;Bosnia and Herzegovina;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Georgia;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Monaco;Montenegro;Netherlands;Norway;Poland;Portugal;Republic of Moldova;Romania;San Marino;Serbia;Slovakia;Slovenia;Spain;Sweden;Switzerland;TFYR Macedonia;Ukraine;United Kingdom
2016;;1678;;;;;757;82;2078;;;;;;;;2178;50;;;;492;;;;;2830;;;;357;2883;;;;;;1740;;;; 
2015;;1671;;1710;;;762;85;2020;961;238;1137;;184;17156;1859;1978;53;;11500;372;470;61;83;;;2694;761;4909;;350;2864;;1134;;367;6406;1812;1273;;4276;8941 
2014;;1619;919;1647;437;1144;678;76;1998;967;251;1080;10371;219;16615;1763;1999;50;514;11186;375;475;94;88;;;2684;713;4983;1362;367;2903;;1056;822;373;6287;1792;1202;;4558;8834 
2013;;1488;844;1662;;1091;709;68;1994;943;260;1025;10117;151;16601;1712;1976;34;495;11201;356;441;71;72;;;2454;700;4730;1376;338;2827;;1071;716;355;6039;1675;1214;207;;8522 
2012;;1558;;1587;;1060;746;63;1885;981;211;1029;9611;167;16120;1631;2003;41;476;10722;369;465;68;73;;;2568;724;4772;1299;338;2800;;1100;760;350;5976;1703;1169;187;4803;8668 
2011;;1537;900;1649;362;958;686;51;2033;877;258;1005;9344;149;15940;1561;1850;27;478;10809;383;451;72;63;;;2529;646;4448;1292;347;2702;;1055;;363;5812;1582;1119;186;4672;8332 
2010;77;1488;809;1602;;1003;670;56;1881;893;215;995;9253;70;15488;1459;1848;31;477;10512;384;446;61;73;;;2481;630;4530;1250;345;2636;;1088;736;363;5716;1548;1179;189;4356;7917 
2009;154;1424;783;1444;;984;684;70;1846;879;242;948;9103;156;15159;1535;1837;29;483;10024;356;443;86;59;;51;2379;664;4547;1200;327;2589;;1021;712;333;5242;1543;1095;200;4204;8042 
2008;124;1426;816;1516;;1035;712;56;1763;897;229;992;9031;;14835;1469;1794;28;470;9830;377;455;59;73;;39;2378;655;4522;1111;268;2584;;1034;703;336;5233;1572;1016;178;4274;7792 
2007;117;1379;731;1468;;996;631;67;1781;862;208;962;8623;96;14445;1486;1747;39;465;9834;331;438;56;62;;33;2209;659;4376;1089;295;2471;;966;700;299;4976;1536;1026;158;4190;7759 
2006;104;1300;;1417;;899;582;40;1841;841;224;885;8263;88;13942;1331;1692;33;410;9574;329;449;37;47;;51;2126;633;4201;;292;2426;;910;675;305;4860;1588;951;165;4170;7333 
2005;123;1318;;1454;;932;611;43;1808;800;169;829;8049;99;13575;1300;1611;31;349;9033;370;459;54;34;;53;2176;634;4072;;298;2337;;988;667;260;4591;1491;956;149;4326;7255 
2004;138;1317;;1305;;948;537;49;1711;813;184;908;7748;174;13008;1274;1683;27;380;9123;330;417;62;49;;39;1971;622;3923;;257;2321;;852;555;242;4549;1452;900;142;;7063 
2003;105;1336;720;1326;;865;569;;1720;749;204;835;7431;;12686;1251;1658;30;389;8777;328;388;51;51;;38;1833;592;4017;958;244;2199;;855;588;241;4432;1424;907;139;;7047 
2002;106;1244;792;1342;;815;540;;1613;701;180;755;7426;;12819;1203;1670;33;390;8394;335;442;63;55;;39;1860;646;3809;949;233;2129;;835;538;247;4283;1459;977;136;;6901 
2001;87;1237;;1213;;807;545;;1615;745;184;747;7258;125;12438;1169;1561;25;374;8334;324;383;66;47;;32;1873;618;3720;972;209;2191;;772;593;246;4216;1420;864;119;;6773 
2000;85;1264;;1255;;777;513;21;1566;795;170;721;6836;135;12116;1139;1546;25;349;8112;327;404;54;43;;41;1767;571;3764;879;236;2004;3;748;576;234;4000;1451;866;110;;6897 
1999;79;1223;;1316;;784;534;18;1457;791;169;695;6992;135;12134;1186;1562;46;370;7822;349;377;47;47;;;1776;563;3524;855;215;2001;2;782;523;215;3827;1329;875;136;;6672 
1998;78;1148;;1310;;777;506;;1512;771;180;755;6714;131;11634;1091;1585;30;374;7718;334;355;51;43;;;1698;547;;871;244;1869;2;753;594;216;3623;1370;864;126;;6562 
1997;57;1196;;1275;;740;428;;1540;664;155;734;6747;;11317;1052;1596;37;364;7471;325;401;44;46;;;1741;572;;893;236;1906;3;;523;249;3635;1381;838;137;;6499 
1996;67;1152;;1288;;752;485;;1488;664;148;690;6507;;11075;1001;1575;33;336;7204;322;388;39;32;;;1729;585;3451;798;266;1851;4;;481;224;3468;1438;800;104;;6563 
1995;68;1191;;1219;;723;417;;1502;711;173;656;6372;;11149;1005;1533;27;348;6975;;410;47;43;;;1668;569;3446;827;256;1734;4;;458;179;3372;1383;820;102;;6520 
1994;33;1232;;1163;;732;404;;1455;719;187;710;6284;;11027;966;1588;27;367;7232;;395;45;37;;;1682;579;3365;799;271;1723;;;469;176;3459;1376;;115;;6510 
1993;39;1146;;1193;;724;424;;1438;;;692;6405;;10812;871;1472;25;375;6978;;363;42;39;;;1605;582;3528;818;284;1616;;;506;218;3235;1484;;90;;6662 
1992;36;1159;;1171;;667;410;;1425;;;642;6186;;10829;970;1497;30;360;6688;;;44;43;;;1687;557;3277;730;291;1534;;;511;213;3046;1361;;101;;6793 
1991;;1074;;1064;184;716;424;;1490;;;722;5975;;10465;910;1443;22;335;6627;;;37;34;;;1680;538;3314;701;298;1514;;;;201;2952;1356;;96;;6728 
1990;;1087;;1136;239;687;411;;1420;;;687;5737;;9981;836;1460;35;371;6409;;;37;35;;;1685;548;3177;723;;1455;;;;187;2948;1382;;;;6954 
1989;43;1010;;1151;224;701;430;;1394;;;693;5793;;;810;1418;28;354;6361;;;37;25;;;1691;569;3191;768;;1425;;;;169;2796;1405;;;;6892 
1988;53;1055;;1072;238;636;432;;1337;;;635;5818;;;792;1440;32;372;6025;;;46;26;;;1717;620;3188;699;;1379;;;;148;2696;1431;;;;6795 
1987;43;1057;;1114;184;664;374;;1432;;;676;5439;;;789;1406;19;365;5900;;;42;29;12;;1640;574;3157;685;;1347;;;;151;2603;1399;;;;6798 
1986;;1046;;1105;184;608;350;;1301;;;;5202;;;725;1367;26;350;5450;;;42;31;11;;1649;564;3030;652;;1397;;;;151;2471;;;;;6776 
1985;;1025;;1024;187;660;385;;;;;;5107;;;773;1260;33;312;5335;;;37;28;;;1647;;2940;639;;1281;;;;152;2380;;;;;6806 
1984;;979;;1011;;621;;;;;;;4995;;;671;1241;26;375;5127;;;50;24;;;1668;;2686;554;;1268;;;;;2276;;;;;6807 
1983;;1024;;1048;;599;;;;;;;4984;;;674;1346;37;338;4870;;;46;29;;;1548;;2567;595;;1155;;;;;2014;;;;;6593 
1982;;998;;1076;;584;;;;;;;4770;;;615;1327;24;352;4679;;;57;30;;;1546;;2458;517;;1165;;;;;1973;;;;;6466 
1981;;974;;1009;;517;;;;;;;4736;;;614;1291;20;327;4438;;;46;29;;;1553;;2453;507;;1141;;;;;1880;;;;;6495 
1980;;1013;;1044;;478;;;;;;;4772;;;575;1181;;347;4382;;;33;17;;;1606;;2439;485;;1222;;;;;1721;;;;;6754 
1979;;;;1097;;;;;;;;;4589;;;528;1276;;321;4160;;;41;18;;;1463;;;;;;;;;;;;;;;6685 
