No. of deaths - Diabetes mellitus, both sexes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Years;Albania;Austria;Belarus;Belgium;Bosnia and Herzegovina;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Georgia;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Monaco;Montenegro;Netherlands;Norway;Poland;Portugal;Republic of Moldova;Romania;San Marino;Serbia;Slovakia;Slovenia;Spain;Sweden;Switzerland;TFYR Macedonia;Ukraine;United Kingdom
2016;;3300;;;;;1889;311;3766;;;;;;;;2786;32;;;;307;;;;;2891;;;;410;2680;;;;;;2046;;;; 
2015;;3463;;1506;;;1657;375;3728;1352;137;483;;988;24400;1780;2771;23;;22246;472;318;83;173;;;2830;604;8249;;409;2510;;3027;;328;10181;2030;1316;;1905;6559 
2014;;3121;194;1535;2231;1497;1333;396;3500;1293;150;498;10823;1037;22643;1667;2583;27;482;20183;504;280;94;157;;;2761;614;6786;4275;376;2243;;2513;895;289;9625;1880;1214;;1948;6309 
2013;;2872;196;1614;;1393;1243;373;3748;1320;146;488;11170;1052;24257;1400;2584;33;573;20921;458;307;77;105;;;2899;656;7441;4548;360;2215;;2803;792;337;9391;1971;1315;836;;5857 
2012;;2972;;1708;;1683;1330;364;2247;1314;132;491;11223;1156;24055;1165;2843;23;536;21536;469;325;58;39;;;2811;733;7129;4875;350;2294;;2999;970;331;9987;1963;1242;850;2205;5858 
2011;;2902;274;1588;1905;1608;1194;368;2378;1355;164;478;10908;984;23552;1152;2782;19;466;21159;486;278;55;46;;;2756;711;6766;4545;308;2223;;3135;;291;9995;1944;1206;761;2212;5823 
2010;10;3011;313;1623;;1754;1424;312;1945;1248;152;456;10725;470;23131;1075;2559;24;487;20620;538;277;69;103;;;3002;702;6512;4748;359;2450;;3195;651;255;9799;1936;1250;737;2354;6180 
2009;9;3294;341;1774;;1947;1362;308;1967;1322;208;436;11168;551;22769;1063;2654;27;471;20823;508;304;40;139;;80;3052;700;6761;4614;325;2274;;3068;674;235;9985;1939;1419;705;2317;6139 
2008;37;3385;342;1761;;2120;1296;328;1979;1281;224;540;11177;;22330;1242;2865;26;482;20233;402;285;51;153;;87;3202;713;6599;4278;336;2206;;3113;625;274;10153;1999;1534;788;2478;6450 
2007;64;3115;414;1618;;2091;1323;342;2430;1307;250;530;10992;482;21871;1394;3029;26;514;19898;366;301;49;116;;89;3266;823;6359;4395;366;2289;;3005;640;267;10152;1960;1430;707;2709;6362 
2006;130;3641;;1617;;2164;1112;335;1487;1302;236;473;10973;456;22308;1317;3137;27;539;19297;276;330;55;128;;121;3510;824;6014;;389;2119;;2541;714;391;9675;1997;1380;736;2818;6439 
2005;140;3710;;1708;;1904;1077;346;1424;1337;226;519;11296;497;24342;1063;3598;21;471;19491;229;337;45;113;;122;3759;795;5447;;370;2123;2;2575;722;519;10339;1979;1430;696;2975;6621 
2004;160;3760;;1672;;1928;973;354;1358;1288;286;547;10891;847;23653;1013;2362;21;459;18129;238;307;43;114;;120;3769;621;5078;;314;2182;;2571;748;617;9966;1953;1563;683;2725;6795 
2003;149;3034;541;1665;;1953;1069;;1440;1360;162;528;11842;;23941;855;2608;23;418;19759;275;265;51;85;;128;3791;699;5226;4551;370;2124;;2661;772;678;10099;1909;1835;593;3003;7211 
2002;140;2028;707;1650;;1968;891;;1276;1462;132;545;11203;;23607;811;2352;15;418;17620;251;301;54;91;;121;4079;680;5126;4447;336;1867;2;2553;730;591;9754;1914;1618;551;3046;7046 
2001;113;1460;662;1540;;1960;796;;1207;1373;159;524;11060;676;21878;700;1819;27;398;17833;287;266;51;102;;96;4283;717;5060;3962;340;1809;;2336;762;545;9581;1875;1603;555;3191;6999 
2000;121;1388;673;1556;;2084;905;20;1414;1433;126;572;10816;827;21180;839;2280;19;412;17648;235;241;53;82;;138;3345;655;5190;3138;367;1871;0;2506;758;491;9253;1770;1558;534;3474;6478 
1999;86;1502;760;2428;;1969;1029;21;1169;1367;129;549;9796;716;20947;824;2359;25;455;18212;268;250;40;95;;;3308;678;5331;3385;442;1967;0;2514;1015;399;9720;1798;1619;451;3427;6726 
