No. of deaths - Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, both sexes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Years;Albania;Austria;Belarus;Belgium;Bosnia and Herzegovina;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Georgia;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Monaco;Montenegro;Netherlands;Norway;Poland;Portugal;Republic of Moldova;Romania;San Marino;Serbia;Slovakia;Slovenia;Spain;Sweden;Switzerland;TFYR Macedonia;Ukraine;United Kingdom
2016;;2123;;;;;2169;116;3509;;;;;;;;5059;74;;;;921;;;;;5207;;;;877;6418;;;;;;2775;;;; 
2015;;2044;;2845;;;2056;115;3582;1836;471;1211;;424;25418;2805;5008;70;;18979;703;983;114;122;;;5151;1590;12159;;825;6127;;2594;;778;15380;2780;1768;;10921;16462 
2014;;2164;2196;2788;909;2560;2094;106;3540;1750;455;1229;16873;340;25512;2750;5050;76;987;18671;689;932;106;106;;;4951;1564;11411;3808;833;5865;;2595;1989;736;15476;2771;1734;;11504;16288 
2013;;2178;2280;2898;;2590;2037;115;3572;1820;461;1200;16926;318;25693;2549;5107;58;1032;18756;680;932;132;109;;;4976;1540;11296;3848;815;5809;;2656;2091;784;15600;2759;1660;418;;16282 
2012;;2141;;3006;;2553;2006;123;3720;1898;423;1192;17154;323;25972;2565;5084;41;982;19202;789;914;115;122;;;5374;1604;11244;3813;750;5823;;2681;1985;761;15604;2687;1740;383;12620;16509 
2011;;2175;2278;2958;812;2341;2009;90;3687;1942;432;1139;17179;258;26302;2438;5054;47;1040;19120;689;954;122;110;;;5127;1554;10663;3829;829;5559;;2554;;769;15382;2707;1811;410;12066;15974 
2010;80;2146;2290;2944;;2455;1931;96;3879;1942;409;1136;16993;137;25999;2378;4965;52;917;18863;680;953;127;111;;;5111;1589;10820;3764;720;5435;;2573;1759;786;14883;2597;1725;382;11854;16046 
2009;106;2144;1198;3063;;2452;1866;92;3883;1946;417;1110;17079;295;26076;2380;4949;63;945;18560;697;997;126;102;;81;4900;1546;10501;3648;819;5366;;2649;1760;792;14238;2631;1668;400;11835;15948 
2008;101;2237;2280;3005;;2541;1855;86;3915;1988;399;1082;16946;;26662;2296;4753;43;974;18514;643;946;121;112;;73;4843;1556;10407;3634;743;5096;;2560;1814;760;13816;2675;1584;378;12021;16292 
2007;108;2210;2047;2984;;2584;1738;120;3909;1824;397;1080;16354;201;26433;2248;4779;54;911;18349;695;920;124;114;;67;4854;1543;9969;3481;751;4971;;2403;1767;779;13516;2647;1740;385;11867;16047 
2006;104;2349;;2943;;2443;1800;88;4183;2075;420;1061;16426;205;27225;2100;4695;53;1004;18067;687;919;110;102;;68;4735;1575;9676;;705;4867;;2422;1785;689;13101;2643;1614;329;11642;15994 
2005;108;2394;;2955;;2526;1747;70;4246;2025;413;1049;16599;234;27539;2129;4557;51;938;18027;698;928;112;90;;58;4600;1468;9459;;646;4657;9;2486;1772;652;12934;2537;1633;299;11836;16117 
2004;101;2385;;2872;;2146;1564;95;4556;1970;403;982;16458;410;27782;2126;4979;46;958;17685;693;896;99;79;;66;4429;1586;9338;;652;4411;;2282;1780;670;12971;2546;1609;323;11669;16151 
2003;111;2592;2198;2855;;2182;1622;;4629;1952;343;1056;16438;;28589;2020;5095;69;918;17255;688;874;121;93;;61;4451;1608;9119;3221;582;4331;;2147;1708;718;12481;2545;1638;330;11636;16159 
2002;101;2483;2228;2946;;2188;1558;;4453;1978;411;992;16133;;28868;1969;4790;57;898;17236;635;874;114;94;;57;4415;1612;9042;3131;588;4285;6;2180;1761;672;12210;2549;1594;306;11617;16236 
2001;83;2448;2304;2893;;2189;1410;;4381;2092;361;997;15959;396;28367;1928;4852;59;923;16898;614;844;112;82;;54;4329;1672;8927;3178;538;4172;;2005;1730;585;12046;2616;1687;299;11576;16195 
2000;78;2536;2241;2940;;2179;1509;49;4402;2064;363;1025;15950;334;28987;1824;4886;52;904;16646;603;827;116;85;;53;4300;1594;8517;2863;574;3808;5;2072;1722;600;11653;2501;1720;301;11563;16265 
1999;86;2624;2262;3120;;2136;1440;37;4395;2102;383;994;16558;263;29386;2115;4912;49;970;16408;660;807;113;82;;;4418;1521;8002;2913;536;3691;6;1950;1847;628;11300;2422;1604;235;11669;16715 
