No. of deaths - Malignant neoplasm of oesophagus, both sexes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Years;Albania;Austria;Belarus;Belgium;Bosnia and Herzegovina;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Georgia;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Monaco;Montenegro;Netherlands;Norway;Poland;Portugal;Republic of Moldova;Romania;San Marino;Serbia;Slovakia;Slovenia;Spain;Sweden;Switzerland;TFYR Macedonia;Ukraine;United Kingdom
2016;;374;;;;;197;8;516;;;;;;;;558;21;;;;179;;;;;1869;;;;89;758;;;;;;526;;;; 
2015;;334;;755;;;180;7;526;396;70;233;;65;5507;187;577;14;;1844;127;203;19;17;;;1813;216;1483;;78;700;;271;;86;1931;444;455;;1563;7960 
2014;;361;391;772;93;174;194;12;523;397;73;274;3756;66;5343;217;544;13;384;1825;133;202;26;25;;;1759;226;1515;565;83;710;;253;288;85;1834;452;475;;1546;7798 
2013;;358;405;768;;199;172;4;533;377;49;253;3652;53;5436;232;627;20;372;1805;116;175;26;12;;;1667;209;1471;544;56;677;;274;277;82;1798;435;477;30;;7752 
2012;;358;;715;;197;209;12;532;448;77;266;3796;44;5260;206;575;15;376;1815;119;185;29;15;;;1737;205;1575;559;60;694;;274;255;90;1788;428;430;38;1663;7709 
2011;;314;385;684;91;186;225;8;473;408;58;242;3817;48;5138;189;596;20;359;1809;113;164;34;20;;;1638;184;1425;561;62;732;;245;;85;1875;417;454;35;1534;7610 
2010;16;330;345;735;;188;202;4;481;378;62;254;3926;16;4979;216;605;19;325;1871;135;163;28;9;;;1642;222;1396;532;70;675;;298;263;75;1808;408;436;22;1590;7616 
2009;23;333;389;677;;195;219;12;435;342;63;233;3911;44;4937;208;618;14;350;1783;118;181;22;17;;16;1569;168;1424;548;63;660;;275;245;94;1770;419;421;23;1431;7575 
2008;33;335;355;682;;186;202;13;452;347;56;184;3887;;4790;194;600;20;370;1778;108;185;18;21;;8;1558;178;1398;551;58;642;;275;265;79;1789;362;414;27;1496;7617 
2007;23;312;349;687;;183;222;12;410;384;47;247;3908;33;4845;216;670;18;329;1764;104;196;26;19;;12;1474;180;1525;520;85;645;;256;272;99;1777;399;440;28;1528;7371 
2006;47;328;;630;;194;230;13;452;401;54;191;3837;22;4716;181;586;11;327;1736;107;165;25;8;;15;1453;177;1446;;77;632;;246;240;80;1760;386;402;26;1546;7418 
2005;43;307;;639;;193;208;5;445;403;59;216;3926;41;4790;190;586;15;303;1805;97;140;28;13;;14;1443;192;1435;;70;616;;243;252;88;1756;390;409;32;1577;7422 
2004;48;286;;658;;177;175;6;442;415;62;188;3866;60;4547;219;668;12;325;1785;98;169;27;5;;11;1339;196;1497;;69;557;;223;251;97;1832;414;363;22;1652;7231 
2003;32;279;329;647;;162;217;;446;378;47;184;4008;;4484;200;705;9;327;1888;105;147;21;11;;7;1347;161;1423;523;69;536;;229;238;74;1827;419;407;30;1623;7351 
2002;24;319;364;629;;180;218;;400;437;46;191;4172;;4523;190;675;9;290;1971;89;143;22;13;;12;1213;156;1513;543;67;553;;239;270;108;1740;348;398;26;1645;7260 
2001;29;310;358;584;;170;216;;379;399;52;202;4060;53;4296;179;675;12;323;2126;102;163;18;11;;12;1158;138;1387;540;73;510;;230;269;82;1788;391;406;32;1742;7044 
2000;33;266;332;584;;174;213;2;407;412;43;176;4172;65;4125;186;722;12;322;2020;94;146;23;5;;6;1225;145;1382;527;61;504;1;253;253;77;1790;354;384;30;1854;6919 
1999;22;298;378;573;;222;201;3;390;396;51;206;4362;57;4139;168;723;8;304;2176;112;152;24;10;;;1154;160;1264;497;66;502;0;192;297;116;1753;349;350;20;1883;6977 
1998;22;284;345;621;;242;210;;419;366;49;174;4432;67;3966;175;733;18;293;2129;92;146;29;14;;;1034;145;;493;84;444;0;260;292;80;1797;349;380;16;1842;6836 
1997;29;262;345;579;;277;241;;411;347;55;193;4324;57;4157;206;698;19;311;2041;97;127;19;12;;;1025;151;;480;63;450;0;;210;80;1762;373;353;22;1933;6733 
1996;36;265;331;585;;257;184;;394;354;72;187;4573;39;4142;166;682;21;303;2124;97;144;28;13;;;1070;125;1347;482;79;438;1;;277;103;1822;347;337;20;1998;6700 
1995;23;249;375;560;;294;218;;388;343;48;216;4614;3;4073;193;696;18;289;2170;87;121;28;13;;;1017;142;1314;457;86;404;1;;245;93;1791;297;356;23;2024;6664 
1994;24;233;334;541;;233;199;;362;328;56;163;4689;39;3913;176;683;15;323;2301;97;136;15;16;;;974;145;1314;461;99;459;;;219;103;1789;331;;17;2164;6582 
1993;27;227;374;547;;352;195;;361;;55;196;4684;;3905;182;588;12;285;2288;100;152;28;9;;;865;129;1280;516;101;386;;;218;82;1762;343;;26;2243;6484 
1992;29;242;352;483;;252;175;;384;;58;184;4803;65;3709;192;602;6;286;2255;90;124;19;7;;;917;137;1203;477;106;368;;;219;112;1784;333;;17;2230;6219 
1991;;255;357;463;96;484;193;;333;;64;192;4843;67;3690;181;597;16;272;2313;92;126;20;19;;;773;152;1248;460;84;325;;;;104;1679;346;;26;2215;6059 
1990;;235;320;500;65;272;234;;332;;59;175;5016;79;3455;182;586;9;286;2258;100;119;17;8;;;833;130;1237;507;95;282;;;;78;1761;330;;;2068;5993 
1989;35;238;298;482;73;286;180;;312;;52;195;4961;85;;180;546;6;268;2305;102;103;15;11;;;730;112;1188;501;108;320;;;;93;1703;317;;;1907;5757 
1988;50;209;312;475;82;140;215;;287;;55;201;4958;79;;198;537;7;259;2379;74;100;19;8;;;723;144;1314;517;87;303;;;;95;1654;315;;;1810;5591 
1987;44;219;257;526;78;161;226;;291;;49;186;5066;100;;190;469;14;241;2309;90;72;15;5;1;;627;115;1237;527;62;291;;;;103;1708;344;;;1779;5452 
1986;;232;256;452;83;124;197;;255;;49;;5085;90;;178;462;7;235;2381;69;95;27;10;3;;641;107;1206;505;81;308;;;;87;1665;;;;1731;5227 
1985;;226;224;464;93;124;182;;;;45;;5111;117;;179;439;13;232;2418;71;103;20;5;;;607;;1179;502;73;273;;;;84;1570;;;;1512;5222 
1984;;232;;434;;115;;;;;;;5317;;;193;411;10;227;2301;77;;20;11;;;568;;1161;497;;264;;;;;1599;;;;;4948 
1983;;254;;431;;90;;;;;;;5224;;;196;391;8;245;2357;72;;18;4;;;550;;1163;523;;296;;;;;1578;;;;;4739 
1982;;221;200;419;;125;;;;;29;;5296;139;;213;386;13;219;2271;67;75;27;15;;;508;;1110;479;73;238;;;;;1631;;;;1361;4667 
1981;;262;163;385;;108;;;;;31;;5119;92;;193;370;3;233;2346;62;69;20;13;;;485;;1033;455;69;279;;;;;1466;;;;1272;4481 
1980;;240;;443;;81;;;;;;;5335;;;168;355;;227;2262;60;;24;14;;;431;;984;457;;274;;;;;1477;;;;;4392 
1979;;;;401;;;;;;;;;5430;;;206;305;;189;2288;;;17;15;;;470;;;;;;;;;;;;;;;4200 
