No. of deaths - Malignant neoplasm of stomach, both sexes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Years;Albania;Austria;Belarus;Belgium;Bosnia and Herzegovina;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Georgia;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Monaco;Montenegro;Netherlands;Norway;Poland;Portugal;Republic of Moldova;Romania;San Marino;Serbia;Slovakia;Slovenia;Spain;Sweden;Switzerland;TFYR Macedonia;Ukraine;United Kingdom
2016;;778;;;;;757;59;998;;;;;;;;1579;16;;;;662;;;;;1239;;;;448;3358;;;;;;577;;;; 
2015;;825;;740;;;801;61;1040;377;276;441;;480;9258;1357;1500;23;;9424;472;683;31;34;;;1290;325;5279;;469;3355;;903;;339;5506;567;530;;7096;4398 
2014;;853;1843;744;511;1159;771;58;1099;415;309;413;4578;479;9610;1300;1602;19;369;9557;454;698;50;41;;;1305;301;5253;2293;480;3450;;957;656;357;5534;612;558;;7911;4587 
2013;;875;1939;742;;1258;849;67;1100;363;291;479;4665;399;9622;1375;1619;19;298;9595;485;643;34;46;;;1340;320;5232;2266;483;3416;;982;694;346;5626;646;569;307;;4704 
2012;;925;;806;;1288;797;47;1133;414;282;445;4592;442;9978;1318;1732;19;313;10000;473;685;39;42;;;1361;326;5317;2376;504;3386;;1068;662;346;5682;603;523;337;9152;4762 
2011;;906;2127;810;461;1261;885;48;1092;387;288;484;4676;374;10090;1289;1701;22;327;9985;465;670;43;50;;;1419;362;5239;2430;503;3527;;1067;;375;5606;663;536;345;8935;4843 
2010;165;857;2259;723;;1273;839;44;1246;409;289;489;4565;228;10177;1259;1626;27;326;10075;498;681;41;31;;;1450;345;5364;2323;482;3539;;1063;686;394;5851;662;481;378;9148;4967 
2009;302;923;2353;751;;1340;872;51;1216;383;303;487;4647;442;10244;1304;1824;16;357;10240;529;688;35;44;;39;1492;326;5331;2381;496;3581;;1166;684;359;5696;669;485;344;9400;5031 
2008;326;932;2484;800;;1491;878;61;1191;438;288;525;4646;;10510;1333;1725;17;319;10177;539;771;33;46;;29;1424;365;5573;2505;513;3767;;1096;639;379;5628;685;518;341;9787;5187 
2007;307;934;2377;801;;1489;910;46;1217;385;336;475;4684;294;10487;1356;1762;20;324;10522;551;786;31;36;;40;1413;385;5610;2363;530;3630;;1125;724;360;5747;737;542;373;9905;5253 
2006;356;1016;;828;;1536;856;46;1298;381;366;526;4763;305;10923;1321;1847;20;349;10620;585;740;34;35;;52;1450;349;5513;;502;3773;;1067;745;337;5716;738;525;365;10166;5268 
2005;352;1066;;827;;1599;906;27;1296;405;313;541;4834;398;11300;1282;1722;31;337;10422;546;768;35;38;;43;1529;438;5517;;525;3731;14;1207;737;356;5681;754;542;339;10549;5679 
2004;371;1125;;841;;1500;967;36;1409;365;348;573;4940;587;11473;1325;1938;30;305;11035;571;797;40;43;;38;1546;408;5716;;518;3992;;1290;771;363;5811;833;530;337;10866;5877 
2003;371;1150;2731;859;;1511;995;;1440;399;342;554;4860;;11844;1365;2035;21;324;11024;552;789;41;43;;39;1606;465;5771;2479;471;3856;;1204;733;345;5862;820;542;356;11261;6026 
2002;334;1144;2948;940;;1674;975;;1482;349;342;568;5118;;12388;1368;2114;22;335;10952;578;811;36;49;;42;1571;439;5875;2524;486;4088;10;1194;764;384;5786;857;562;371;11587;6372 
2001;298;1150;2966;976;;1576;947;;1466;416;336;566;5060;490;12451;1423;2166;24;336;11036;607;803;34;28;;34;1608;502;5929;2578;456;4082;;1191;782;368;6111;875;602;363;11990;6490 
2000;364;1229;3128;951;;1643;969;10;1565;368;367;562;5168;533;13132;1333;2167;33;352;11278;585;848;33;38;;43;1719;463;6036;2617;520;3919;10;1266;835;405;6092;862;575;359;12434;6608 
1999;351;1281;3253;999;;1683;983;16;1538;402;396;561;5366;526;13145;1335;2306;23;352;11388;635;855;44;48;;;1715;577;6000;2647;475;3864;5;1179;820;405;6170;922;623;318;12644;6976 
1998;345;1362;3291;1116;;1756;999;;1606;413;423;592;5516;533;13821;1327;2371;26;357;11729;630;840;43;39;;;1668;521;;2565;514;3704;6;1262;893;414;6092;914;646;409;12901;7337 
1997;313;1423;3107;1143;;1774;1020;;1728;426;384;660;5599;418;14215;1319;2374;42;375;11827;664;860;51;47;;;1741;571;;2631;527;3954;2;;837;450;6456;1029;678;372;13016;7494 
1996;344;1512;3362;1148;;1868;1014;;1853;500;411;666;5794;406;15244;1313;2412;32;399;12452;652;913;47;57;;;1926;572;6332;2699;646;3914;5;;842;385;6412;987;675;375;13364;7655 
1995;282;1595;3363;1183;;1883;1029;;1901;479;399;666;5886;375;15389;1313;2588;29;410;12454;721;940;55;39;;;1871;618;6559;2814;710;3968;11;;860;454;6557;973;686;355;13908;8005 
1994;193;1667;3421;1255;;1998;1022;;1950;489;428;696;5986;395;15929;1233;2686;29;420;13214;718;876;52;42;;;1979;620;6630;2644;691;3952;;;845;416;6735;1088;;370;14524;8545 
1993;228;1735;3485;1310;;2035;1076;;1966;;467;733;6268;;16242;1311;2715;41;451;13234;704;994;60;38;;;1992;577;6766;2806;692;3955;;;916;480;6662;1083;;360;15087;8508 
1992;271;1682;3534;1335;;2256;993;;1957;;445;712;6315;534;16638;1308;2824;36;437;13312;784;1037;59;47;;;2119;640;7007;2908;680;3872;;;893;442;6607;1161;;334;15897;9326 
1991;;1805;3549;1446;504;2136;1151;;2072;;425;769;6471;692;17240;1300;2844;52;466;13721;799;966;44;65;;;2122;692;7080;2827;750;3841;;;;462;6713;1215;;363;15990;9493 
1990;;1837;3507;1473;483;2271;1195;;2199;;480;794;6798;713;17285;1347;2895;34;446;13784;767;1030;48;53;;;2091;693;7299;3010;773;3764;;;;446;6888;1227;;;15441;9808 
1989;279;1850;3485;1493;536;2231;1210;;2341;;495;884;6863;736;;1319;2949;58;436;13958;827;980;68;38;;;2234;706;7483;2943;705;3861;;;;461;7007;1275;;;15895;10185 
1988;277;1891;3481;1612;508;2271;1218;;2363;;442;876;7295;789;;1340;2976;39;478;14495;808;974;48;41;;;2328;705;7777;2884;682;3987;;;;478;7117;1298;;;15694;10612 
1987;232;2045;3388;1706;429;2339;1242;;2337;;458;920;7178;730;;1350;2977;42;484;14385;801;992;64;44;6;;2372;743;7974;2861;691;3923;;;;485;7210;1337;;;15777;10733 
1986;;2044;3404;1781;422;2368;1220;;2421;;494;;7326;761;;1419;3079;45;540;14612;820;1050;60;47;3;;2333;756;8026;2837;659;4093;;;;494;7050;;;;15604;10918 
1985;;2116;3386;1796;442;2371;1252;;;;507;;7585;772;;1307;3129;51;512;14714;860;1059;54;43;;;2403;;8218;2914;634;4245;;;;511;7140;;;;15514;11212 
1984;;2235;;1802;;2438;;;;;;;8055;;;1394;3327;48;517;15056;858;;69;45;;;2470;;8550;2948;;4065;;;;;7193;;;;;11570 
1983;;2264;;2017;;2501;;;;;;;8135;;;1408;3460;50;516;15270;884;;69;60;;;2507;;8529;2864;;4215;;;;;7073;;;;;11763 
1982;;2420;3415;2079;;2619;;;;;498;;8130;760;;1379;3626;43;506;15091;835;1072;64;47;;;2605;;8520;2902;643;4438;;;;;7125;;;;15431;11540 
1981;;2447;3274;2128;;2526;;;;;480;;8482;718;;1457;3760;47;546;15440;830;1098;79;56;;;2542;;8837;2825;606;4513;;;;;7297;;;;14934;12006 
1980;;2531;;2064;;2416;;;;;;;8650;;;1423;3821;;592;15313;849;;65;53;;;2581;;9024;2915;;5059;;;;;7612;;;;;12286 
1979;;;;2162;;;;;;;;;9020;;;1499;4001;;629;15730;;;87;39;;;2669;;;;;;;;;;;;;;;12754 
