Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2536","Sugar cane","2014","2014","1000 tonnes","11","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2536","Sugar cane","2015","2015","1000 tonnes","12","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2536","Sugar cane","2016","2016","1000 tonnes","2626","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2536","Sugar cane","2017","2017","1000 tonnes","2875","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2537","Sugar beet","2014","2014","1000 tonnes","202631","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2537","Sugar beet","2015","2015","1000 tonnes","160338","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2537","Sugar beet","2016","2016","1000 tonnes","187665","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2537","Sugar beet","2017","2017","1000 tonnes","218457","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2541","Sugar non-centrifugal","2014","2014","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2541","Sugar non-centrifugal","2015","2015","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2541","Sugar non-centrifugal","2016","2016","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2541","Sugar non-centrifugal","2017","2017","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","2014","2014","1000 tonnes","28999","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","2015","2015","1000 tonnes","27487","A","Aggregate, may include official, semi-official, estimated or calculated data"
