"FREQUENC","GEO","UNIT","QUANTILE","TIME","SEX","AGE","Value","Flag and Footnotes"
"Every day","European Union - 28 countries","Percentage","Total","2014","Total","Total","9.2","e"
"Every week","European Union - 28 countries","Percentage","Total","2014","Total","Total","29.6","e"
"Every month","European Union - 28 countries","Percentage","Total","2014","Total","Total","23.1","e"
"Less than once a month","European Union - 28 countries","Percentage","Total","2014","Total","Total","14.2","e"
"Never or not in the last 12 months","European Union - 28 countries","Percentage","Total","2014","Total","Total","23.9","e"
"Every day","Belgium","Percentage","Total","2014","Total","Total","14.2","u"
"Every week","Belgium","Percentage","Total","2014","Total","Total","37.8","u"
"Every month","Belgium","Percentage","Total","2014","Total","Total","20.6","u"
"Less than once a month","Belgium","Percentage","Total","2014","Total","Total","9.2","u"
"Never or not in the last 12 months","Belgium","Percentage","Total","2014","Total","Total","18.2","u"
"Every day","Bulgaria","Percentage","Total","2014","Total","Total","8.9",""
"Every week","Bulgaria","Percentage","Total","2014","Total","Total","19.6",""
"Every month","Bulgaria","Percentage","Total","2014","Total","Total","25.3",""
"Less than once a month","Bulgaria","Percentage","Total","2014","Total","Total","12.3",""
"Never or not in the last 12 months","Bulgaria","Percentage","Total","2014","Total","Total","33.9",""
"Every day","Czechia","Percentage","Total","2014","Total","Total","9.5",""
"Every week","Czechia","Percentage","Total","2014","Total","Total","34.6",""
"Every month","Czechia","Percentage","Total","2014","Total","Total","26.4",""
"Less than once a month","Czechia","Percentage","Total","2014","Total","Total","15.3",""
"Never or not in the last 12 months","Czechia","Percentage","Total","2014","Total","Total","14.1",""
"Every day","Denmark","Percentage","Total","2014","Total","Total","11.3",""
"Every week","Denmark","Percentage","Total","2014","Total","Total","40.0",""
"Every month","Denmark","Percentage","Total","2014","Total","Total","27.1",""
"Less than once a month","Denmark","Percentage","Total","2014","Total","Total","12.9",""
"Never or not in the last 12 months","Denmark","Percentage","Total","2014","Total","Total","8.7",""
"Every day","Germany (until 1990 former territory of the FRG)","Percentage","Total","2014","Total","Total","9.3",""
"Every week","Germany (until 1990 former territory of the FRG)","Percentage","Total","2014","Total","Total","39.6",""
"Every month","Germany (until 1990 former territory of the FRG)","Percentage","Total","2014","Total","Total","25.2",""
"Less than once a month","Germany (until 1990 former territory of the FRG)","Percentage","Total","2014","Total","Total","12.8",""
"Never or not in the last 12 months","Germany (until 1990 former territory of the FRG)","Percentage","Total","2014","Total","Total","13.1",""
"Every day","Estonia","Percentage","Total","2014","Total","Total","2.0",""
"Every week","Estonia","Percentage","Total","2014","Total","Total","18.1",""
"Every month","Estonia","Percentage","Total","2014","Total","Total","28.8",""
"Less than once a month","Estonia","Percentage","Total","2014","Total","Total","31.6",""
"Never or not in the last 12 months","Estonia","Percentage","Total","2014","Total","Total","19.5",""
"Every day","Ireland","Percentage","Total","2014","Total","Total","2.0",""
"Every week","Ireland","Percentage","Total","2014","Total","Total","41.4",""
"Every month","Ireland","Percentage","Total","2014","Total","Total","27.0",""
"Less than once a month","Ireland","Percentage","Total","2014","Total","Total","10.9",""
"Never or not in the last 12 months","Ireland","Percentage","Total","2014","Total","Total","18.8",""
"Every day","Greece","Percentage","Total","2014","Total","Total","6.9",""
"Every week","Greece","Percentage","Total","2014","Total","Total","23.7",""
"Every month","Greece","Percentage","Total","2014","Total","Total","25.8",""
"Less than once a month","Greece","Percentage","Total","2014","Total","Total","11.5",""
"Never or not in the last 12 months","Greece","Percentage","Total","2014","Total","Total","32.1",""
"Every day","Spain","Percentage","Total","2014","Total","Total","15.3",""
"Every week","Spain","Percentage","Total","2014","Total","Total","22.3",""
