"DURATION","GEO","UNIT","QUANTILE","TIME","SEX","AGE","Value","Flag and Footnotes"
"Zero minutes","European Union - 28 countries","Percentage","First quintile","2014","Total","Total","57.1",""
"From 1 to 149 minutes","European Union - 28 countries","Percentage","First quintile","2014","Total","Total","17.5",""
"From 150 to 299 minutes","European Union - 28 countries","Percentage","First quintile","2014","Total","Total","10.7",""
"300 minutes or over","European Union - 28 countries","Percentage","First quintile","2014","Total","Total","14.6",""
"Zero minutes","Bulgaria","Percentage","First quintile","2014","Total","Total","89.9",""
"From 1 to 149 minutes","Bulgaria","Percentage","First quintile","2014","Total","Total","5.8",""
"From 150 to 299 minutes","Bulgaria","Percentage","First quintile","2014","Total","Total","1.1",""
"300 minutes or over","Bulgaria","Percentage","First quintile","2014","Total","Total","3.2",""
"Zero minutes","Czechia","Percentage","First quintile","2014","Total","Total","54.0",""
"From 1 to 149 minutes","Czechia","Percentage","First quintile","2014","Total","Total","22.0",""
"From 150 to 299 minutes","Czechia","Percentage","First quintile","2014","Total","Total","9.9",""
"300 minutes or over","Czechia","Percentage","First quintile","2014","Total","Total","14.1",""
"Zero minutes","Denmark","Percentage","First quintile","2014","Total","Total","22.8",""
"From 1 to 149 minutes","Denmark","Percentage","First quintile","2014","Total","Total","23.4",""
"From 150 to 299 minutes","Denmark","Percentage","First quintile","2014","Total","Total","20.2",""
"300 minutes or over","Denmark","Percentage","First quintile","2014","Total","Total","33.7",""
"Zero minutes","Germany (until 1990 former territory of the FRG)","Percentage","First quintile","2014","Total","Total","36.5",""
"From 1 to 149 minutes","Germany (until 1990 former territory of the FRG)","Percentage","First quintile","2014","Total","Total","20.9",""
"From 150 to 299 minutes","Germany (until 1990 former territory of the FRG)","Percentage","First quintile","2014","Total","Total","17.2",""
"300 minutes or over","Germany (until 1990 former territory of the FRG)","Percentage","First quintile","2014","Total","Total","25.4",""
"Zero minutes","Estonia","Percentage","First quintile","2014","Total","Total","58.5",""
"From 1 to 149 minutes","Estonia","Percentage","First quintile","2014","Total","Total","19.9",""
"From 150 to 299 minutes","Estonia","Percentage","First quintile","2014","Total","Total","9.3",""
"300 minutes or over","Estonia","Percentage","First quintile","2014","Total","Total","12.4",""
"Zero minutes","Ireland","Percentage","First quintile","2014","Total","Total","50.3",""
"From 1 to 149 minutes","Ireland","Percentage","First quintile","2014","Total","Total","19.4",""
"From 150 to 299 minutes","Ireland","Percentage","First quintile","2014","Total","Total","14.0",""
"300 minutes or over","Ireland","Percentage","First quintile","2014","Total","Total","16.2",""
"Zero minutes","Greece","Percentage","First quintile","2014","Total","Total","77.8",""
"From 1 to 149 minutes","Greece","Percentage","First quintile","2014","Total","Total","7.6",""
"From 150 to 299 minutes","Greece","Percentage","First quintile","2014","Total","Total","5.7",""
"300 minutes or over","Greece","Percentage","First quintile","2014","Total","Total","8.9",""
"Zero minutes","Spain","Percentage","First quintile","2014","Total","Total","58.2",""
"From 1 to 149 minutes","Spain","Percentage","First quintile","2014","Total","Total","12.0",""
"From 150 to 299 minutes","Spain","Percentage","First quintile","2014","Total","Total","10.8",""
"300 minutes or over","Spain","Percentage","First quintile","2014","Total","Total","19.1",""
"Zero minutes","France","Percentage","First quintile","2014","Total","Total","64.2",""
"From 1 to 149 minutes","France","Percentage","First quintile","2014","Total","Total","19.9",""
"From 150 to 299 minutes","France","Percentage","First quintile","2014","Total","Total","8.1",""
"300 minutes or over","France","Percentage","First quintile","2014","Total","Total","7.7",""
"Zero minutes","Croatia","Percentage","First quintile","2014","Total","Total","56.9",""
"From 1 to 149 minutes","Croatia","Percentage","First quintile","2014","Total","Total","26.1",""
"From 150 to 299 minutes","Croatia","Percentage","First quintile","2014","Total","Total","5.8",""
"300 minutes or over","Croatia","Percentage","First quintile","2014","Total","Total","11.1",""
"Zero minutes","Italy","Percentage","First quintile","2014","Total","Total","75.0",""
"From 1 to 149 minutes","Italy","Percentage","First quintile","2014","Total","Total","11.6",""
"From 150 to 299 minutes","Italy","Percentage","First quintile","2014","Total","Total","6.1",""
"300 minutes or over","Italy","Percentage","First quintile","2014","Total","Total","7.3",""
"Zero minutes","Cyprus","Percentage","First quintile","2014","Total","Total","69.3",""
"From 1 to 149 minutes","Cyprus","Percentage","First quintile","2014","Total","Total","12.8",""
"From 150 to 299 minutes","Cyprus","Percentage","First quintile","2014","Total","Total","8.8",""
"300 minutes or over","Cyprus","Percentage","First quintile","2014","Total","Total","9.1",""
"Zero minutes","Latvia","Percentage","First quintile","2014","Total","Total","58.4",""
"From 1 to 149 minutes","Latvia","Percentage","First quintile","2014","Total","Total","23.8",""
"From 150 to 299 minutes","Latvia","Percentage","First quintile","2014","Total","Total","8.0",""
"300 minutes or over","Latvia","Percentage","First quintile","2014","Total","Total","9.8",""
"Zero minutes","Lithuania","Percentage","First quintile","2014","Total","Total","60.2",""
"From 1 to 149 minutes","Lithuania","Percentage","First quintile","2014","Total","Total","20.4",""
"From 150 to 299 minutes","Lithuania","Percentage","First quintile","2014","Total","Total","9.4",""
"300 minutes or over","Lithuania","Percentage","First quintile","2014","Total","Total","10.0",""
"Zero minutes","Luxembourg","Percentage","First quintile","2014","Total","Total","46.2",""
"From 1 to 149 minutes","Luxembourg","Percentage","First quintile","2014","Total","Total","21.6",""
"From 150 to 299 minutes","Luxembourg","Percentage","First quintile","2014","Total","Total","14.0",""
"300 minutes or over","Luxembourg","Percentage","First quintile","2014","Total","Total","18.1",""
"Zero minutes","Hungary","Percentage","First quintile","2014","Total","Total","53.7",""
"From 1 to 149 minutes","Hungary","Percentage","First quintile","2014","Total","Total","24.6",""
"From 150 to 299 minutes","Hungary","Percentage","First quintile","2014","Total","Total","8.0",""
"300 minutes or over","Hungary","Percentage","First quintile","2014","Total","Total","13.7",""
"Zero minutes","Malta","Percentage","First quintile","2014","Total","Total","57.7",""
"From 1 to 149 minutes","Malta","Percentage","First quintile","2014","Total","Total","15.5",""
"From 150 to 299 minutes","Malta","Percentage","First quintile","2014","Total","Total","13.0",""
"300 minutes or over","Malta","Percentage","First quintile","2014","Total","Total","13.7",""
"Zero minutes","Austria","Percentage","First quintile","2014","Total","Total","29.2",""
"From 1 to 149 minutes","Austria","Percentage","First quintile","2014","Total","Total","24.9",""
"From 150 to 299 minutes","Austria","Percentage","First quintile","2014","Total","Total","19.6",""
"300 minutes or over","Austria","Percentage","First quintile","2014","Total","Total","26.3",""
"Zero minutes","Poland","Percentage","First quintile","2014","Total","Total","58.7",""
"From 1 to 149 minutes","Poland","Percentage","First quintile","2014","Total","Total","27.0",""
"From 150 to 299 minutes","Poland","Percentage","First quintile","2014","Total","Total","7.5",""
"300 minutes or over","Poland","Percentage","First quintile","2014","Total","Total","6.7",""
"Zero minutes","Portugal","Percentage","First quintile","2014","Total","Total","69.9",""
"From 1 to 149 minutes","Portugal","Percentage","First quintile","2014","Total","Total","15.6",""
"From 150 to 299 minutes","Portugal","Percentage","First quintile","2014","Total","Total","6.9",""
"300 minutes or over","Portugal","Percentage","First quintile","2014","Total","Total","7.5",""
"Zero minutes","Romania","Percentage","First quintile","2014","Total","Total","83.2",""
"From 1 to 149 minutes","Romania","Percentage","First quintile","2014","Total","Total","7.7",""
"From 150 to 299 minutes","Romania","Percentage","First quintile","2014","Total","Total","4.6",""
"300 minutes or over","Romania","Percentage","First quintile","2014","Total","Total","4.6",""
"Zero minutes","Slovenia","Percentage","First quintile","2014","Total","Total","53.4",""
"From 1 to 149 minutes","Slovenia","Percentage","First quintile","2014","Total","Total","20.7",""
"From 150 to 299 minutes","Slovenia","Percentage","First quintile","2014","Total","Total","10.5",""
"300 minutes or over","Slovenia","Percentage","First quintile","2014","Total","Total","15.5",""
"Zero minutes","Slovakia","Percentage","First quintile","2014","Total","Total","52.3",""
"From 1 to 149 minutes","Slovakia","Percentage","First quintile","2014","Total","Total","23.7",""
"From 150 to 299 minutes","Slovakia","Percentage","First quintile","2014","Total","Total","10.5",""
"300 minutes or over","Slovakia","Percentage","First quintile","2014","Total","Total","13.6",""
"Zero minutes","Finland","Percentage","First quintile","2014","Total","Total","29.9",""
"From 1 to 149 minutes","Finland","Percentage","First quintile","2014","Total","Total","22.4",""
"From 150 to 299 minutes","Finland","Percentage","First quintile","2014","Total","Total","22.7",""
"300 minutes or over","Finland","Percentage","First quintile","2014","Total","Total","25.0",""
"Zero minutes","Sweden","Percentage","First quintile","2014","Total","Total","21.2",""
"From 1 to 149 minutes","Sweden","Percentage","First quintile","2014","Total","Total","19.6",""
"From 150 to 299 minutes","Sweden","Percentage","First quintile","2014","Total","Total","19.8",""
"300 minutes or over","Sweden","Percentage","First quintile","2014","Total","Total","39.5",""
"Zero minutes","United Kingdom","Percentage","First quintile","2014","Total","Total","58.2",""
"From 1 to 149 minutes","United Kingdom","Percentage","First quintile","2014","Total","Total","17.1",""
"From 150 to 299 minutes","United Kingdom","Percentage","First quintile","2014","Total","Total","11.1",""
"300 minutes or over","United Kingdom","Percentage","First quintile","2014","Total","Total","13.6",""
"Zero minutes","Iceland","Percentage","First quintile","2014","Total","Total","32.3",""
"From 1 to 149 minutes","Iceland","Percentage","First quintile","2014","Total","Total","12.9",""
"From 150 to 299 minutes","Iceland","Percentage","First quintile","2014","Total","Total","26.6",""
"300 minutes or over","Iceland","Percentage","First quintile","2014","Total","Total","28.2",""
"Zero minutes","Norway","Percentage","First quintile","2014","Total","Total","36.5",""
"From 1 to 149 minutes","Norway","Percentage","First quintile","2014","Total","Total","14.2",""
"From 150 to 299 minutes","Norway","Percentage","First quintile","2014","Total","Total","16.4",""
"300 minutes or over","Norway","Percentage","First quintile","2014","Total","Total","33.0",""
"Zero minutes","Turkey","Percentage","First quintile","2014","Total","Total","92.3",""
"From 1 to 149 minutes","Turkey","Percentage","First quintile","2014","Total","Total","5.2",""
"From 150 to 299 minutes","Turkey","Percentage","First quintile","2014","Total","Total","1.1",""
"300 minutes or over","Turkey","Percentage","First quintile","2014","Total","Total","1.5",""
