"TIME","GEO","ICCS","UNIT","Value","Flag and Footnotes"
"2008","Belgium","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","139.25",""
"2008","Bulgaria","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","38.00",""
"2008","Czechia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","27.19",""
"2008","Denmark","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","369.99",""
"2008","Germany (until 1990 former territory of the FRG)","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","291.85",""
"2008","Estonia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","573.13",""
"2008","Ireland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","523.93",""
"2008","Greece","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","109.97",""
"2008","Spain","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","31.89",""
"2008","France","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","9.57",""
"2008","Croatia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","182.79",""
"2008","Italy","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","58.11",""
"2008","Cyprus","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","100.34",""
"2008","Latvia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","114.61",""
"2008","Lithuania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","57.18",""
"2008","Luxembourg","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","277.59",""
"2008","Hungary","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","54.39",""
"2008","Malta","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","44.14",""
"2008","Netherlands","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","115.05",""
"2008","Austria","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","23.83",""
"2008","Poland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","150.55",""
"2008","Portugal","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","35.33",""
"2008","Romania","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","17.55",""
"2008","Slovenia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","71.33",""
"2008","Slovakia","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","10.01",""
"2008","Finland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","292.08",""
"2008","Sweden","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","868.94",""
"2008","England and Wales","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","54.72",""
"2008","Scotland","Unlawful acts involving controlled drugs or precursors","Per hundred thousand inhabitants","198.90",""
