"TIME","GEO","UNIT","SEX","AGE","ICD10","Value","Flag and Footnotes"
"2011","European Union - 28 countries","Rate","Total","Total","All causes of death (A00-Y89) excluding S00-T98","1,026.73","d"
"2011","European Union - 28 countries","Rate","Total","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","224.52",""
"2011","European Union - 28 countries","Rate","Total","65 years or over","All causes of death (A00-Y89) excluding S00-T98","4,338.42","d"
"2011","European Union - 28 countries","Rate","Males","Total","All causes of death (A00-Y89) excluding S00-T98","1,277.89","d"
"2011","European Union - 28 countries","Rate","Males","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","303.45",""
"2011","European Union - 28 countries","Rate","Males","65 years or over","All causes of death (A00-Y89) excluding S00-T98","5,300.58","d"
"2011","European Union - 28 countries","Rate","Females","Total","All causes of death (A00-Y89) excluding S00-T98","837.99","d"
"2011","European Union - 28 countries","Rate","Females","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","148.28",""
"2011","European Union - 28 countries","Rate","Females","65 years or over","All causes of death (A00-Y89) excluding S00-T98","3,685.27","d"
"2011","Belgium","Rate","Total","Total","All causes of death (A00-Y89) excluding S00-T98","1,023.02",""
"2011","Belgium","Rate","Total","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","211.37",""
"2011","Belgium","Rate","Total","65 years or over","All causes of death (A00-Y89) excluding S00-T98","4,373.72",""
"2011","Belgium","Rate","Males","Total","All causes of death (A00-Y89) excluding S00-T98","1,284.61",""
"2011","Belgium","Rate","Males","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","267.7",""
"2011","Belgium","Rate","Males","65 years or over","All causes of death (A00-Y89) excluding S00-T98","5,482.61",""
"2011","Belgium","Rate","Females","Total","All causes of death (A00-Y89) excluding S00-T98","840.11",""
"2011","Belgium","Rate","Females","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","155.32",""
"2011","Belgium","Rate","Females","65 years or over","All causes of death (A00-Y89) excluding S00-T98","3,667.06",""
"2011","Bulgaria","Rate","Total","Total","All causes of death (A00-Y89) excluding S00-T98","1,689.88",""
"2011","Bulgaria","Rate","Total","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","385.19",""
"2011","Bulgaria","Rate","Total","65 years or over","All causes of death (A00-Y89) excluding S00-T98","7,075.92",""
"2011","Bulgaria","Rate","Males","Total","All causes of death (A00-Y89) excluding S00-T98","2,076.46",""
"2011","Bulgaria","Rate","Males","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","548.86",""
"2011","Bulgaria","Rate","Males","65 years or over","All causes of death (A00-Y89) excluding S00-T98","8,382.7",""
"2011","Bulgaria","Rate","Females","Total","All causes of death (A00-Y89) excluding S00-T98","1,394.04",""
"2011","Bulgaria","Rate","Females","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","232.13",""
"2011","Bulgaria","Rate","Females","65 years or over","All causes of death (A00-Y89) excluding S00-T98","6,190.6",""
"2011","Czechia","Rate","Total","Total","All causes of death (A00-Y89) excluding S00-T98","1,331.4",""
"2011","Czechia","Rate","Total","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","267.08",""
"2011","Czechia","Rate","Total","65 years or over","All causes of death (A00-Y89) excluding S00-T98","5,725.14",""
"2011","Czechia","Rate","Males","Total","All causes of death (A00-Y89) excluding S00-T98","1,680.05",""
"2011","Czechia","Rate","Males","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","373.91",""
"2011","Czechia","Rate","Males","65 years or over","All causes of death (A00-Y89) excluding S00-T98","7,072.04",""
"2011","Czechia","Rate","Females","Total","All causes of death (A00-Y89) excluding S00-T98","1,089.62",""
"2011","Czechia","Rate","Females","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","163.72",""
"2011","Czechia","Rate","Females","65 years or over","All causes of death (A00-Y89) excluding S00-T98","4,911.93",""
"2011","Denmark","Rate","Total","Total","All causes of death (A00-Y89) excluding S00-T98","1,111.31",""
"2011","Denmark","Rate","Total","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","211.1",""
"2011","Denmark","Rate","Total","65 years or over","All causes of death (A00-Y89) excluding S00-T98","4,827.54",""
"2011","Denmark","Rate","Males","Total","All causes of death (A00-Y89) excluding S00-T98","1,341.83",""
"2011","Denmark","Rate","Males","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","259.35",""
"2011","Denmark","Rate","Males","65 years or over","All causes of death (A00-Y89) excluding S00-T98","5,810.53",""
"2011","Denmark","Rate","Females","Total","All causes of death (A00-Y89) excluding S00-T98","945.31",""
"2011","Denmark","Rate","Females","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","162.79",""
"2011","Denmark","Rate","Females","65 years or over","All causes of death (A00-Y89) excluding S00-T98","4,175.71",""
"2011","Germany (until 1990 former territory of the FRG)","Rate","Total","Total","All causes of death (A00-Y89) excluding S00-T98","1,004.77","d"
"2011","Germany (until 1990 former territory of the FRG)","Rate","Total","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","205.04",""
"2011","Germany (until 1990 former territory of the FRG)","Rate","Total","65 years or over","All causes of death (A00-Y89) excluding S00-T98","4,306.19","d"
"2011","Germany (until 1990 former territory of the FRG)","Rate","Males","Total","All causes of death (A00-Y89) excluding S00-T98","1,204.94","d"
"2011","Germany (until 1990 former territory of the FRG)","Rate","Males","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","266.58",""
"2011","Germany (until 1990 former territory of the FRG)","Rate","Males","65 years or over","All causes of death (A00-Y89) excluding S00-T98","5,078.71","d"
"2011","Germany (until 1990 former territory of the FRG)","Rate","Females","Total","All causes of death (A00-Y89) excluding S00-T98","842.9","d"
"2011","Germany (until 1990 former territory of the FRG)","Rate","Females","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","143.73",""
"2011","Germany (until 1990 former territory of the FRG)","Rate","Females","65 years or over","All causes of death (A00-Y89) excluding S00-T98","3,729.2","d"
"2011","Estonia","Rate","Total","Total","All causes of death (A00-Y89) excluding S00-T98","1,326.09",""
"2011","Estonia","Rate","Total","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","353.02",""
"2011","Estonia","Rate","Total","65 years or over","All causes of death (A00-Y89) excluding S00-T98","5,343.13",""
"2011","Estonia","Rate","Males","Total","All causes of death (A00-Y89) excluding S00-T98","1,882.65",""
"2011","Estonia","Rate","Males","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","551.73",""
"2011","Estonia","Rate","Males","65 years or over","All causes of death (A00-Y89) excluding S00-T98","7,377",""
"2011","Estonia","Rate","Females","Total","All causes of death (A00-Y89) excluding S00-T98","1,008.38",""
"2011","Estonia","Rate","Females","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","182.31",""
"2011","Estonia","Rate","Females","65 years or over","All causes of death (A00-Y89) excluding S00-T98","4,418.58",""
"2011","Ireland","Rate","Total","Total","All causes of death (A00-Y89) excluding S00-T98","1,030.07",""
"2011","Ireland","Rate","Total","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","184.71",""
"2011","Ireland","Rate","Total","65 years or over","All causes of death (A00-Y89) excluding S00-T98","4,519.88",""
"2011","Ireland","Rate","Males","Total","All causes of death (A00-Y89) excluding S00-T98","1,250.95",""
"2011","Ireland","Rate","Males","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","229.79",""
"2011","Ireland","Rate","Males","65 years or over","All causes of death (A00-Y89) excluding S00-T98","5,466.5",""
"2011","Ireland","Rate","Females","Total","All causes of death (A00-Y89) excluding S00-T98","868.29",""
"2011","Ireland","Rate","Females","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","139.71",""
"2011","Ireland","Rate","Females","65 years or over","All causes of death (A00-Y89) excluding S00-T98","3,876.02",""
"2011","Greece","Rate","Total","Total","All causes of death (A00-Y89) excluding S00-T98","1,022.72",""
"2011","Greece","Rate","Total","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","193.15",""
"2011","Greece","Rate","Total","65 years or over","All causes of death (A00-Y89) excluding S00-T98","4,447.37",""
"2011","Greece","Rate","Males","Total","All causes of death (A00-Y89) excluding S00-T98","1,235.15",""
"2011","Greece","Rate","Males","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","272.66",""
"2011","Greece","Rate","Males","65 years or over","All causes of death (A00-Y89) excluding S00-T98","5,208.52",""
"2011","Greece","Rate","Females","Total","All causes of death (A00-Y89) excluding S00-T98","845.96",""
"2011","Greece","Rate","Females","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","117.34",""
"2011","Greece","Rate","Females","65 years or over","All causes of death (A00-Y89) excluding S00-T98","3,853.86",""
"2011","Spain","Rate","Total","Total","All causes of death (A00-Y89) excluding S00-T98","889.55",""
"2011","Spain","Rate","Total","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","168.26",""
"2011","Spain","Rate","Total","65 years or over","All causes of death (A00-Y89) excluding S00-T98","3,867.17",""
"2011","Spain","Rate","Males","Total","All causes of death (A00-Y89) excluding S00-T98","1,155.58",""
"2011","Spain","Rate","Males","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","232.46",""
"2011","Spain","Rate","Males","65 years or over","All causes of death (A00-Y89) excluding S00-T98","4,966.44",""
"2011","Spain","Rate","Females","Total","All causes of death (A00-Y89) excluding S00-T98","693.42",""
"2011","Spain","Rate","Females","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","105.54",""
"2011","Spain","Rate","Females","65 years or over","All causes of death (A00-Y89) excluding S00-T98","3,120.31",""
"2011","France","Rate","Total","Total","All causes of death (A00-Y89) excluding S00-T98","870.97",""
"2011","France","Rate","Total","Less than 65 years","All causes of death (A00-Y89) excluding S00-T98","210.7",""
