"TIME","GEO","UNIT","SEX","AGE","ICD10","Value","Flag and Footnotes"
"2001","European Union - 28 countries","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol",":",""
"2001","European Union - 28 countries","Rate","Total","Total","Drug dependence, toxicomania (F11-F16, F18-F19)",":",""
"2001","Belgium","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol",":",""
"2001","Belgium","Rate","Total","Total","Drug dependence, toxicomania (F11-F16, F18-F19)",":",""
"2001","Bulgaria","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","1.1",""
"2001","Bulgaria","Rate","Total","Total","Drug dependence, toxicomania (F11-F16, F18-F19)","0.1",""
"2001","Czechia","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","1.1",""
"2001","Czechia","Rate","Total","Total","Drug dependence, toxicomania (F11-F16, F18-F19)","0.0",""
"2001","Denmark","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","10.5",""
"2001","Denmark","Rate","Total","Total","Drug dependence, toxicomania (F11-F16, F18-F19)","0.6",""
"2001","Germany (until 1990 former territory of the FRG)","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","5.7",""
"2001","Germany (until 1990 former territory of the FRG)","Rate","Total","Total","Drug dependence, toxicomania (F11-F16, F18-F19)","0.8",""
"2001","Estonia","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","4.7",""
"2001","Estonia","Rate","Total","Total","Drug dependence, toxicomania (F11-F16, F18-F19)","0.2",""
"2001","Ireland","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","2.9",""
"2001","Ireland","Rate","Total","Total","Drug dependence, toxicomania (F11-F16, F18-F19)","2.8",""
"2001","Greece","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","0.1",""
"2001","Greece","Rate","Total","Total","Drug dependence, toxicomania (F11-F16, F18-F19)",":",""
"2001","Spain","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","1.0",""
"2001","Spain","Rate","Total","Total","Drug dependence, toxicomania (F11-F16, F18-F19)","0.1",""
"2001","France","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","5.7",""
"2001","France","Rate","Total","Total","Drug dependence, toxicomania (F11-F16, F18-F19)","0.3",""
"2001","France (metropolitan)","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","5.5",""
"2001","France (metropolitan)","Rate","Total","Total","Drug dependence, toxicomania (F11-F16, F18-F19)","0.2",""
"2001","Croatia","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol",":",""
"2001","Croatia","Rate","Total","Total","Drug dependence, toxicomania (F11-F16, F18-F19)",":",""
"2001","Italy","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","0.4",""
"2001","Italy","Rate","Total","Total","Drug dependence, toxicomania (F11-F16, F18-F19)","0.9",""
"2001","Cyprus","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol",":",""
"2001","Cyprus","Rate","Total","Total","Drug dependence, toxicomania (F11-F16, F18-F19)",":",""
"2001","Latvia","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","10.6",""
"2001","Latvia","Rate","Total","Total","Drug dependence, toxicomania (F11-F16, F18-F19)",":",""
"2001","Lithuania","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","1.5",""
"2001","Lithuania","Rate","Total","Total","Drug dependence, toxicomania (F11-F16, F18-F19)","0.2",""
"2001","Luxembourg","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","6.9",""
"2001","Luxembourg","Rate","Total","Total","Drug dependence, toxicomania (F11-F16, F18-F19)",":",""
