#NAME?,"<?xml version=""1.0""?><WebTableParameter xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns=""""><DataTable Code=""AV_AN_WAGE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Average annual wages</Name><Name LocaleIsoCode=""fr"">Salaires annuels moyens</Name><Dimension Code=""COUNTRY"" CommonCode=""LFS_COUNTRY"" Display=""labels""><Name LocaleIsoCode=""en"">Country</Name><Name LocaleIsoCode=""fr"">Pays</Name><Member Code=""AUS"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Australia</Name><Name LocaleIsoCode=""fr"">Australie</Name></Member><Member Code=""AUT"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Austria</Name><Name LocaleIsoCode=""fr"">Autriche</Name></Member><Member Code=""BEL"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Belgium</Name><Name LocaleIsoCode=""fr"">Belgique</Name></Member><Member Code=""CAN"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Canada</Name><Name LocaleIsoCode=""fr"">Canada</Name></Member><Member Code=""CHL"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Chile</Name><Name LocaleIsoCode=""fr"">Chili</Name></Member><Member Code=""CZE"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Czech Republic</Name><Name LocaleIsoCode=""fr"">République tchèque</Name></Member><Member Code=""DNK"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Denmark</Name><Name LocaleIsoCode=""fr"">Danemark</Name></Member><Member Code=""EST"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Estonia</Name><Name LocaleIsoCode=""fr"">Estonie</Name></Member><Member Code=""FIN"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Finland</Name><Name LocaleIsoCode=""fr"">Finlande</Name></Member><Member Code=""FRA"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">France</Name><Name LocaleIsoCode=""fr"">France</Name></Member><Member Code=""DEU"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Germany</Name><Name LocaleIsoCode=""fr"">Allemagne</Name></Member><Member Code=""GRC"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Greece</Name><Name LocaleIsoCode=""fr"">Grèce</Name></Member><Member Code=""HUN"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Hungary</Name><Name LocaleIsoCode=""fr"">Hongrie</Name></Member><Member Code=""ISL"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Iceland</Name><Name LocaleIsoCode=""fr"">Islande</Name></Member><Member Code=""IRL"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Ireland</Name><Name LocaleIsoCode=""fr"">Irlande</Name></Member><Member Code=""ISR"" HasMetadata=""true"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Israel</Name><Name LocaleIsoCode=""fr"">Israel</Name></Member><Member Code=""ITA"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Italy</Name><Name LocaleIsoCode=""fr"">Italie</Name></Member><Member Code=""JPN"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Japan</Name><Name LocaleIsoCode=""fr"">Japon</Name></Member><Member Code=""KOR"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Korea</Name><Name LocaleIsoCode=""fr"">Corée</Name></Member><Member Code=""LVA"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Latvia</Name><Name LocaleIsoCode=""fr"">Lettonie</Name></Member><Member Code=""LTU"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Lithuania</Name><Name LocaleIsoCode=""fr"">Lithuanie</Name></Member><Member Code=""LUX"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Luxembourg</Name><Name LocaleIsoCode=""fr"">Luxembourg</Name></Member><Member Code=""MEX"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Mexico</Name><Name LocaleIsoCode=""fr"">Mexique</Name></Member><Member Code=""NLD"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Netherlands</Name><Name LocaleIsoCode=""fr"">Pays-Bas</Name></Member><Member Code=""NZL"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">New Zealand</Name><Name LocaleIsoCode=""fr"">Nouvelle-Zélande</Name></Member><Member Code=""NOR"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Norway</Name><Name LocaleIsoCode=""fr"">Norvège</Name></Member><Member Code=""POL"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Poland</Name><Name LocaleIsoCode=""fr"">Pologne</Name></Member><Member Code=""PRT"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Portugal</Name><Name LocaleIsoCode=""fr"">Portugal</Name></Member><Member Code=""SVK"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Slovak Republic</Name><Name LocaleIsoCode=""fr"">République slovaque</Name></Member><Member Code=""SVN"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Slovenia</Name><Name LocaleIsoCode=""fr"">Slovenie</Name></Member><Member Code=""ESP"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Spain</Name><Name LocaleIsoCode=""fr"">Espagne</Name></Member><Member Code=""SWE"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Sweden</Name><Name LocaleIsoCode=""fr"">Suède</Name></Member><Member Code=""CHE"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Switzerland</Name><Name LocaleIsoCode=""fr"">Suisse</Name></Member><Member Code=""GBR"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">United Kingdom</Name><Name LocaleIsoCode=""fr"">Royaume-Uni</Name></Member><Member Code=""USA"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">United States</Name><Name LocaleIsoCode=""fr"">États-Unis</Name></Member></Dimension><Dimension Code=""TIME"" CommonCode=""TIME"" Display=""labels""><Name LocaleIsoCode=""en"">Time</Name><Name LocaleIsoCode=""fr"">Temps</Name><Member Code=""2000""><Name LocaleIsoCode=""en"">2000</Name><Name LocaleIsoCode=""fr"">2000</Name></Member><Member Code=""2001""><Name LocaleIsoCode=""en"">2001</Name><Name LocaleIsoCode=""fr"">2001</Name></Member><Member Code=""2002""><Name LocaleIsoCode=""en"">2002</Name><Name LocaleIsoCode=""fr"">2002</Name></Member><Member Code=""2003""><Name LocaleIsoCode=""en"">2003</Name><Name LocaleIsoCode=""fr"">2003</Name></Member><Member Code=""2004""><Name LocaleIsoCode=""en"">2004</Name><Name LocaleIsoCode=""fr"">2004</Name></Member><Member Code=""2005""><Name LocaleIsoCode=""en"">2005</Name><Name LocaleIsoCode=""fr"">2005</Name></Member><Member Code=""2006""><Name LocaleIsoCode=""en"">2006</Name><Name LocaleIsoCode=""fr"">2006</Name></Member><Member Code=""2007""><Name LocaleIsoCode=""en"">2007</Name><Name LocaleIsoCode=""fr"">2007</Name></Member><Member Code=""2008""><Name LocaleIsoCode=""en"">2008</Name><Name LocaleIsoCode=""fr"">2008</Name></Member><Member Code=""2009""><Name LocaleIsoCode=""en"">2009</Name><Name LocaleIsoCode=""fr"">2009</Name></Member><Member Code=""2010""><Name LocaleIsoCode=""en"">2010</Name><Name LocaleIsoCode=""fr"">2010</Name></Member><Member Code=""2011""><Name LocaleIsoCode=""en"">2011</Name><Name LocaleIsoCode=""fr"">2011</Name></Member><Member Code=""2012""><Name LocaleIsoCode=""en"">2012</Name><Name LocaleIsoCode=""fr"">2012</Name></Member><Member Code=""2013""><Name LocaleIsoCode=""en"">2013</Name><Name LocaleIsoCode=""fr"">2013</Name></Member><Member Code=""2014""><Name LocaleIsoCode=""en"">2014</Name><Name LocaleIsoCode=""fr"">2014</Name></Member><Member Code=""2015""><Name LocaleIsoCode=""en"">2015</Name><Name LocaleIsoCode=""fr"">2015</Name></Member><Member Code=""2016""><Name LocaleIsoCode=""en"">2016</Name><Name LocaleIsoCode=""fr"">2016</Name></Member><Member Code=""2017""><Name LocaleIsoCode=""en"">2017</Name><Name LocaleIsoCode=""fr"">2017</Name></Member><Member Code=""2018""><Name LocaleIsoCode=""en"">2018</Name><Name LocaleIsoCode=""fr"">2018</Name></Member></Dimension><Dimension Code=""SERIES"" Display=""labels""><Name LocaleIsoCode=""en"">Series</Name><Name LocaleIsoCode=""fr"">Séries</Name><Member Code=""CPNCU"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Current prices in NCU</Name><Name LocaleIsoCode=""fr"">Prix courants en monnaie nationale</Name></Member><Member Code=""CNPNCU"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2018 constant prices and NCU</Name><Name LocaleIsoCode=""fr"">en prix constants 2018 et en monnaie nationale </Name></Member><Member Code=""USDPPP"" HasMetadata=""true"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">In 2018 constant prices at 2018 USD PPPs</Name><Name LocaleIsoCode=""fr"">En prix constants 2018 à 2018 PPP USD</Name></Member></Dimension><Dimension Code=""FAKEUNITDIM"" xmlns=""""><Name LocaleIsoCode=""en"">Unit</Name><Name LocaleIsoCode=""fr"">Unité</Name><Member Code=""FAKEUNITMEMBERCODE""><Name LocaleIsoCode=""en"">Default Unit</Name><Name LocaleIsoCode=""fr"">Unité par défaut</Name></Member></Dimension><WBOSInformations><TimeDimension WebTreeWasUsed=""false""><StartCodes Annual=""2000"" /></TimeDimension></WBOSInformations><Tabulation Axis=""horizontal""><Dimension Code=""TIME"" CommonCode=""TIME"" /></Tabulation><Tabulation Axis=""vertical""><Dimension Code=""COUNTRY"" CommonCode=""LFS_COUNTRY"" /><Dimension Code=""SERIES"" /><Dimension xmlns="""" Code=""FAKEUNITDIM"" /></Tabulation><Tabulation Axis=""page"" /><Formatting><Labels LocaleIsoCode=""en"" /><Power>0</Power><Decimals>0</Decimals><SkipEmptyLines>false</SkipEmptyLines><SkipEmptyCols>false</SkipEmptyCols><SkipLineHierarchy>false</SkipLineHierarchy><SkipColHierarchy>false</SkipColHierarchy><Page>1</Page></Formatting></DataTable><Format><ShowEmptyAxes>true</ShowEmptyAxes><Page>1</Page><EnableSort>true</EnableSort><IncludeFlagColumn>false</IncludeFlagColumn><IncludeTimeSeriesId>false</IncludeTimeSeriesId><DoBarChart>false</DoBarChart><FreezePanes>true</FreezePanes><MaxBarChartLen>65</MaxBarChartLen></Format><Query><AbsoluteUri>http://stats.oecd.org//View.aspx?QueryId=&amp;QueryType=Public&amp;Lang=en</AbsoluteUri></Query></WebTableParameter>",,,,,,,,,,,,,,,,,,,,
Country,Series,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,Current prices in NCU,Australian Dollar,"46,286 ","48,367 ","50,109 ","51,868 ","54,284 ","56,174 ","58,577 ","62,068 ","64,555 ","65,622 ","69,386 ","73,302 ","75,510 ","76,975 ","79,084 ","79,614 ","80,403 ","80,742 ","81,812 "
Australia,2018 constant prices and NCU,"Australian Dollar, 2018","69,711 ","70,470 ","70,955 ","71,785 ","74,019 ","74,976 ","75,461 ","77,543 ","78,168 ","77,460 ","80,131 ","82,665 ","83,157 ","82,775 ","83,411 ","82,728 ","82,766 ","82,054 ","81,812 "
Australia,In 2018 constant prices at 2018 USD PPPs,"US Dollar, 2018","45,459 ","45,953 ","46,270 ","46,811 ","48,267 ","48,891 ","49,208 ","50,565 ","50,973 ","50,511 ","52,253 ","53,906 ","54,226 ","53,977 ","54,392 ","53,946 ","53,972 ","53,507 ","53,349 "
Austria,Current prices in NCU,Euro,"27,948 ","28,527 ","29,263 ","29,796 ","30,887 ","31,801 ","32,931 ","33,910 ","35,239 ","35,979 ","36,434 ","37,173 ","38,270 ","39,128 ","40,068 ","40,932 ","41,920 ","42,588 ","43,468 "
Austria,2018 constant prices and NCU,"Euro, 2018","39,225 ","39,126 ","39,696 ","39,812 ","40,559 ","40,774 ","41,369 ","41,568 ","42,307 ","42,993 ","42,809 ","42,366 ","42,585 ","42,638 ","42,797 ","43,046 ","43,500 ","43,454 ","43,468 "
Austria,In 2018 constant prices at 2018 USD PPPs,"US Dollar, 2018","45,902 ","45,787 ","46,454 ","46,590 ","47,464 ","47,716 ","48,412 ","48,645 ","49,509 ","50,312 ","50,097 ","49,579 ","49,835 ","49,896 ","50,083 ","50,374 ","50,906 ","50,851 ","50,868 "
Belgium,Current prices in NCU,Euro,"31,118 ","31,934 ","32,934 ","33,595 ","34,255 ","34,957 ","36,190 ","37,061 ","38,354 ","38,525 ","38,973 ","40,408 ","41,499 ","42,392 ","42,845 ","42,807 ","43,413 ","44,029 ","45,097 "
Belgium,2018 constant prices and NCU,"Euro, 2018","43,119 ","43,364 ","44,111 ","44,298 ","44,104 ","43,824 ","44,003 ","43,795 ","43,924 ","44,300 ","44,052 ","44,340 ","44,639 ","45,220 ","45,474 ","45,132 ","44,986 ","44,800 ","45,097 "
Belgium,In 2018 constant prices at 2018 USD PPPs,"US Dollar, 2018","49,796 ","50,078 ","50,941 ","51,156 ","50,932 ","50,610 ","50,816 ","50,575 ","50,725 ","51,159 ","50,872 ","51,205 ","51,551 ","52,222 ","52,514 ","52,120 ","51,952 ","51,736 ","52,080 "
Canada,Current prices in NCU,Canadian Dollar,"40,985 ","41,667 ","42,029 ","42,745 ","44,566 ","47,250 ","49,387 ","51,387 ","53,148 ","53,824 ","54,788 ","56,809 ","58,881 ","60,821 ","62,667 ","63,642 ","62,692 ","64,048 ","65,955 "
Canada,2018 constant prices and NCU,"Canadian Dollar, 2018","53,171 ","52,952 ","52,388 ","52,390 ","53,803 ","56,122 ","57,934 ","59,366 ","60,503 ","61,176 ","61,437 ","62,384 ","63,831 ","65,068 ","65,778 ","66,132 ","64,530 ","65,143 ","65,955 "
Canada,In 2018 constant prices at 2018 USD PPPs,"US Dollar, 2018","39,380 ","39,218 ","38,800 ","38,802 ","39,848 ","41,566 ","42,908 ","43,969 ","44,810 ","45,309 ","45,503 ","46,203 ","47,276 ","48,192 ","48,718 ","48,979 ","47,793 ","48,247 ","48,849 "
Chile,Current prices in NCU,Chilean Peso,"4,846,040 ","5,239,522 ","5,486,142 ","5,823,564 ","6,085,445 ","6,327,080 ","6,393,763 ","6,671,732 ","7,351,593 ","8,030,378 ","8,626,449 ","9,036,801 ","9,605,685 ","10,157,070 ","10,825,439 ","11,422,641 ","12,204,579 ","12,129,034 ","12,540,419 "
Chile,2018 constant prices and NCU,"Chilean Peso, 2018","9,389,800 ","9,686,585 ","9,811,654 ","10,158,407 ","10,413,802 ","10,333,695 ","10,119,878 ","10,155,965 ","10,360,298 ","11,113,220 ","11,540,000 ","11,607,283 ","11,981,102 ","12,290,338 ","12,391,936 ","12,371,443 ","12,785,743 ","12,374,863 ","12,540,419 "
Chile,In 2018 constant prices at 2018 USD PPPs,"US Dollar, 2018","20,310 ","20,952 ","21,222 ","21,972 ","22,525 ","22,352 ","21,889 ","21,967 ","22,409 ","24,038 ","24,961 ","25,106 ","25,915 ","26,584 ","26,804 ","26,759 ","27,655 ","26,767 ","27,125 "
Czech Republic,Current prices in NCU,Czech Koruna,"168,683 ","183,379 ","197,166 ","212,260 ","229,589 ","239,061 ","253,034 ","268,190 ","281,045 ","282,841 ","291,436 ","298,543 ","304,941 ","304,278 ","312,493 ","321,338 ","334,088 ","356,165 ","381,648 "
Czech Republic,2018 constant prices and NCU,"Czech Koruna, 2018","228,713 ","240,210 ","254,745 ","273,990 ","287,489 ","296,144 ","307,967 ","317,252 ","317,404 ","316,677 ","324,785 ","327,015 ","326,840 ","323,393 ","330,161 ","339,200 ","350,743 ","365,264 ","381,648 "
Czech Republic,In 2018 constant prices at 2018 USD PPPs,"US Dollar, 2018","16,157 ","16,970 ","17,996 ","19,356 ","20,310 ","20,921 ","21,756 ","22,412 ","22,423 ","22,372 ","22,944 ","23,102 ","23,090 ","22,846 ","23,324 ","23,963 ","24,778 ","25,804 ","26,962 "
Denmark,Current prices in NCU,Danish Krone,"267,894 ","276,015 ","287,590 ","298,302 ","308,598 ","319,142 ","331,722 ","341,183 ","355,791 ","369,033 ","382,510 ","389,463 ","398,105 ","403,942 ","414,156 ","423,073 ","431,643 ","434,496 ","442,624 "
Denmark,2018 constant prices and NCU,"Danish Krone, 2018","353,367 ","355,721 ","363,904 ","372,986 ","381,347 ","387,810 ","394,413 ","398,712 ","404,109 ","413,907 ","418,676 ","416,508 ","415,946 ","418,650 ","426,661 ","434,161 ","440,853 ","438,371 ","442,624 "
Denmark,In 2018 constant prices at 2018 USD PPPs,"US Dollar, 2018","44,111 ","44,405 ","45,427 ","46,560 ","47,604 ","48,411 ","49,235 ","49,772 ","50,446 ","51,669 ","52,264 ","51,993 ","51,923 ","52,261 ","53,261 ","54,197 ","55,032 ","54,723 ","55,253 "
Estonia,Current prices in NCU,Euro,"4,108 ","4,523 ","4,980 ","5,545 ","6,200 ","6,861 ","7,880 ","9,867 ","10,818 ","10,423 ","10,774 ","10,900 ","11,787 ","12,308 ","13,064 ","13,550 ","14,428 ","15,347 ","16,795 "
Estonia,2018 constant prices and NCU,"Euro, 2018","7,882 ","8,191 ","8,688 ","9,473 ","10,181 ","10,793 ","11,706 ","13,595 ","13,770 ","13,303 ","13,233 ","12,688 ","13,214 ","13,400 ","14,093 ","14,634 ","15,417 ","15,840 ","16,795 "
Estonia,In 2018 constant prices at 2018 USD PPPs,"US Dollar, 2018","12,623 ","13,118 ","13,914 ","15,170 ","16,305 ","17,285 ","18,748 ","21,772 ","22,053 ","21,305 ","21,192 ","20,321 ","21,162 ","21,460 ","22,571 ","23,436 ","24,691 ","25,368 ","26,898 "
Finland,Current prices in NCU,Euro,"26,640 ","27,490 ","28,100 ","28,925 ","29,989 ","30,994 ","32,131 ","33,241 ","34,689 ","35,610 ","36,693 ","38,005 ","39,100 ","39,629 ","40,148 ","40,694 ","41,188 ","41,285 ","42,122 "
Finland,2018 constant prices and NCU,"Euro, 2018","35,523 ","35,718 ","35,920 ","36,612 ","37,836 ","38,708 ","39,608 ","40,212 ","40,601 ","40,929 ","41,572 ","41,715 ","41,744 ","41,295 ","41,280 ","41,650 ","41,986 ","41,827 ","42,122 "
Finland,In 2018 constant prices at 2018 USD PPPs,"US Dollar, 2018","37,200 ","37,404 ","37,616 ","38,341 ","39,623 ","40,536 ","41,479 ","42,111 ","42,519 ","42,862 ","43,535 ","43,685 ","43,715 ","43,245 ","43,229 ","43,617 ","43,969 ","43,802 ","44,111 "
France,Current prices in NCU,Euro,"25,609 ","26,280 ","27,217 ","27,906 ","28,968 ","29,853 ","30,842 ","31,613 ","32,420 ","32,957 ","33,993 ","34,562 ","35,290 ","35,835 ","36,124 ","36,580 ","36,946 ","37,631 ","38,289 "
France,2018 constant prices and NCU,"Euro, 2018","31,937 ","32,139 ","33,007 ","33,275 ","33,820 ","34,230 ","34,613 ","34,742 ","34,674 ","35,777 ","36,504 ","36,448 ","36,693 ","37,001 ","37,256 ","37,619 ","38,040 ","38,254 ","38,289 "
France,In 2018 constant prices at 2018 USD PPPs,"US Dollar, 2018","37,126 ","37,361 ","38,370 ","38,681 ","39,315 ","39,792 ","40,237 ","40,387 ","40,308 ","41,590 ","42,435 ","42,370 ","42,654 ","43,013 ","43,309 ","43,732 ","44,220 ","44,469 ","44,510 "
Germany,Current prices in NCU,Euro,"27,990 ","28,762 ","29,283 ","29,775 ","30,062 ","30,470 ","30,820 ","31,269 ","31,998 ","31,992 ","32,767 ","34,006 ","34,899 ","35,687 ","36,584 ","37,611 ","38,393 ","39,366 ","40,522 "
Germany,2018 constant prices and NCU,"Euro, 2018","35,237 ","35,588 ","35,774 ","35,728 ","35,726 ","35,663 ","35,692 ","35,632 ","35,857 ","35,999 ","36,160 ","36,777 ","37,196 ","37,645 ","38,241 ","39,075 ","39,624 ","39,991 ","40,522 "
Germany,In 2018 constant prices at 2018 USD PPPs,"US Dollar, 2018","43,316 ","43,748 ","43,977 ","43,920 ","43,918 ","43,841 ","43,877 ","43,802 ","44,079 ","44,254 ","44,451 ","45,209 ","45,725 ","46,277 ","47,010 ","48,035 ","48,710 ","49,161 ","49,813 "
Greece,Current prices in NCU,Euro,"13,902 ","14,598 ","16,275 ","17,419 ","18,325 ","18,805 ","19,644 ","20,364 ","20,917 ","22,113 ","21,382 ","20,440 ","19,600 ","18,002 ","17,873 ","17,440 ","17,262 ","17,334 ","17,512 "
Greece,2018 constant prices and NCU,"Euro, 2018","17,996 ","18,360 ","20,062 ","20,936 ","21,312 ","21,247 ","21,501 ","21,496 ","21,173 ","22,168 ","20,689 ","19,333 ","18,455 ","17,261 ","17,599 ","17,455 ","17,404 ","17,391 ","17,512 "
Greece,In 2018 constant prices at 2018 USD PPPs,"US Dollar, 2018","27,409 ","27,963 ","30,556 ","31,886 ","32,458 ","32,359 ","32,747 ","32,740 ","32,246 ","33,762 ","31,510 ","29,445 ","28,108 ","26,290 ","26,803 ","26,585 ","26,506 ","26,486 ","26,671 "
Hungary,Current prices in NCU,Forint,"1,258,705 ","1,479,816 ","1,648,484 ","1,881,538 ","2,104,214 ","2,266,795 ","2,384,026 ","2,502,598 ","2,674,939 ","2,680,369 ","2,812,097 ","2,915,504 ","2,987,224 ","3,048,872 ","3,048,051 ","2,959,028 ","3,090,042 ","3,382,209 ","3,795,606 "
Hungary,2018 constant prices and NCU,"Forint, 2018","2,497,954 ","2,678,592 ","2,811,567 ","3,074,330 ","3,261,625 ","3,393,010 ","3,458,752 ","3,407,108 ","3,445,571 ","3,315,978 ","3,355,290 ","3,353,186 ","3,236,473 ","3,242,863 ","3,213,996 ","3,127,497 ","3,271,439 ","3,491,080 ","3,795,606 "
