Song,Singer,Lyrics,words_splited,list_bunda,list_bumbum,list_rebolar,list_cama,list_colchao,Total_words,count_bunda,count_rebolar,count_bumbum,count_colchão,count_cama,Total_sexual_words
Tijolão,Jorge e Mateus,eu te conheci depois que a gente largou será onde é que arrumou todo esse ódio de mim agora eu to aqui num bar de currutela abrindo cerveja com dente tentando te passar pra frente quem dera  porque você não me bloqueou pra eu parar de chorar em cima da tela eu vou trocar meu celular num nokia tijolão que só manda mensagem e faz ligação se eu ver mais um vídeo seu sem eu sendo feliz certeza que a minha vida vai tá por um triz  me mata não essa internet virou arma na sua mão,"['eu', 'te', 'conheci', 'depois', 'que', 'a', 'gente', 'largou', 'será', 'onde', 'é', 'que', 'arrumou', 'todo', 'esse', 'ódio', 'de', 'mim', 'agora', 'eu', 'to', 'aqui', 'num', 'bar', 'de', 'currutela', 'abrindo', 'cerveja', 'com', 'dente', 'tentando', 'te', 'passar', 'pra', 'frente', 'quem', 'dera', 'porque', 'você', 'não', 'me', 'bloqueou', 'pra', 'eu', 'parar', 'de', 'chorar', 'em', 'cima', 'da', 'tela', 'eu', 'vou', 'trocar', 'meu', 'celular', 'num', 'nokia', 'tijolão', 'que', 'só', 'manda', 'mensagem', 'e', 'faz', 'ligação', 'se', 'eu', 'ver', 'mais', 'um', 'vídeo', 'seu', 'sem', 'eu', 'sendo', 'feliz', 'certeza', 'que', 'a', 'minha', 'vida', 'vai', 'tá', 'por', 'um', 'triz', 'me', 'mata', 'não', 'essa', 'internet', 'virou', 'arma', 'na', 'sua', 'mão']",[],[],[],[],[],477,0,0,0,0,0,0
Vou Ter Que Superar,Matheus e Kauan,fui bobo imaturo demais deixei escapar entre meus dedos  seu amor nosso apartamento futuro perfeito se eu pudesse tentava de novo ter você aqui  quase morro tentando encontrar o contato novo dela agora eu sei que ela já tá em outra e que vai embora mas se existe consideração eu sei que vai me ouvir  só vou pedir desculpas o nosso pra sempre acabou e um novo amor veio com tudo meu erro pesou na balança e não vamos mais ficar juntos por que eu estraguei tudo  vou ter que superar suas fotos com ele viajando e as amigas comentando que são um belo casal  vou ter que superar o dia do casamento esperando que o tempo aos poucos possa me curar  vou ter que superar que a gente não vai mais voltar,"['fui', 'bobo', 'imaturo', 'demais', 'deixei', 'escapar', 'entre', 'meus', 'dedos', 'seu', 'amor', 'nosso', 'apartamento', 'futuro', 'perfeito', 'se', 'eu', 'pudesse', 'tentava', 'de', 'novo', 'ter', 'você', 'aqui', 'quase', 'morro', 'tentando', 'encontrar', 'o', 'contato', 'novo', 'dela', 'agora', 'eu', 'sei', 'que', 'ela', 'já', 'tá', 'em', 'outra', 'e', 'que', 'vai', 'embora', 'mas', 'se', 'existe', 'consideração', 'eu', 'sei', 'que', 'vai', 'me', 'ouvir', 'só', 'vou', 'pedir', 'desculpas', 'o', 'nosso', 'pra', 'sempre', 'acabou', 'e', 'um', 'novo', 'amor', 'veio', 'com', 'tudo', 'meu', 'erro', 'pesou', 'na', 'balança', 'e', 'não', 'vamos', 'mais', 'ficar', 'juntos', 'por', 'que', 'eu', 'estraguei', 'tudo', 'vou', 'ter', 'que', 'superar', 'suas', 'fotos', 'com', 'ele', 'viajando', 'e', 'as', 'amigas', 'comentando', 'que', 'são', 'um', 'belo', 'casal', 'vou', 'ter', 'que', 'superar', 'o', 'dia', 'do', 'casamento', 'esperando', 'que', 'o', 'tempo', 'aos', 'poucos', 'possa', 'me', 'curar', 'vou', 'ter', 'que', 'superar', 'que', 'a', 'gente', 'não', 'vai', 'mais', 'voltar']",[],[],[],[],[],695,0,0,0,0,0,0
Todo Mundo Vai Sofrer,Marília Mendonça,a garrafa precisa do copo o copo precisa da mesa a mesa precisa de mim e eu preciso da cerveja  igual eu preciso dele na minha vida mas quanto mais eu vou atrás mais ele pisa então já que é assim se por ele eu sofro sem pausa quem quiser me amar também vai sofrer nessa bagaça  quem eu quero não me quer quem me quer não vou querer ninguém vai sofrer sozinho todo mundo vai sofrer  quem eu quero não me quer quem me quer não vou querer ninguém vai sofrer sozinho todo mundo vai sofrer  igual eu preciso dele na minha vida mas quanto mais eu vou atrás mais ele pisa então já que é assim se por ele eu sofro sem pausa quem quiser me amar também vai sofrer nessa bagaça  quem eu quero não me quer quem me quer não vou querer ninguém vai sofrer sozinho todo mundo vai sofrer  quem eu quero não me quer quem me quer não vou querer ninguém vai sofrer sozinho todo mundo vai sofrer  quem eu quero não me quer quem me quer não vou querer ninguém vai sofrer sozinho todo mundo vai sofrer  quem eu quero não me quer quem me quer não vou querer ninguém vai sofrer sozinho todo mundo vai sofrer,"['a', 'garrafa', 'precisa', 'do', 'copo', 'o', 'copo', 'precisa', 'da', 'mesa', 'a', 'mesa', 'precisa', 'de', 'mim', 'e', 'eu', 'preciso', 'da', 'cerveja', 'igual', 'eu', 'preciso', 'dele', 'na', 'minha', 'vida', 'mas', 'quanto', 'mais', 'eu', 'vou', 'atrás', 'mais', 'ele', 'pisa', 'então', 'já', 'que', 'é', 'assim', 'se', 'por', 'ele', 'eu', 'sofro', 'sem', 'pausa', 'quem', 'quiser', 'me', 'amar', 'também', 'vai', 'sofrer', 'nessa', 'bagaça', 'quem', 'eu', 'quero', 'não', 'me', 'quer', 'quem', 'me', 'quer', 'não', 'vou', 'querer', 'ninguém', 'vai', 'sofrer', 'sozinho', 'todo', 'mundo', 'vai', 'sofrer', 'quem', 'eu', 'quero', 'não', 'me', 'quer', 'quem', 'me', 'quer', 'não', 'vou', 'querer', 'ninguém', 'vai', 'sofrer', 'sozinho', 'todo', 'mundo', 'vai', 'sofrer', 'igual', 'eu', 'preciso', 'dele', 'na', 'minha', 'vida', 'mas', 'quanto', 'mais', 'eu', 'vou', 'atrás', 'mais', 'ele', 'pisa', 'então', 'já', 'que', 'é', 'assim', 'se', 'por', 'ele', 'eu', 'sofro', 'sem', 'pausa', 'quem', 'quiser', 'me', 'amar', 'também', 'vai', 'sofrer', 'nessa', 'bagaça', 'quem', 'eu', 'quero', 'não', 'me', 'quer', 'quem', 'me', 'quer', 'não', 'vou', 'querer', 'ninguém', 'vai', 'sofrer', 'sozinho', 'todo', 'mundo', 'vai', 'sofrer', 'quem', 'eu', 'quero', 'não', 'me', 'quer', 'quem', 'me', 'quer', 'não', 'vou', 'querer', 'ninguém', 'vai', 'sofrer', 'sozinho', 'todo', 'mundo', 'vai', 'sofrer', 'quem', 'eu', 'quero', 'não', 'me', 'quer', 'quem', 'me', 'quer', 'não', 'vou', 'querer', 'ninguém', 'vai', 'sofrer', 'sozinho', 'todo', 'mundo', 'vai', 'sofrer', 'quem', 'eu', 'quero', 'não', 'me', 'quer', 'quem', 'me', 'quer', 'não', 'vou', 'querer', 'ninguém', 'vai', 'sofrer', 'sozinho', 'todo', 'mundo', 'vai', 'sofrer']",[],[],[],[],[],1082,0,0,0,0,0,0
Milu,Gusttavo Lima,quem cai uma vez vai cair três só que eu to caindo pela décima vez e quando eu decido que vou te esquecer cê fala que me ama só pra me prender  se você sentisse amor do tanto que cê sabe fazer se me desse amor do tanto que me dá prazer mas você vem e vai e eu querendo algo mais  cê fica milu milu me iludindo e eu fico no fico no bar caindo,"['quem', 'cai', 'uma', 'vez', 'vai', 'cair', 'três', 'só', 'que', 'eu', 'to', 'caindo', 'pela', 'décima', 'vez', 'e', 'quando', 'eu', 'decido', 'que', 'vou', 'te', 'esquecer', 'cê', 'fala', 'que', 'me', 'ama', 'só', 'pra', 'me', 'prender', 'se', 'você', 'sentisse', 'amor', 'do', 'tanto', 'que', 'cê', 'sabe', 'fazer', 'se', 'me', 'desse', 'amor', 'do', 'tanto', 'que', 'me', 'dá', 'prazer', 'mas', 'você', 'vem', 'e', 'vai', 'e', 'eu', 'querendo', 'algo', 'mais', 'cê', 'fica', 'milu', 'milu', 'me', 'iludindo', 'e', 'eu', 'fico', 'no', 'fico', 'no', 'bar', 'caindo']",[],[],[],[],[],341,0,0,0,0,0,0
Supera,Marília Mendonça,tá de novo com essa pessoa não tô acreditando vai fazer papel de trouxa outra vez cê não aprende mesmo  pra você isso é amor mas pra ele isso não passa de um plano b se não pegar ninguém da lista liga pra você te usa e joga fora  para de insistir chega de se iludir o que cê tá passando eu já passei e eu sobrevivi se ele não te quer supera se ele não te quer supera  ele tá fazendo de tapete o seu coração promete pra mim que dessa vez você vai falar não de mulher pra mulher supera de mulher pra mulher supera  pra você isso é amor mas pra ele isso não passa de um plano b se não pegar ninguém da lista liga pra você te usa e joga fora  para de insistir chega de se iludir o que cê tá passando eu já passei e eu sobrevivi se ele não te quer supera se ele não te quer supera  ele tá fazendo de tapete o seu coração promete pra mim que dessa vez você vai falar não de mulher pra mulher supera de mulher pra mulher supera  se ele não te quer supera de mulher pra mulher supera,"['tá', 'de', 'novo', 'com', 'essa', 'pessoa', 'não', 'tô', 'acreditando', 'vai', 'fazer', 'papel', 'de', 'trouxa', 'outra', 'vez', 'cê', 'não', 'aprende', 'mesmo', 'pra', 'você', 'isso', 'é', 'amor', 'mas', 'pra', 'ele', 'isso', 'não', 'passa', 'de', 'um', 'plano', 'b', 'se', 'não', 'pegar', 'ninguém', 'da', 'lista', 'liga', 'pra', 'você', 'te', 'usa', 'e', 'joga', 'fora', 'para', 'de', 'insistir', 'chega', 'de', 'se', 'iludir', 'o', 'que', 'cê', 'tá', 'passando', 'eu', 'já', 'passei', 'e', 'eu', 'sobrevivi', 'se', 'ele', 'não', 'te', 'quer', 'supera', 'se', 'ele', 'não', 'te', 'quer', 'supera', 'ele', 'tá', 'fazendo', 'de', 'tapete', 'o', 'seu', 'coração', 'promete', 'pra', 'mim', 'que', 'dessa', 'vez', 'você', 'vai', 'falar', 'não', 'de', 'mulher', 'pra', 'mulher', 'supera', 'de', 'mulher', 'pra', 'mulher', 'supera', 'pra', 'você', 'isso', 'é', 'amor', 'mas', 'pra', 'ele', 'isso', 'não', 'passa', 'de', 'um', 'plano', 'b', 'se', 'não', 'pegar', 'ninguém', 'da', 'lista', 'liga', 'pra', 'você', 'te', 'usa', 'e', 'joga', 'fora', 'para', 'de', 'insistir', 'chega', 'de', 'se', 'iludir', 'o', 'que', 'cê', 'tá', 'passando', 'eu', 'já', 'passei', 'e', 'eu', 'sobrevivi', 'se', 'ele', 'não', 'te', 'quer', 'supera', 'se', 'ele', 'não', 'te', 'quer', 'supera', 'ele', 'tá', 'fazendo', 'de', 'tapete', 'o', 'seu', 'coração', 'promete', 'pra', 'mim', 'que', 'dessa', 'vez', 'você', 'vai', 'falar', 'não', 'de', 'mulher', 'pra', 'mulher', 'supera', 'de', 'mulher', 'pra', 'mulher', 'supera', 'se', 'ele', 'não', 'te', 'quer', 'supera', 'de', 'mulher', 'pra', 'mulher', 'supera']",[],[],[],[],[],975,0,0,0,0,0,0
Cheirosa,Jorge e Mateus,se eu dissesse que tá tudo bem eu estaria mentindo pra vocês a marca de sol da aliança no meu dedo mostra que ela me deixou tem menos de um mês  na fronha ainda tem o cheiro do shampoo na mente ainda tem ela usando aquele baby doll azul por isso essa gelada eu vou beber em homenagem a saudade que eu tô da minha cheirosa  que jurou na minha cara que a gente não tem mais volta essa gelada eu vou beber em homenagem a saudade que eu tô da minha cheirosa se ela não voltar pra mim esse mundão pode acabar agora,"['se', 'eu', 'dissesse', 'que', 'tá', 'tudo', 'bem', 'eu', 'estaria', 'mentindo', 'pra', 'vocês', 'a', 'marca', 'de', 'sol', 'da', 'aliança', 'no', 'meu', 'dedo', 'mostra', 'que', 'ela', 'me', 'deixou', 'tem', 'menos', 'de', 'um', 'mês', 'na', 'fronha', 'ainda', 'tem', 'o', 'cheiro', 'do', 'shampoo', 'na', 'mente', 'ainda', 'tem', 'ela', 'usando', 'aquele', 'baby', 'doll', 'azul', 'por', 'isso', 'essa', 'gelada', 'eu', 'vou', 'beber', 'em', 'homenagem', 'a', 'saudade', 'que', 'eu', 'tô', 'da', 'minha', 'cheirosa', 'que', 'jurou', 'na', 'minha', 'cara', 'que', 'a', 'gente', 'não', 'tem', 'mais', 'volta', 'essa', 'gelada', 'eu', 'vou', 'beber', 'em', 'homenagem', 'a', 'saudade', 'que', 'eu', 'tô', 'da', 'minha', 'cheirosa', 'se', 'ela', 'não', 'voltar', 'pra', 'mim', 'esse', 'mundão', 'pode', 'acabar', 'agora']",[],[],[],[],[],509,0,0,0,0,0,0
Liberdade Provisória,Henrique e Juliano,no inicio foi assim terminou tá terminado cada um pro seu lado não precisa ligar mais  só que foi eu quem terminou e quem foi largado não espera eu segui minha vida até ela começar seguir a dela  e do meio pro final eu so ia pra onde ela tava cada beijo no rosto que outra boca dava eu morria de raiva  e ela tava mais linda cada vez que eu olhava o ciúmes não tava batendo tava dando porrada  e eu implorei pra voltar e ela me matou na unha disse que eu tava solteiro eu tava solteiro porra nenhuma  implorei pra voltar não me manda embora sou preso da sua vida era só liberdade provisória  vai ter que me aceitar de volta aah aah,"['no', 'inicio', 'foi', 'assim', 'terminou', 'tá', 'terminado', 'cada', 'um', 'pro', 'seu', 'lado', 'não', 'precisa', 'ligar', 'mais', 'só', 'que', 'foi', 'eu', 'quem', 'terminou', 'e', 'quem', 'foi', 'largado', 'não', 'espera', 'eu', 'segui', 'minha', 'vida', 'até', 'ela', 'começar', 'seguir', 'a', 'dela', 'e', 'do', 'meio', 'pro', 'final', 'eu', 'so', 'ia', 'pra', 'onde', 'ela', 'tava', 'cada', 'beijo', 'no', 'rosto', 'que', 'outra', 'boca', 'dava', 'eu', 'morria', 'de', 'raiva', 'e', 'ela', 'tava', 'mais', 'linda', 'cada', 'vez', 'que', 'eu', 'olhava', 'o', 'ciúmes', 'não', 'tava', 'batendo', 'tava', 'dando', 'porrada', 'e', 'eu', 'implorei', 'pra', 'voltar', 'e', 'ela', 'me', 'matou', 'na', 'unha', 'disse', 'que', 'eu', 'tava', 'solteiro', 'eu', 'tava', 'solteiro', 'porra', 'nenhuma', 'implorei', 'pra', 'voltar', 'não', 'me', 'manda', 'embora', 'sou', 'preso', 'da', 'sua', 'vida', 'era', 'só', 'liberdade', 'provisória', 'vai', 'ter', 'que', 'me', 'aceitar', 'de', 'volta', 'aah', 'aah']",[],[],[],[],[],631,0,0,0,0,0,0
Some que ele vem atrás,Marília Mendonça,amiga do céu meu boy me largou parou de seguir e as fotos da gente apagou  amiga do céu meu clima acabou nem quero sair ai que raiva que eu tô  você que entende do assunto você que já sofreu muito me diz o que fazer  some some some que ele vem atrás pianinho bebe dança mostra que tá bem demais faz charminho  some que ele vem atrás quanto mais cê some mais saudade cê faz some que ele vem atrás  amiga do céu meu boy me largou parou de seguir a as fotos da gente apagou  anitta do céu meu clima acabou nem quero sair ai que raiva que eu tô  você que entende do assunto você que já sofreu muito me diz o que fazer  some some some que ele vem atrás pianinho bebe dança mostra que tá bem demais faz charminho  some que ele vem atrás quanto mais cê some mais saudade cê faz some que ele vem atrás  você que entende do assunto você que já sofreu muito me diz o que fazer  some some some que ele vem atrás pianinho bebe dança mostra que tá bem demais faz charminho  some que ele vem atrás quanto mais cê some mais saudade cê faz some que ele vem atrás,"['amiga', 'do', 'céu', 'meu', 'boy', 'me', 'largou', 'parou', 'de', 'seguir', 'e', 'as', 'fotos', 'da', 'gente', 'apagou', 'amiga', 'do', 'céu', 'meu', 'clima', 'acabou', 'nem', 'quero', 'sair', 'ai', 'que', 'raiva', 'que', 'eu', 'tô', 'você', 'que', 'entende', 'do', 'assunto', 'você', 'que', 'já', 'sofreu', 'muito', 'me', 'diz', 'o', 'que', 'fazer', 'some', 'some', 'some', 'que', 'ele', 'vem', 'atrás', 'pianinho', 'bebe', 'dança', 'mostra', 'que', 'tá', 'bem', 'demais', 'faz', 'charminho', 'some', 'que', 'ele', 'vem', 'atrás', 'quanto', 'mais', 'cê', 'some', 'mais', 'saudade', 'cê', 'faz', 'some', 'que', 'ele', 'vem', 'atrás', 'amiga', 'do', 'céu', 'meu', 'boy', 'me', 'largou', 'parou', 'de', 'seguir', 'a', 'as', 'fotos', 'da', 'gente', 'apagou', 'anitta', 'do', 'céu', 'meu', 'clima', 'acabou', 'nem', 'quero', 'sair', 'ai', 'que', 'raiva', 'que', 'eu', 'tô', 'você', 'que', 'entende', 'do', 'assunto', 'você', 'que', 'já', 'sofreu', 'muito', 'me', 'diz', 'o', 'que', 'fazer', 'some', 'some', 'some', 'que', 'ele', 'vem', 'atrás', 'pianinho', 'bebe', 'dança', 'mostra', 'que', 'tá', 'bem', 'demais', 'faz', 'charminho', 'some', 'que', 'ele', 'vem', 'atrás', 'quanto', 'mais', 'cê', 'some', 'mais', 'saudade', 'cê', 'faz', 'some', 'que', 'ele', 'vem', 'atrás', 'você', 'que', 'entende', 'do', 'assunto', 'você', 'que', 'já', 'sofreu', 'muito', 'me', 'diz', 'o', 'que', 'fazer', 'some', 'some', 'some', 'que', 'ele', 'vem', 'atrás', 'pianinho', 'bebe', 'dança', 'mostra', 'que', 'tá', 'bem', 'demais', 'faz', 'charminho', 'some', 'que', 'ele', 'vem', 'atrás', 'quanto', 'mais', 'cê', 'some', 'mais', 'saudade', 'cê', 'faz', 'some', 'que', 'ele', 'vem', 'atrás']",[],[],[],[],[],1046,0,0,0,0,0,0
Bebi a Bicicleta,Zé Neto e Cristiano,cortaram minha luz perdi o meu emprego a minha geladeira é só ovo e gelo  depois da sacanagem que ela fez comigo fiquei com o coração e o bolso falido  com o que aconteceu até bala perdida tá tendo mais rumo que eu  bebi minha bicicleta bebi minha tv só não bebo o meu celular porque eu preciso ligar pra você  eu bebi minha bicicleta bebi minha tv só não bebo o meu celular porque eu preciso ligar pra você  eu bebi minha bicicleta,"['cortaram', 'minha', 'luz', 'perdi', 'o', 'meu', 'emprego', 'a', 'minha', 'geladeira', 'é', 'só', 'ovo', 'e', 'gelo', 'depois', 'da', 'sacanagem', 'que', 'ela', 'fez', 'comigo', 'fiquei', 'com', 'o', 'coração', 'e', 'o', 'bolso', 'falido', 'com', 'o', 'que', 'aconteceu', 'até', 'bala', 'perdida', 'tá', 'tendo', 'mais', 'rumo', 'que', 'eu', 'bebi', 'minha', 'bicicleta', 'bebi', 'minha', 'tv', 'só', 'não', 'bebo', 'o', 'meu', 'celular', 'porque', 'eu', 'preciso', 'ligar', 'pra', 'você', 'eu', 'bebi', 'minha', 'bicicleta', 'bebi', 'minha', 'tv', 'só', 'não', 'bebo', 'o', 'meu', 'celular', 'porque', 'eu', 'preciso', 'ligar', 'pra', 'você', 'eu', 'bebi', 'minha', 'bicicleta']",[],[],[],[],[],432,0,0,0,0,0,0
Na Cama Que eu Paguei,Wesley Safadão,será que é pra tanto será que eu mereço não tá alto demais esse preço essa troca com troco quem tá julgando essa lei do retorno fazer ela de besta foi caçar pra cabeça  eu tinha um lar eu tinha uma casa agora eu tô morando num motel de rodoviária assistindo novela numa tv 14 polegadas imagem chuviscada bombril na antena quem me vê dá até pena e ela tá lá  na cama que eu paguei fazendo o amor que a gente nunca fez na cama que eu paguei fazendo todo dia o que comigo era uma vez por mês  o coração aprende de uma vez pra cada atual vai existir um ex,"['será', 'que', 'é', 'pra', 'tanto', 'será', 'que', 'eu', 'mereço', 'não', 'tá', 'alto', 'demais', 'esse', 'preço', 'essa', 'troca', 'com', 'troco', 'quem', 'tá', 'julgando', 'essa', 'lei', 'do', 'retorno', 'fazer', 'ela', 'de', 'besta', 'foi', 'caçar', 'pra', 'cabeça', 'eu', 'tinha', 'um', 'lar', 'eu', 'tinha', 'uma', 'casa', 'agora', 'eu', 'tô', 'morando', 'num', 'motel', 'de', 'rodoviária', 'assistindo', 'novela', 'numa', 'tv', '14', 'polegadas', 'imagem', 'chuviscada', 'bombril', 'na', 'antena', 'quem', 'me', 'vê', 'dá', 'até', 'pena', 'e', 'ela', 'tá', 'lá', 'na', 'cama', 'que', 'eu', 'paguei', 'fazendo', 'o', 'amor', 'que', 'a', 'gente', 'nunca', 'fez', 'na', 'cama', 'que', 'eu', 'paguei', 'fazendo', 'todo', 'dia', 'o', 'que', 'comigo', 'era', 'uma', 'vez', 'por', 'mês', 'o', 'coração', 'aprende', 'de', 'uma', 'vez', 'pra', 'cada', 'atual', 'vai', 'existir', 'um', 'ex']",[],[],[],"['cama', 'cama']",[],551,0,0,0,0,2,2
