freq;unit;sex;age;icd10;geo\TIME_PERIOD,2014 
A;RT;T;TOTAL;F10;AT,5.39 
A;RT;T;TOTAL;F10;BE,3.52 
A;RT;T;TOTAL;F10;BG,0.34 
A;RT;T;TOTAL;F10;CH,2.78 
A;RT;T;TOTAL;F10;CY,0.73 
A;RT;T;TOTAL;F10;CZ,1.15 
A;RT;T;TOTAL;F10;DE,5.83 
A;RT;T;TOTAL;F10;DK,11.49 
A;RT;T;TOTAL;F10;EE,4.51 
A;RT;T;TOTAL;F10;EL,0.12 
A;RT;T;TOTAL;F10;ES,0.59 
A;RT;T;TOTAL;F10;EU28,2.82 
A;RT;T;TOTAL;F10;FI,4.15 
A;RT;T;TOTAL;F10;FR,4.06 
A;RT;T;TOTAL;F10;HR,5.29 
A;RT;T;TOTAL;F10;HU,3.72 
A;RT;T;TOTAL;F10;IE,0.32 
A;RT;T;TOTAL;F10;IS,0.35 
A;RT;T;TOTAL;F10;IT,0.32 
A;RT;T;TOTAL;F10;LT,0.91 
A;RT;T;TOTAL;F10;LU,4.89 
A;RT;T;TOTAL;F10;LV,6.79 
A;RT;T;TOTAL;F10;MT,0.39 
A;RT;T;TOTAL;F10;NL,2.6 
A;RT;T;TOTAL;F10;NO,3.31 
A;RT;T;TOTAL;F10;PL,3.55 
A;RT;T;TOTAL;F10;PT,0.83 
A;RT;T;TOTAL;F10;RO,1.44 
A;RT;T;TOTAL;F10;RS,3.79 
A;RT;T;TOTAL;F10;SE,2.38 
A;RT;T;TOTAL;F10;SI,9.67 
A;RT;T;TOTAL;F10;SK,2.97 
A;RT;T;TOTAL;F10;TR,0.05 d
A;RT;T;TOTAL;F10;UK,1.3 
