Gender,Age,Marital,Education,Salary,Importance,Source,Knowledge,Control,Percentage,Investments,Objectives,Risk
Male,24,Married or Living together,Secondary School,1,Very important,Self-taught,1,Medium (I define my expenses in a basic way),,,Retirement;Emergencies,Earn more with low risk
Male,32,Single or Living alone,Bachelor´s Degree,3,Slightly important,Self-taught,1,Medium (I define my expenses in a basic way),to 10%,Real estate;crypto,Retirement;Children future,Not afraid to take risks
Female,23,Single or Living alone,Bachelor´s Degree,1,Very important,Family and friends,0,Medium (I define my expenses in a basic way),to 10%,Savings account,Other,Earn more with low risk
Male,39,Married or Living together,Master or plus,1,Very important,Family and friends,2,High (I categorize all my expenses),to 10%,Stocks;Savings account,Retirement;Children future;Emergencies;Unemployment insurance,Preserve capital with no risk
Male,23,Single or Living alone,Secondary School,2,Very important,Family and friends,2,Medium (I define my expenses in a basic way),to 10%,Savings account,Retirement;Children future;Emergencies;Unemployment insurance,Earn more with low risk
Female,35,Married or Living together,Postgraduate Degree,2,Very important,Family and friends,0,Medium (I define my expenses in a basic way),to 10%,Savings account,Emergencies,Preserve capital with no risk
Female,16,Single or Living alone,Secondary School,1,Very important,No knowledge,2,Medium (I define my expenses in a basic way),to 30% or more,Savings account,Emergencies,Earn more with low risk
Female,43,Married or Living together,Postgraduate Degree,2,Very important,Family and friends,1,Medium (I define my expenses in a basic way),to 20%,Real estate;Savings account,Retirement;Children future;Unemployment insurance,Earn more with low risk
Female,17,Single or Living alone,Secondary School,5,Very important,School,2,Medium (I define my expenses in a basic way),to 20%,Stocks;Real estate;Savings account,Children future;Emergencies;Unemployment insurance,Preserve capital with no risk
Male,30,Married or Living together,Master or plus,1,Very important,School,2,Medium (I define my expenses in a basic way),to 20%,Real estate;Savings account;Crypto,Retirement;Children future,Earn more with low risk
Female,16,Single or Living alone,Secondary School,5,Very important,School,2,Medium (I define my expenses in a basic way),to 20%,Stocks;Real estate;Savings account,Children future;Emergencies;Unemployment insurance,Preserve capital with no risk
Female,16,Single or Living alone,Secondary School,5,Slightly important,Family and friends,0,Medium (I define my expenses in a basic way),,,Other,I don't intend to invest
Female,44,Single or Living alone,Postgraduate Degree,5,Very important,No knowledge,0,Low (I don't know where my money goes),,,Other,I don't intend to invest
Male,16,Single or Living alone,Secondary School,1,Very important,Family and friends,1,Medium (I define my expenses in a basic way),to 10%,Real estate,Other,Preserve capital with no risk
