API_NY.GDP.PCAP.PP.KD_DS2_en_csv_v2_992688
Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,37140.0246568536,38562.9606176892,38669.3749013174,39051.995974397,39944.1114331306,39113.471647732,38209.1954261706,39824.2909203858,39767.7893949072,39478.4943294997,41621.2326674911,39495.5577972876,37360.4757716201,37303.3326851659,39553.3740743505,39515.814603003,39612.976748349,40171.5234529023,40081.2323667298,35830.4979582943,34437.4941743467,35492.6184873268,34830.9765514284,36082.5224859839,36172.9333549571,35814.2614376623,35557.6568622291,35861.8281181686,
Afghanistan,AFG,,,,,,,,,,,,,1016.24540862058,1055.5574588535,1025.20824467105,1099.10456823771,1123.87132250309,1247.75311771131,1267.64493878823,1502.35407317932,1671.58123769109,1626.76479325583,1772.7649742986,1807.76234428536,1795.73583437878,1766.59307686426,1757.0234901613,1758.46563622212,1734.72321415839
Angola,AGO,4761.22963799363,4651.20429857157,4238.31841898683,3118.90348824696,3060.33620736515,3407.97452350337,3747.16400424938,3892.47341968191,3945.59493029686,3902.77419566238,3892.3169253943,3924.31619624163,4314.5409381466,4295.90856883368,4604.65704387396,5112.58920166573,5500.24253587994,6044.21715551043,6474.37642342765,6292.53485632204,6360.44193782807,6346.39512245023,6645.08562465345,6730.94582201132,6813.05210589335,6644.85725505813,6258.37662755942,6044.97203549524,5725.32723774516
Albania,ALB,4458.24711491037,3229.25012026628,3015.39137723213,3323.86438820742,3622.00710148683,4129.97533995596,4533.89435747117,4064.13280350427,4450.92252347435,5056.56651488883,5442.57804721488,5949.34323588268,6238.11972409344,6607.76762746182,7001.05408173824,7426.11544298798,7914.03585303716,8450.91823570927,9154.71374865938,9525.37797946435,9927.63820407249,10207.7523472149,10369.5610324771,10492.6690281171,10700.9932164462,10970.3214009733,11352.1014215285,11796.7191847363,12316.0715010455
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,10491.5077208819,10243.8135604078,10573.8279177508,10618.5587138126,10657.260745443,10613.8554602518,10851.9591061658,11067.8339256659,11466.1691093165,11483.8577824956,11832.415302677,11785.6260250226,11599.3103808224,11854.7179014576,12658.0604426187,13071.6289252775,13554.5109970169,13836.1861710899,14298.3629385198,14088.0612989043,14422.8937076748,14518.8274477327,15133.2328392341,15259.2095015069,15286.7268150933,15451.3494809088,15685.8110758436,15542.7461040174,15590.3983543271
United Arab Emirates,ARE,112349.597966668,106956.142032301,104302.087362096,99773.3181305517,101017.748526493,102387.224757103,103032.432941286,105953.226103222,100904.474777361,98483.1176717058,103318.150198103,99413.7868109256,96679.2963477404,98580.5219791448,98543.2474507683,91624.9361676699,87120.0651423881,77235.8544138785,69351.0196603659,58843.4694238097,55362.9898190898,56574.2881750551,57851.6938744732,60403.0455846444,62879.7030208439,65742.6507380267,67045.1042913884,66477.8187192938,66616.050283165
Argentina,ARG,11372.8231076423,12238.7888472347,13032.793286462,13919.4038997753,14546.5387867258,13959.9996570558,14556.7335748029,15556.0175645669,15973.0672585851,15261.4419922845,14975.3033216,14159.5848404901,12480.9976567284,13439.1071255147,14498.7723316514,15619.451344,16705.8696830038,18029.6825798292,18575.8877229221,17302.6541492773,18911.8231883276,19817.4504765479,19392.3097931241,19637.7553833376,18935.0024966208,19243.5794686236,18645.0918508457,18945.1440219822,18288.2445989345
Armenia,ARM,3742.43102430261,3335.59523798289,1976.52521776098,1845.3142200831,1992.01523895145,2173.35877702752,2336.51213668275,2441.17949606885,2639.94677079136,2744.4257626029,2924.74452135796,3224.10745580806,3669.34542509198,4206.79947455511,4673.81650269449,5356.59645608394,6110.62482273624,7011.67412540552,7559.92654863541,6534.07715174723,6702.82936989704,7019.76774846004,7505.12457412053,7717.06096440542,7954.19533052503,8171.83235372945,8158.63479378224,8744.73136772524,9177.74415916106
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
