"TIME","GEO","UNIT","SEX","AGE","ICD10","Value","Flag and Footnotes"
"2014","Denmark","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","11.49",""
"2014","Slovenia","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","9.67",""
"2014","Latvia","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","6.79",""
"2014","Germany (until 1990 former territory of the FRG)","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","5.83",""
"2014","Austria","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","5.39",""
"2014","Croatia","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","5.29",""
"2014","Luxembourg","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","4.89",""
"2014","Estonia","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","4.51",""
"2014","Finland","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","4.15",""
"2014","France","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","4.06",""
"2014","Serbia","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","3.79",""
"2014","Hungary","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","3.72",""
"2014","Poland","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","3.55",""
"2014","Belgium","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","3.52",""
"2014","Norway","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","3.31",""
"2014","Slovakia","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","2.97",""
"2014","European Union - 28 countries","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","2.82",""
"2014","Switzerland","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","2.78",""
"2014","Netherlands","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","2.6",""
"2014","Sweden","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","2.38",""
"2014","Romania","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","1.44",""
"2014","United Kingdom","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","1.3",""
"2014","Czechia","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","1.15",""
"2014","Lithuania","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","0.91",""
"2014","Portugal","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","0.83",""
"2014","Cyprus","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","0.73",""
"2014","Spain","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","0.59",""
"2014","Malta","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","0.39",""
"2014","Iceland","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","0.35",""
"2014","Bulgaria","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","0.34",""
"2014","Ireland","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","0.32",""
"2014","Italy","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","0.32",""
"2014","Greece","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","0.12",""
"2014","Turkey","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol","0.05","d"
"2014","Liechtenstein","Rate","Total","Total","Mental and behavioural disorders due to use of alcohol",":",""
