"FREQUENC","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"At least once a week","European Union - 28 countries","Percentage","2014","All ISCED 2011 levels ","Total","Total","5.5","e"
"At least once a week","Belgium","Percentage","2014","All ISCED 2011 levels ","Total","Total","8.5","u"
"At least once a week","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.1",""
"At least once a week","Czechia","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.1",""
"At least once a week","Denmark","Percentage","2014","All ISCED 2011 levels ","Total","Total","9.5",""
"At least once a week","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Total","Total","9.3",""
"At least once a week","Estonia","Percentage","2014","All ISCED 2011 levels ","Total","Total","5.2","u"
"At least once a week","Ireland","Percentage","2014","All ISCED 2011 levels ","Total","Total","13.3",""
"At least once a week","Greece","Percentage","2014","All ISCED 2011 levels ","Total","Total","1.4",""
"At least once a week","Spain","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.6",""
"At least once a week","Croatia","Percentage","2014","All ISCED 2011 levels ","Total","Total","1.8",""
"At least once a week","Italy","Percentage","2014","All ISCED 2011 levels ","Total","Total","1.0","d"
"At least once a week","Cyprus","Percentage","2014","All ISCED 2011 levels ","Total","Total","0.7",""
"At least once a week","Latvia","Percentage","2014","All ISCED 2011 levels ","Total","Total","0.9",""
"At least once a week","Lithuania","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.7",""
"At least once a week","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Total","Total","11.2",""
"At least once a week","Hungary","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.1",""
"At least once a week","Malta","Percentage","2014","All ISCED 2011 levels ","Total","Total","7.4",""
"At least once a week","Austria","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.4",""
"At least once a week","Poland","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.8",""
"At least once a week","Portugal","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.5",""
"At least once a week","Romania","Percentage","2014","All ISCED 2011 levels ","Total","Total","10.6",""
"At least once a week","Slovenia","Percentage","2014","All ISCED 2011 levels ","Total","Total","3.3",""
"At least once a week","Slovakia","Percentage","2014","All ISCED 2011 levels ","Total","Total","1.4",""
"At least once a week","Finland","Percentage","2014","All ISCED 2011 levels ","Total","Total","11.0",""
"At least once a week","Sweden","Percentage","2014","All ISCED 2011 levels ","Total","Total","4.2",""
"At least once a week","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Total","Total","9.7",""
"At least once a week","Iceland","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.1",""
"At least once a week","Norway","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.3",""
"At least once a week","Turkey","Percentage","2014","All ISCED 2011 levels ","Total","Total","1.4",""
"Every month","European Union - 28 countries","Percentage","2014","All ISCED 2011 levels ","Total","Total","14.4","e"
"Every month","Belgium","Percentage","2014","All ISCED 2011 levels ","Total","Total","19.0","u"
"Every month","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Total","Total","15.0",""
"Every month","Czechia","Percentage","2014","All ISCED 2011 levels ","Total","Total","12.8",""
"Every month","Denmark","Percentage","2014","All ISCED 2011 levels ","Total","Total","27.9",""
"Every month","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Total","Total","23.7",""
"Every month","Estonia","Percentage","2014","All ISCED 2011 levels ","Total","Total","18.1","u"
"Every month","Ireland","Percentage","2014","All ISCED 2011 levels ","Total","Total","18.9",""
"Every month","Greece","Percentage","2014","All ISCED 2011 levels ","Total","Total","8.9",""
"Every month","Spain","Percentage","2014","All ISCED 2011 levels ","Total","Total","6.7",""
"Every month","Croatia","Percentage","2014","All ISCED 2011 levels ","Total","Total","9.1",""
"Every month","Italy","Percentage","2014","All ISCED 2011 levels ","Total","Total","5.6","d"
"Every month","Cyprus","Percentage","2014","All ISCED 2011 levels ","Total","Total","4.5",""
"Every month","Latvia","Percentage","2014","All ISCED 2011 levels ","Total","Total","18.3",""
"Every month","Lithuania","Percentage","2014","All ISCED 2011 levels ","Total","Total","17.4",""
"Every month","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Total","Total","23.3",""
"Every month","Hungary","Percentage","2014","All ISCED 2011 levels ","Total","Total","6.2",""
"Every month","Malta","Percentage","2014","All ISCED 2011 levels ","Total","Total","11.8",""
"Every month","Austria","Percentage","2014","All ISCED 2011 levels ","Total","Total","16.3",""
"Every month","Poland","Percentage","2014","All ISCED 2011 levels ","Total","Total","14.6",""
"Every month","Portugal","Percentage","2014","All ISCED 2011 levels ","Total","Total","7.7",""
"Every month","Romania","Percentage","2014","All ISCED 2011 levels ","Total","Total","24.3",""
"Every month","Slovenia","Percentage","2014","All ISCED 2011 levels ","Total","Total","15.7",""
"Every month","Slovakia","Percentage","2014","All ISCED 2011 levels ","Total","Total","11.4",""
"Every month","Finland","Percentage","2014","All ISCED 2011 levels ","Total","Total","22.9",""
"Every month","Sweden","Percentage","2014","All ISCED 2011 levels ","Total","Total","16.2",""
"Every month","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Total","Total","12.4",""
"Every month","Iceland","Percentage","2014","All ISCED 2011 levels ","Total","Total","23.6",""
"Every month","Norway","Percentage","2014","All ISCED 2011 levels ","Total","Total","41.7",""
"Every month","Turkey","Percentage","2014","All ISCED 2011 levels ","Total","Total","2.9",""
