"TIME","GEO","INDIC_IL","AGE","SEX","Value","Flag and Footnotes"
"2014","European Union - 28 countries","Inequality of income distribution (income quintile share ratio)","Total","Total","5.2",""
"2014","Belgium","Inequality of income distribution (income quintile share ratio)","Total","Total","3.8",""
"2014","Bulgaria","Inequality of income distribution (income quintile share ratio)","Total","Total","6.8",""
"2014","Czechia","Inequality of income distribution (income quintile share ratio)","Total","Total","3.5",""
"2014","Denmark","Inequality of income distribution (income quintile share ratio)","Total","Total","4.1",""
"2014","Germany (until 1990 former territory of the FRG)","Inequality of income distribution (income quintile share ratio)","Total","Total","5.1",""
"2014","Estonia","Inequality of income distribution (income quintile share ratio)","Total","Total","6.5","b"
"2014","Ireland","Inequality of income distribution (income quintile share ratio)","Total","Total","4.9",""
"2014","Greece","Inequality of income distribution (income quintile share ratio)","Total","Total","6.5",""
"2014","Spain","Inequality of income distribution (income quintile share ratio)","Total","Total","6.8",""
"2014","France","Inequality of income distribution (income quintile share ratio)","Total","Total","4.3",""
"2014","Croatia","Inequality of income distribution (income quintile share ratio)","Total","Total","5.1",""
"2014","Italy","Inequality of income distribution (income quintile share ratio)","Total","Total","5.8",""
"2014","Cyprus","Inequality of income distribution (income quintile share ratio)","Total","Total","5.4",""
"2014","Latvia","Inequality of income distribution (income quintile share ratio)","Total","Total","6.5",""
"2014","Lithuania","Inequality of income distribution (income quintile share ratio)","Total","Total","6.1",""
"2014","Luxembourg","Inequality of income distribution (income quintile share ratio)","Total","Total","4.4",""
"2014","Hungary","Inequality of income distribution (income quintile share ratio)","Total","Total","4.3",""
"2014","Malta","Inequality of income distribution (income quintile share ratio)","Total","Total","4.0",""
"2014","Netherlands","Inequality of income distribution (income quintile share ratio)","Total","Total","3.8",""
"2014","Austria","Inequality of income distribution (income quintile share ratio)","Total","Total","4.1",""
"2014","Poland","Inequality of income distribution (income quintile share ratio)","Total","Total","4.9",""
"2014","Portugal","Inequality of income distribution (income quintile share ratio)","Total","Total","6.2",""
"2014","Romania","Inequality of income distribution (income quintile share ratio)","Total","Total","7.2",""
"2014","Slovenia","Inequality of income distribution (income quintile share ratio)","Total","Total","3.7",""
"2014","Slovakia","Inequality of income distribution (income quintile share ratio)","Total","Total","3.9",""
"2014","Finland","Inequality of income distribution (income quintile share ratio)","Total","Total","3.6",""
"2014","Sweden","Inequality of income distribution (income quintile share ratio)","Total","Total","4.2",""
"2014","United Kingdom","Inequality of income distribution (income quintile share ratio)","Total","Total","5.1",""
"2014","Iceland","Inequality of income distribution (income quintile share ratio)","Total","Total","3.1",""
"2014","Norway","Inequality of income distribution (income quintile share ratio)","Total","Total","3.4",""
"2014","Switzerland","Inequality of income distribution (income quintile share ratio)","Total","Total","4.4","b"
"2014","North Macedonia","Inequality of income distribution (income quintile share ratio)","Total","Total","7.2",""
"2014","Serbia","Inequality of income distribution (income quintile share ratio)","Total","Total","9.4",""
"2014","Turkey","Inequality of income distribution (income quintile share ratio)","Total","Total","8.3",""
