Song,Singer,Lyrics
Escreve Aí,Luan Santana,"Te falo tanta coisa Enquanto tento segurar a lágrima Que insiste em cair  Entro no meu carro Abro o vidro E antes de ir embora eu te digo ""Olha aqui, ainda vou te esquecer... escreve aí""  Chego em casa E dou de cara com sua foto Uma ducha e um vinho pra acalmar E eu penso ""vou partir pra outra logo"" Mas quem é que eu tô tentando enganar? Mas quem é que eu tô tentando enganar?  É só você fazer assim Que eu volto É só você fazer assim Que eu volto Que eu volto  É que eu te amo E falo na sua cara Se tirar você de mim Não sobra nada O teu sorriso me desmonta inteiro Até num simples estalar de dedos Talvez você tenha deixado eu ir Pra ter o gosto de me ver aqui Fraco demais para continuar Juntando forças pra poder falar  Que eu volto é só Você sorrir Que eu volto é só Fazer assim  Que eu volto Que eu volto Que eu volto  Chego em casa E dou de cara com sua foto Uma ducha e um vinho pra acalmar E eu penso ""vou partir pra outra logo"" Mas quem é que eu tô tentando enganar? Mas quem é que eu tô tentando enganar?  É só você fazer assim Que eu volto É só você fazer assim Que eu volto Que eu volto  É que eu te amo E falo na sua cara Se tirar você de mim Não sobra nada O teu sorriso me desmonta inteiro Até num simples estalar de dedos Talvez você tenha deixado eu ir Pra ter o gosto de me ver aqui Fraco demais para continuar Juntando forças pra poder falar  Que eu volto é só Você sorrir Que eu volto é só Fazer assim Que eu volto é só Fazer assim  Que eu volto Que eu volto Que eu volto"
Sapequinha,Eduardo Costa,"Pensa num trem bom, que trem gostoso Hoje não tem choro nem migué Se essa sapequinha cair na minha lagoa hoje eu sou jacaré Pensa num trem doido que é gostoso Hoje não tem choro nem migué Se essa sapequinha cair na minha lagoa hoje eu sou jacaré  Eu não dou mole não, eu não dou mole não Ela vai ver que o caipira tem pressão Eu não dou mole não, eu jogo ela nos meus braços Grudo ela no peito e tá feito um regaço Ô ô ô, ô ô ô Vamos brincar de besteirinha brincar de fazer amor  Pensa num trem bom, que trem gostoso Hoje não tem choro nem migué Se essa sapequinha cair na minha lagoa hoje eu sou jacaré Eu não dou mole não, eu não dou mole não Ela vai ver que o eduardo tem pressão Eu não dou mole não eu jogo ela nos meus braços Grudo ela no peito e ta feito um regaço Ô ô ô, ô ô ô Vamos brincar de besteirinha brincar de fazer amor Mãos pra cima, mexendo a cintura Dança comigo, dança comigo"
Seu Bombeiro,Munhoz e Mariano,"Eu sou seu bom, seu bom, seu bom, seu bom, bombeiro Vou apagar esse seu fogo embaixo do chuveiro  Eu sou seu bom, seu bom, seu bom, seu bom, bombeiro Vou apagar esse seu fogo embaixo do chuveiro  Você ligou 193 Me chamou mais uma vez E disse é uma emergência, meu amor Que o beijo que eu te dei O amor que a gente fez, marcou, marcou  E pra apagar o seu calor De baixo do cobertor Só eu, só eu meu amor E seja lá onde for Campo Grande ou Salvador E é só, chamar que eu vou  Eu sou seu bom, seu bom, seu bom, seu bom, bombeiro Vou apagar esse seu fogo embaixo do chuveiro  Eu sou seu bom, seu bom, seu bom, seu bom, bombeiro Vou apagar esse seu fogo embaixo do chuveiro"
Quando Deus Quer,Lucas Lucco,"De chapinha na chuva Ou de pijama feio amarelo Toda descabelada Mesmo assim eu te quero  Com a velha calça jeans Na Tpm, unha por fazer Mesmo de mal de mim Eu vou estar com você  Oh, oh oh Quanta coisa passou Você sabe, não foi fácil, né? Mas quando Deus quer Oh, oh, oh E quando o povo falou Eles não dão certo, né Mas quando Deus quer Sabe como é que é  Sem maquiagem de manhãzinha Quero amor Mesmo gordinha Depois dos filhos Quero amor  Eu te quero amor Como Deus fez e desenhou Eu te quero amor Como tinha que ser, te quero amor Como eu te quero"
Barraqueira,Alexandre Pires,"Inventar desculpinha com ela não rola E se eu pedalar, ela entra de sola A minha mina é periculosidade quando bola  Ela leva a sério um relacionamento Seu ciúme doentio não tem fundamento Ela surta, ela pira a qualquer momento  Quando eu levo a minha mina pra badalação Na frente dos outros ela me dá um beijão Pra deixar bem claro ainda grita Quem manda sou eu!  E se uma amiga vem pra me cumprimentar Ela fecha a cara e eu começo a rezar Grita piriguete fica louca pra brigar Assim não dá  Barraqueira Só Deus sabe o quanto eu te amo Só Deus sabe o quanto eu te quero Só Deus sabe o quanto eu te tolero  Barraqueira Só Deus sabe o quanto eu te amo Só Deus sabe o quanto eu te quero Só Deus sabe o quanto eu te tolero  Inventar desculpinha com ela não rola E se eu pedalar, ela entra de sola A minha mina é periculosidade quando bola  Ela leva a sério um relacionamento Seu ciúme doentio não tem fundamento Ela surta, ela pira a qualquer momento  Quando eu levo a minha mina pra badalação Na frente dos outros ela me dá um beijão Pra deixar bem claro ainda grita Quem manda sou eu!  E se uma amiga vem pra me cumprimentar Ela fecha a cara e eu começo a rezar Grita piriguete fica louca pra brigar Assim não dá   Barraqueira Só Deus sabe o quanto eu te amo Só Deus sabe o quanto eu te quero Só Deus sabe o quanto eu te tolero  É osso! Me ajuda aí, ô! A Deus eu peço!"
Deixa ele sofrer,Anitta,"Deixa ele chorar, deixa ele chorar Deixa ele sofrer Deixa ele saber que eu tô curtindo pra valer Deixa ele chorar, deixa ele sofrer Deixa ele saber  Falei, que pra mim ele não é rei Tudo que eu podia falei Não ia ficar assim Se depender de mim Ele vai enlouquecer  Pode implorar meu prazer Que eu não vou me arrepender Eu não sou tão fácil assim Já acabou pra mim  Falou pra todo mundo que não me quer mais Que amor e compromisso não te satisfaz Agora feito bobo vem correr atrás Sai me deixa em paz (sai me deixa em paz)  Agora se prepara, cê vai me encontrar À noite, nas baladas, em qualquer lugar Com a pessoa certa, pronto pra me amar Pra me amar  Deixa ele chorar, deixa ele chorar Deixa ele sofrer Deixa ele saber que eu tô curtindo pra valer Deixa ele chorar, deixa ele sofrer Deixa ele saber  Falei, que pra mim ele não é rei Tudo que eu podia falei Não ia ficar assim Se depender de mim Ele vai enlouquecer  Pode implorar meu prazer Que eu não vou me arrepender Eu não sou tão fácil assim Já acabou pra mim  Então, falou pra todo mundo que não me quer mais Que amor e compromisso não te satisfaz Agora feito bobo vem correr atrás Sai me deixa em paz (sai me deixa em paz)  Agora se prepara, cê vai me encontrar À noite, nas baladas, em qualquer lugar Com a pessoa certa, pronto pra me amar Pra me amar  Deixa ele chorar, deixa ele chorar Deixa ele sofrer Deixa ele saber que eu tô curtindo pra valer Deixa ele chorar, deixa ele sofrer Deixa ele saber (deixa ele sofrer) Deixa ele saber"
Eu Ligo Pra Você,Zé Neto e Cristiano,Desse jeito que eu ando Eu não sei se aguento mais uma semana Saudade é tanta  E no meio da noite o corpo reclama A falta de você A falta de você  Tô jogado no canto Tô bebendo de um jeito que eu não bebia Saudade judia Quando olho a última fotografia Eu ligo pra você Eu ligo pra você  Tô gritando socorro Meu único pedido Aquele amor gostoso Faz de novo comigo Quero sentir seu cheiro Ver o seu corpo suar Então atende o celular
"Hey, Mundo!",Thiaguinho,"Ah, muleke! Se quiser me acompanhar Vem, mas vem feliz Pra cima!  Hey, mundo! ''Guenta'' eu, que hoje eu tô demais! Finalmente encontrei a paz E a felicidade mora aqui!  Hey, mundo! ''Guenta'' eu que hoje eu tô assim! Deus deu um presente para mim Desde então não paro de sorrir  Se tiver pagode então, tá tudo lindo tá perfeito Eu sou desse jeito se quiser me acompanhar, sempre tem lugar Puxa uma cadeira e vem pra batucar (pra batucar) Se tiver pagode então, tô em casa Batuqueiro, eu sou brasileiro Deixo o samba me levar pra qualquer lugar Pela madrugada, até o sol raiar  Chega mais pra você ver Quando a batucada começar O nosso clima vai ferver E o bicho vai pegar  Chega mais pra você ver Quando a batucada começar O nosso clima vai ferver E o bicho vai pegar  (Se liga aí)  Hey, mundo! ''Guenta'' eu, que hoje eu tô demais! (Ah, muleke!) Finalmente encontrei a paz E a felicidade mora aqui! (Não sai daqui nunca mais)  Hey, mundo! ''Guenta'' eu que hoje eu tô assim! Deus deu um presente para mim Desde então não paro de sorrir  Se tiver pagode então, tá tudo lindo tá perfeito Eu sou desse jeito se quiser me acompanhar, sempre tem lugar Puxa uma cadeira e vem pra batucar (pra batucar) Se tiver pagode então, tô em casa Batuqueiro, eu sou brasileiro Deixo o samba me levar pra qualquer lugar Pela madrugada, até o sol raiar  Chega mais pra você ver Quando a batucada começar O nosso clima vai ferver E o bicho vai pegar  Chega, chega, chega Chega mais pra você ver  Quando a batucada começar O nosso clima vai ferver E o bicho vai pegar  Chega mais pra você ver Quando a batucada começar O nosso clima vai ferver E o bicho vai pegar mulekote!  Chega mais pra você ver Quando a batucada começar O nosso clima vai ferver E o bicho vai pegar  Chega, chega, chega Chega mais pra você ver   Hey, Mundo!  Aí sim, hein!"
Coração cansou,Michel Teló,"Não vou mais te procurar Nem sequer você vai ouvir falar Que saiu da minha boca a palavra saudade Nunca mais vai me prender Eu não vou deixar você fazer de mim o que bem entende  Não me chame mais de amor Não me importo se você chorar Eu não ligo, eu acho pouco pra quem nunca soube amar  E pode esquecer os beijos que eu te dei As idas e voltas, esquece também do meu amor O coração que usou cansou  Pode escrever o que eu te falei Depois da balada é que a saudade vem Você vai ver, que vai tentar mas não vai me esquecer Que vai tentar mas não vai me esquecer"
Eu Quero É Rolo,Bruno e Barretto,Tava sofrendo demais Bebendo demais Cara amassada o dia inteiro E a saudade dela rasgando o meu peito Assim não vai dar não  Comprei um chapéu novo uma bota de couro de jacaré Botei muié até no porta malas Hoje eu esqueço ela na marra ai ai  Eu quero é rolo o dia inteiro no meio do povo Hoje eu tô valendo mais que ouro E elas já tão derretendo Hoje eu tô fervendo  Eu quero é rolo O dia inteiro no meio do povo Hoje eu tô valendo mais que ouro E quem não queria tá querendo Hoje eu tô podendo
