"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MEAN","Mean","2000","2000","RATIO","Ratio","0","Units",,,0.501754385964912,,
"AUS","Australia","MEAN","Mean","2001","2001","RATIO","Ratio","0","Units",,,0.497472924187726,,
"AUS","Australia","MEAN","Mean","2002","2002","RATIO","Ratio","0","Units",,,0.50046403712297,,
"AUS","Australia","MEAN","Mean","2003","2003","RATIO","Ratio","0","Units",,,0.498222222222222,,
"AUS","Australia","MEAN","Mean","2004","2004","RATIO","Ratio","0","Units",,,0.501502145922747,,
"AUS","Australia","MEAN","Mean","2005","2005","RATIO","Ratio","0","Units",,,0.492777212614446,,
"AUS","Australia","MEAN","Mean","2006","2006","RATIO","Ratio","0","Units",,,0.460894386298763,,
"AUS","Australia","MEAN","Mean","2007","2007","RATIO","Ratio","0","Units",,,0.45433007985803,,
"AUS","Australia","MEAN","Mean","2008","2008","RATIO","Ratio","0","Units",,,0.448942390369733,,
"AUS","Australia","MEAN","Mean","2009","2009","RATIO","Ratio","0","Units",,,0.443902040816327,,
"AUS","Australia","MEAN","Mean","2010","2010","RATIO","Ratio","0","Units",,,0.449802683504341,,
"AUS","Australia","MEAN","Mean","2011","2011","RATIO","Ratio","0","Units",,,0.449847328244275,,
"AUS","Australia","MEAN","Mean","2012","2012","RATIO","Ratio","0","Units",,,0.439738941261784,,
"AUS","Australia","MEAN","Mean","2013","2013","RATIO","Ratio","0","Units",,,0.437860661505982,,
"AUS","Australia","MEAN","Mean","2014","2014","RATIO","Ratio","0","Units",,,0.436283185840708,,
"AUS","Australia","MEAN","Mean","2015","2015","RATIO","Ratio","0","Units",,,0.444451962110961,,
"AUS","Australia","MEAN","Mean","2016","2016","RATIO","Ratio","0","Units",,,0.473832499823906,,
"AUS","Australia","MEAN","Mean","2017","2017","RATIO","Ratio","0","Units",,,0.474334470989761,,
"AUS","Australia","MEAN","Mean","2018","2018","RATIO","Ratio","0","Units",,,0.472008925641531,,
"BEL","Belgium","MEAN","Mean","2000","2000","RATIO","Ratio","0","Units",,,0.428853742051198,,
"BEL","Belgium","MEAN","Mean","2001","2001","RATIO","Ratio","0","Units",,,0.421881363848669,,
"BEL","Belgium","MEAN","Mean","2002","2002","RATIO","Ratio","0","Units",,,0.425962641924063,,
"BEL","Belgium","MEAN","Mean","2003","2003","RATIO","Ratio","0","Units",,,0.421303724071971,,
"BEL","Belgium","MEAN","Mean","2004","2004","RATIO","Ratio","0","Units",,,0.41104495712182,,
"BEL","Belgium","MEAN","Mean","2005","2005","RATIO","Ratio","0","Units",,,0.411879840013616,,
"BEL","Belgium","MEAN","Mean","2006","2006","RATIO","Ratio","0","Units",,,0.404104355419714,,
"BEL","Belgium","MEAN","Mean","2007","2007","RATIO","Ratio","0","Units",,,0.405293367346939,,
"BEL","Belgium","MEAN","Mean","2008","2008","RATIO","Ratio","0","Units",,,0.409525775323804,,
"BEL","Belgium","MEAN","Mean","2009","2009","RATIO","Ratio","0","Units",,,0.414787872748561,,
"BEL","Belgium","MEAN","Mean","2010","2010","RATIO","Ratio","0","Units",,,0.405672099992691,,
"BEL","Belgium","MEAN","Mean","2011","2011","RATIO","Ratio","0","Units",,,0.406269066792989,,
"BEL","Belgium","MEAN","Mean","2012","2012","RATIO","Ratio","0","Units",,,0.40600004641125,,
"BEL","Belgium","MEAN","Mean","2013","2013","RATIO","Ratio","0","Units",,,0.412880936562121,,
"BEL","Belgium","MEAN","Mean","2014","2014","RATIO","Ratio","0","Units",,,0.399092942400957,,
"BEL","Belgium","MEAN","Mean","2015","2015","RATIO","Ratio","0","Units",,,0.395502008032129,,
"BEL","Belgium","MEAN","Mean","2016","2016","RATIO","Ratio","0","Units",,,0.394428915036079,,
"BEL","Belgium","MEAN","Mean","2017","2017","RATIO","Ratio","0","Units",,,0.396707903339529,,
"BEL","Belgium","MEAN","Mean","2018","2018","RATIO","Ratio","0","Units",,,0.391152738954483,,
"CAN","Canada","MEAN","Mean","2000","2000","RATIO","Ratio","0","Units",,,0.376410835214447,,
"CAN","Canada","MEAN","Mean","2001","2001","RATIO","Ratio","0","Units",,,0.36960087479497,,
"CAN","Canada","MEAN","Mean","2002","2002","RATIO","Ratio","0","Units",,,0.363250132766861,,
"CAN","Canada","MEAN","Mean","2003","2003","RATIO","Ratio","0","Units",,,0.36018711018711,,
"CAN","Canada","MEAN","Mean","2004","2004","RATIO","Ratio","0","Units",,,0.358701166920345,,
"CAN","Canada","MEAN","Mean","2005","2005","RATIO","Ratio","0","Units",,,0.359251968503937,,
"CAN","Canada","MEAN","Mean","2006","2006","RATIO","Ratio","0","Units",,,0.362077179609338,,
"CAN","Canada","MEAN","Mean","2007","2007","RATIO","Ratio","0","Units",,,0.360625574977001,,
"CAN","Canada","MEAN","Mean","2008","2008","RATIO","Ratio","0","Units",,,0.368328187031319,,
