Country,Year,Min Wage,Min/Av. Wage,GDP per capita,Average Wage
Australia,2001,20664.4,0.497472924187726,35592.7896139099,41538.74310595063
Australia,2002,20867.9,0.50046403712297,36567.9214988415,41697.10199350949
Australia,2003,21140.2,0.498222222222222,37197.9525380117,42431.26672613739
Australia,2004,21511.3,0.501502145922747,38260.38099525,42893.73470261016
Australia,2005,21685.7,0.49277721261444607,38968.5926095176,44007.107968620934
Australia,2006,21353.7,0.46089438629876295,39470.998959550896,46331.00474814205
Australia,2007,22061.9,0.45433007985803003,40733.1388010281,48559.18852410993
Australia,2008,21675.5,0.448942390369733,41385.3831705075,48281.25047881718
Australia,2009,21954.4,0.44390204081632706,41326.3919298816,49457.758652396136
Australia,2010,21844.1,0.449802683504341,41529.7594995566,48563.73872609229
Australia,2011,22009.4,0.449847328244275,41965.3584189919,48926.37705752586
Australia,2012,22309.1,0.439738941261784,42854.8907793467,50732.600428759884
Australia,2013,22375.2,0.4378606615059821,43212.4471035512,51101.18804243005
Australia,2014,22445.1,0.43628318584070797,43651.103132849305,51446.1724137931
Australia,2015,22718.9,0.444451962110961,43970.8037036566,51116.6603744862
Australia,2016,22982.2,0.47383249982390596,44488.7408277738,48502.79372677276
Australia,2017,23187.2,0.474334470989761,44781.3227596879,48883.649445963456
Australia,2018,23975.6,0.47200892564153096,45377.755143006,50794.8021690767
Belgium,2001,21651.3,0.42188136384866903,36855.3718243493,51320.82584185072
Belgium,2002,21941.5,0.42596264192406297,37316.7970845537,51510.385748597044
Belgium,2003,21814.6,0.42130372407197103,37546.612731642796,51778.796990347575
Belgium,2004,21578.3,0.41104495712182,38719.5379433358,52496.204189180484
Belgium,2005,21413.6,0.411879840013616,39401.1783406808,51989.92016528924
Belgium,2006,21454.0,0.404104355419714,40141.2061493839,53090.24689357104
Belgium,2007,21701.7,0.405293367346939,41312.677147500006,53545.65790715969
Belgium,2008,21614.1,0.40952577532380396,41170.7826385585,52778.36293188178
Belgium,2009,22685.0,0.41478787274856105,40015.5701527226,54690.60570570574
Belgium,2010,22199.0,0.40567209999269105,40787.3732159277,54721.53495495489
Belgium,2011,22089.0,0.406269066792989,40942.372710454,54370.37127725814
Belgium,2012,21908.7,0.40600004641125004,40990.0358237848,53962.309102319654
Belgium,2013,22319.0,0.41288093656212105,40984.6405257382,54056.74620349525
Belgium,2014,22243.4,0.39909294240095705,41447.1873814025,55734.886881694605
Belgium,2015,22119.2,0.395502008032129,42045.3836218243,55926.896831843966
Belgium,2016,21908.5,0.39442891503607896,42465.1875100572,55544.86287597855
Belgium,2017,21882.2,0.396707903339529,43132.8055365392,55159.475815312304
Belgium,2018,21654.4,0.391152738954483,43582.1283959571,55360.47135418332
Canada,2001,14205.3,0.36960087479497,33846.6548869067,38434.1622781065
Canada,2002,14056.0,0.363250132766861,34626.3386835126,38695.09941520472
Canada,2003,13858.6,0.36018711018711,35623.428301332,38476.11313131315
Canada,2004,13880.8,0.358701166920345,36673.962574670295,38697.39292786422
Canada,2005,14002.8,0.359251968503937,38144.1769632781,38977.65698630137
Canada,2006,14311.7,0.362077179609338,39333.7767608996,39526.65565789471
Canada,2007,14454.6,0.36062557497700104,41629.2146998757,40082.015816326515
Canada,2008,15038.4,0.368328187031319,41595.7885805239,40828.805748502986
Canada,2009,15927.2,0.377768313458262,39919.303656523996,42161.29154453217
Canada,2010,16496.0,0.39007092198581605,40697.581661958,42289.7454545454
Canada,2011,16543.5,0.395167895167895,41569.449617197,41864.48393782385
Canada,2012,16853.8,0.397134898527656,41845.1810599859,42438.47635270543
Canada,2013,16964.8,0.394552529182879,42370.1937248041,42997.570019723906
Canada,2014,17074.3,0.39740160489109705,43149.576424843,42964.849134615346
Canada,2015,17338.9,0.39732142857142894,43124.211102962596,43639.47865168536
Canada,2016,17606.8,0.40043684018929704,43110.7012156823,43968.981454545494
Canada,2017,17913.0,0.407819225251076,43871.4023481712,43923.87335092349
Canada,2018,19811.1,0.45028011204481805,44078.0655956361,43997.279626749594
Chile,2003,4701.6,0.43712175008683296,15283.822688914399,10755.81345258167
Chile,2006,5052.9,0.41328146936070204,17852.6273985903,12226.29218729851
Chile,2009,5475.2,0.43907330863871397,18485.1350173976,12469.89942744436
Chile,2010,5615.6,0.44073226674067495,19363.220303036,12741.522288641952
Chile,2011,5708.2,0.429929601008669,20342.5709204911,13277.057421977559
Chile,2012,5870.4,0.42823076233719104,21219.1765472762,13708.49671789253
Chile,2013,6189.3,0.44674661610112804,21862.441378049498,13854.162016974195
Chile,2014,6362.8,0.44991720899401294,22013.8511120796,14142.157429867659
Chile,2015,6534.6,0.45517691135507105,22257.3120536454,14356.17632833432
Chile,2016,6893.9,0.47357780216979706,22331.2260762299,14557.058984635969
Chile,2017,7178.7,0.47659271074185,22296.837004324,15062.546778833124
Chile,2018,7319.5,0.476297900916438,22873.8070144682,15367.483219885402
Czech Republic,2001,5893.9,0.305754295847857,21892.4825252314,19276.589339999977
Czech Republic,2002,6593.6,0.337729322867327,22297.2247460071,19523.326976823446
Czech Republic,2003,7163.5,0.34142710469332105,23107.2038754946,20981.052475123342
Czech Republic,2004,7533.2,0.35036819454614604,24233.5969865808,21500.810054286543
Czech Republic,2005,7931.3,0.356165983508979,25781.2047056167,22268.549966114468
Czech Republic,2006,8357.0,0.364060046591471,27473.6271233417,22955.00447863697
Czech Republic,2007,8373.7,0.349334948992719,28844.0671942979,23970.404404554807
Czech Republic,2008,7873.1,0.326199787662118,29373.109231958,24135.821964896742
Czech Republic,2009,7793.7,0.322194688885055,27803.5871619367,24189.411771404004
Czech Republic,2010,7680.6,0.319745589545292,28352.949396729702,24020.972457892316
Czech Republic,2011,7536.1,0.313394350322714,28797.417961169103,24046.70024280844
Czech Republic,2012,7296.2,0.307302270195521,28527.1387346557,23742.746825000006
Czech Republic,2013,7380.1,0.313162412727481,28379.746117656097,23566.365885749776
Czech Republic,2014,7616.1,0.31714051190209697,29119.6166121304,24014.907317647052
Czech Republic,2015,8217.9,0.330804357987847,30605.420521130698,24842.175749999962
Czech Republic,2016,8783.1,0.340662743883555,31295.259523893703,25782.39081818184
Czech Republic,2017,9525.6,0.35359542254653,32570.7811794526,26939.26276363636
Czech Republic,2018,10342.4,0.36218976368602296,33435.5091806595,28555.196852459023
Estonia,2001,3339.9,0.281186984417965,16682.3412406925,11877.861298997643
Estonia,2002,3728.6,0.297014862884656,17930.357279331398,12553.580530574256
Estonia,2003,4296.0,0.316868783473604,19408.5229786687,13557.662427033834
Estonia,2004,4786.5,0.336519815994338,20846.2376762092,14223.530896262388
Estonia,2005,4988.2,0.323618823529412,22955.5970202768,15413.81290988671
Estonia,2006,5326.6,0.302468843666193,25335.5491153427,17610.40884554205
Estonia,2007,5996.2,0.297632291558867,27378.972707344,20146.335495367595
Estonia,2008,6565.3,0.324144893065482,26055.442455182598,20254.213903884378
Estonia,2009,6570.5,0.34127414820483,22337.652505923703,19252.85004610557
Estonia,2010,6380.8,0.339457671957672,22994.692512358903,18797.041655301404
Estonia,2011,6078.0,0.320566994122507,24780.9787761938,18960.15532303132
Estonia,2012,6100.0,0.316323739537635,25643.3501993513,19284.041118495457
Estonia,2013,6548.9,0.326214242365955,26081.2137870887,20075.457014084892
Estonia,2014,7272.9,0.34039229785874103,26930.8799840866,21366.229629021076
Estonia,2015,8029.5,0.35284558581916603,27409.750122688198,22756.413351066072
Estonia,2016,8839.9,0.3615455881393279,28122.867925309798,24450.30527268774
Estonia,2017,9342.9,0.37091133668314896,29703.611815697,25189.038662307517
Estonia,2018,9609.1,0.36777352469754704,31035.3936194217,26127.764384079634
France,2001,17559.2,0.508831910193759,35136.9396700586,34508.84201290285
France,2002,17781.0,0.510792947710218,35278.4396096501,34810.58240860342
France,2003,18086.3,0.5169665679927571,35317.6246883924,34985.43449380927
France,2004,18692.1,0.530376243961886,36050.601091554905,35243.09433690106
France,2005,19414.1,0.541072612271401,36374.9710220779,35880.766388267904
France,2006,19900.0,0.510494699460739,37006.9948682535,38981.79554267921
France,2007,20101.5,0.507624046414757,37670.527838571004,39599.18790682339
France,2008,20140.5,0.506552116934986,37556.0958767286,39759.97597614414
France,2009,20493.1,0.5087692734508239,36289.8030247628,40279.75168587063
France,2010,20356.7,0.502651626079001,36814.921141571,40498.62557651523
France,2011,20332.3,0.500776655449777,37440.6386298685,40601.53319594813
France,2012,20593.3,0.508994643530223,37376.535431528304,40458.77547388613
France,2013,20680.1,0.506841556296015,37398.9261188899,40801.90296772355
France,2014,20793.7,0.505066251403552,37575.811818975,41170.24240327962
France,2015,20960.5,0.503080743206077,37835.8070772935,41664.28606752286
France,2016,21052.8,0.500436327738526,38097.8770387235,42068.88835416425
France,2017,21031.6,0.49862821731706297,38955.8339665168,42178.92062579889
France,2018,20903.3,0.49717299783471003,39555.5446627534,42044.31876034728
Germany,2015,22044.3,0.426342360341707,43849.7692345755,51705.62920919193
Germany,2016,21936.4,0.41997420308827005,44467.2187884042,52232.73200756432
Germany,2017,22480.6,0.41702237338205,45393.385454576,53907.41944534633
Germany,2018,22097.9,0.4041945330351289,45936.1827126952,54671.44702345455
Greece,2001,13276.5,0.355209860093271,25731.2092641055,37376.49623947336
Greece,2002,13494.0,0.355349082472052,26642.7689442979,37973.926669872
Greece,2003,13701.6,0.340057603686636,28119.4073325862,40291.997154182325
Greece,2004,13997.8,0.321045007759959,29469.526588877798,43600.74027522635
Greece,2005,14269.5,0.314781355117732,29559.2813827133,45331.465056636014
Greece,2006,14681.9,0.30831369362047994,31136.446939255096,47620.00619431697
Greece,2007,15034.9,0.31426672384219606,32073.960390218,47841.208945651946
Greece,2008,15330.9,0.325933835845896,31881.712335585496,47036.84709570492
Greece,2009,16015.7,0.327212723658052,30430.419408795,48945.835054803465
Greece,2010,15564.9,0.382217320199293,28726.0792762946,40722.64436338014
Greece,2011,15184.2,0.35589797639123105,26141.3195918975,42664.474111278265
Greece,2012,12144.4,0.297969565217391,24364.2690565046,40757.182671121984
Greece,2013,11868.7,0.31183740601503807,23746.0845559006,38060.53979113604
Greece,2014,12026.4,0.318116011505273,24081.6305271302,37805.076025859365
Greece,2015,12238.8,0.326088452088452,24134.6843932385,37532.14786238492
Greece,2016,12340.7,0.329161706349206,24188.9949153011,37491.29914555679
Greece,2017,12203.9,0.327375431672422,24601.673213650698,37277.99590108353
Greece,2018,12128.0,0.323072054527751,25140.703137265897,37539.61331545077
Hungary,2001,5764.3,0.38289603415432605,18665.7165935194,15054.478202500008
Hungary,2002,6845.0,0.427372343880883,19606.4605232571,16016.478599999991
Hungary,2003,6540.1,0.35906384873358205,20465.8287261676,18214.30930199999
Hungary,2004,6494.5,0.35595314850634,21500.4229664181,18245.37871698113
Hungary,2005,6744.5,0.351504686729156,22457.439167635297,19187.510877193003
Hungary,2006,7115.6,0.35617000421705297,23399.1094488673,19978.100108799994
Hungary,2007,6907.4,0.343868122637547,23492.1416057992,20087.35193893131
Hungary,2008,6861.9,0.341727954832479,23782.3628384923,20080.007804347828
Hungary,2009,6823.1,0.34203816476193705,22223.449856506602,19948.35870069928
Hungary,2010,6689.2,0.347104159582908,22421.6973398136,19271.448685714302
Hungary,2011,6830.3,0.36286327032848403,22894.347639394902,18823.343552564118
Hungary,2012,7708.1,0.396471827053021,22674.1873645513,19441.73450430106
Hungary,2013,7984.1,0.401512637405409,23183.0290491614,19885.052813265305
Hungary,2014,8288.2,0.402072555280025,24220.733937340297,20613.692457142846
Hungary,2015,8579.2,0.396676980268154,25212.0531051236,21627.67295999998
Hungary,2016,9033.8,0.390471098103225,25842.870590321498,23135.643185585588
Hungary,2017,10150.5,0.40183009970645,27031.780020117796,25260.676110165146
Hungary,2018,10669.4,0.39523219330474896,28464.560199108597,26995.270579522905
Ireland,2001,15560.5,0.441221374045802,42114.2280823194,35266.877162629724
Ireland,2002,15620.3,0.432336182336182,43861.911493278596,36129.985502471194
Ireland,2003,15789.7,0.432058654160018,44456.4239274081,36545.26960164094
Ireland,2004,16909.7,0.445390175475847,46584.9445582735,37966.03726594098
Ireland,2005,17648.8,0.46244386908598706,48179.129616554295,38164.19933273755
Ireland,2006,17484.0,0.441641862799192,49275.7000335847,39588.63838039221
