"TIME","GEO","INDIC_IL","AGE","SEX","Value","Flag and Footnotes"
"2017","Austria","Inequality of income distribution (income quintile share ratio)","Total","Total","4.3",""
"2017","Belgium","Inequality of income distribution (income quintile share ratio)","Total","Total","3.8",""
"2017","Bulgaria","Inequality of income distribution (income quintile share ratio)","Total","Total","8.2",""
"2017","Switzerland","Inequality of income distribution (income quintile share ratio)","Total","Total","4.6",""
"2017","Cyprus","Inequality of income distribution (income quintile share ratio)","Total","Total","4.6",""
"2017","Czechia","Inequality of income distribution (income quintile share ratio)","Total","Total","3.4",""
"2017","Germany (until 1990 former territory of the FRG)","Inequality of income distribution (income quintile share ratio)","Total","Total","4.5",""
"2017","Denmark","Inequality of income distribution (income quintile share ratio)","Total","Total","4.1",""
"2017","Estonia","Inequality of income distribution (income quintile share ratio)","Total","Total","5.4",""
"2017","Greece","Inequality of income distribution (income quintile share ratio)","Total","Total","6.1",""
"2017","Spain","Inequality of income distribution (income quintile share ratio)","Total","Total","6.6",""
"2017","European Union - 28 countries","Inequality of income distribution (income quintile share ratio)","Total","Total","5.1",""
"2017","Finland","Inequality of income distribution (income quintile share ratio)","Total","Total","3.5",""
"2017","France","Inequality of income distribution (income quintile share ratio)","Total","Total","4.4",""
"2017","Croatia","Inequality of income distribution (income quintile share ratio)","Total","Total","5.0",""
"2017","Hungary","Inequality of income distribution (income quintile share ratio)","Total","Total","4.3",""
"2017","Ireland","Inequality of income distribution (income quintile share ratio)","Total","Total","4.6",""
"2017","Iceland","Inequality of income distribution (income quintile share ratio)","Total","Total",":",""
"2017","Italy","Inequality of income distribution (income quintile share ratio)","Total","Total","5.9",""
"2017","Lithuania","Inequality of income distribution (income quintile share ratio)","Total","Total","7.3",""
"2017","Luxembourg","Inequality of income distribution (income quintile share ratio)","Total","Total","5.0",""
"2017","Latvia","Inequality of income distribution (income quintile share ratio)","Total","Total","6.3",""
"2017","North Macedonia","Inequality of income distribution (income quintile share ratio)","Total","Total","6.4",""
"2017","Malta","Inequality of income distribution (income quintile share ratio)","Total","Total","4.2",""
"2017","Netherlands","Inequality of income distribution (income quintile share ratio)","Total","Total","4.0",""
