"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1961",0.0412859612297815,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1962",5.46562530132107,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1963",6.14015198613251,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1964",6.20219407654452,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1965",5.01918977929329,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1966",2.930727692859,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1967",7.19158450757057,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1968",5.33770862673842,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1969",6.21336926965804,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1970",6.95475691759446,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1971",3.88756820500336,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1972",2.27701164181329,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1973",4.35310154080583,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1974",1.62234822666459,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1975",2.4823026399124,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1976",3.83811899344109,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1977",1.48654054423224,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1978",2.01737030435535,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1979",4.58125618432822,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1980",2.71535209287745,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1981",4.18177766782648,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1982",-0.357032788072513,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1983",-0.194029371449605,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1984",6.58255929146599,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1985",5.03236487624445,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1986",1.84718761865429,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1987",5.29327015907439,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1988",4.44274856539916,
